rec,verdict,reason_code,behavior_hint,note,doi,title
410,RETRIEVE,,여가 신체활동·체류경향,"시청각요소→감정→여가 신체활동 실증 모형, 핵심 적합",10.3724/j.fjyl.la20250363,"Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity"
411,EXCLUDE,E4,,"보행은 중재조건, 아웃컴은 짜증·반추·자연연결 심리지표뿐",10.1371/journal.pone.0342906,"Road traffic noise affects annoyance during urban built and forest walks, but not repetitive negative thinking or connectedness with non-human nature: A randomized controlled trial"
413,UNCERTAIN,,,"초록 미확보, 러닝행태 있으나 노출이 열·대기 중심",10.1016/j.jtrangeo.2026.104653,"Understanding the cooling and air purification effects of green spaces on running behavior — Evidence from Guangzhou"
414,RETRIEVE,,이용행태 관찰·체류패턴,"1167명 행태매핑, 청각 포함 감각공간과 이용행태 연관",10.3389/fpsyg.2026.1733848,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing"
416,EXCLUDE,E3,,"러닝 궤적 행태 있으나 건조환경 변수에 음환경 없음",10.1186/s13690-026-01919-x,"How urban environments structure running behaviour in Beijing during winter, spring, and summer 2024: spatiotemporal patterns and configuration-specific interactions from running trajectory data"
418,EXCLUDE,E3,,"조깅 크라우드소싱 분석, 변수는 수변·수목·포장 등 비음향",10.1016/j.scs.2026.107517,"How do environmental factors influence jogging behaviour across large-scale, small-scale and informal green spaces? A comparative study and sustainable renewal strategy of multi-type green space systems based on crowdsourced data"
419,EXCLUDE,E4,,"새소리 인식 중재이나 아웃컴은 웰빙·생리스트레스·지각뿐",10.1093/jue/juag013,"Two treatments of birdsong awareness and their influence on human mental well-being in an urban park environment"
420,EXCLUDE,E3,,"조깅 흐름 분석, 변수는 녹지·수변·지표온도로 음환경 없음",10.3389/fpubh.2026.1870274,"Blue-green spaces, heat stress, and health-supportive public-space use under urban stress: machine learning and SEM evidence from jogging flow in Fuzhou, China"
421,EXCLUDE,E3,,"경로선택 행태 있으나 노출은 시각기반 안전지각 단일",10.1007/s11116-026-10793-z,"Perceived traffic safety’s impact on cycling route choice with street-level images"
422,UNCERTAIN,,,"초록 미확보, 조깅 궤적 행태 있으나 음환경 지표 포함 불명",10.1016/j.scs.2026.107693,"Prioritizing jogging-friendly streets in active mobility planning: A decision-support framework integrating trajectory evidence and expert judgment"
426,EXCLUDE,E4,,"사운드워크 음향지표·지각 분석, 행태 아웃컴 없음",10.1051/aacus/2026034,"Soundscape analysis in urban areas of high heritage value – The case study of Coimbra"
427,UNCERTAIN,,,"초록 미확보, 바자르 반옥외 세팅과 활동 측정 여부 불명",10.1007/s10708-026-11638-z,"Urban rhythms and sonic identity: a case study of the Grand Bazaar of Rasht, Iran"
428,UNCERTAIN,,,"초록 미확보, 선호 중심 추정이나 보행행태 측정 확인 필요",10.1016/j.buildenv.2026.115060,"Dynamic Audio-Visual Preference in Waterfront Walking Environments: Effects of Distance-Layered Spatial Structure and Soundscape"
