id,branch,verdict,reason_code,boundary_rule,confidence,rationale,first_verdict,recheck_verdict,decision
1169,DB,FINAL_EXCLUDE,X5,,medium,"Materials and Methods·General regulations가 Schafer·영화음향 이론의 문헌 논의이고, 키이우 학생 경로 관찰 과제([page 2–3])는 교육 사례로 언급만 될 뿐 표본·자료수집 절차·행태 자료·분석이 제시되지 않은 개념적 논고라 실증 연구 아님. 행태 영향 서술(카페 대화 거리, 우회 이동 등, Fig. 2)은 문헌·일화 기반 주장. 실증으로 보더라도 제시된 결과는 음지도·체감 영역 경계(지각)뿐이라 X4도 해당 가능 — 8월 선례 909(설계 스튜디오 성찰 리뷰)와 같은 처리.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
1215,DB,FINAL_EXCLUDE,X5,,medium,"Data in Brief 데이터 논문으로 §3 Data Description·§4 Methods는 5개 도시 PPGIS 설문(4964명; Table 3 Q1 통행수단·Q5 통행시간, Q4 'Soundscape' 중요도, Table 4 'Soundscape'/'Noisy' 매핑 지점)의 변수·표본만 기술하고 음환경–통행행태 관계 분석·결과가 전혀 없음(결과는 관련 논문 [2]–[4]에 위임). 행태·음환경 변수는 수집되어 X3·X4가 엄밀히 해당하지 않아 비실증(자료 기술만) X5로 판정. 동일 자료를 분석한 Korpilo et al. 2025(UFUG 113:129088)는 인용 추적 후보.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치
509,DB,FINAL_EXCLUDE,X4,,medium,"§2.2·§3.1은 CRTN 예측 Lday와 NCF로 TRAPT 평온도(TR)를 산정한 트레일 설계·예측이고, §2.5·§3.2 Kingsbridge 설문(유효 19명) 결과는 평온 중요도·평정, 이완(78.9%)·불안 감소(63.1%), 문제점·이점뿐이라 지각·회복 결과만 있음. 평균 완주시간 89분(가정 52분)으로 '평온 공간에 더 오래 머문 듯'이라 추론하나 장소별 체류나 음환경과의 관계는 측정·분석하지 않았고, Fig. 8 방문 촉진 요인은 선행 조사(Watts et al. 2013)의 비음향 항목.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
1190,DB,FINAL_INCLUDE,,,low,"폴란드 포즈난 도심 가로에서 보행과제(GPS 36경로)와 심층면접(18명)을 결합한 질적 연구로, 초록·§4.1(보행자–차량 주제: 교통·트램 소음 때문에 주요 가로 보행이 피곤함, IDI9)·Table 2(maintainer형은 소음·혼잡 구역에 민감해 회피, spontaneous형은 소음에 민감)·Fig. 4(소음·혼잡 구역 지도)·§6 결론에서 소음이 경로선택(movement) 결정요인으로 도출돼 8월 1232(자기보고 경로선택·우회 질적 연구) 선례에 따라 포함. 다만 소음은 날씨·혼잡·그늘 등 여러 동적 요소 중 하나이고 근거 인용이 2건(IDI9·IDI12)뿐이며 음향 측정이나 GPS 경로와 소음의 대응 분석이 없어, 음환경이 분석 노출이 아니라는 X3(8월 CT0343 선례)과 판단이 갈림.",FINAL_INCLUDE,FINAL_INCLUDE,1차·재판정 일치
772,DB,FINAL_EXCLUDE,X3,,medium,"메카 대모스크 내부의 언어경관 민족지(2017·2018 라마단, 사진·현장노트)로, 소리는 성·속 영역을 이루는 기호 자원으로 기술될 뿐(Methodology·Part 2) 음환경을 노출로 두거나 행태가 음환경·사운드스케이프 평가에 미치는 경로를 분석하지 않음. 기도 호출 시 작업·대화·기계음이 멈춘다는 서술(Part 1 activities·Part 2)은 종교 규범과 영역 위계를 설명하는 내용이며, 조사지 상당 부분이 지붕 있는 확장 건물·도서관 등 실내여서 X2 소지도 있음.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
268,DB,FINAL_EXCLUDE,X4,,low,"맨체스터·런던 광장·녹지·가로 사운드워크(42명)·포커스그룹 4개·실험실 사운드스케이프 시뮬레이터(20명)로 기대가 사운드스케이프 지각에 미치는 영향을 본 연구로, §3·Table 3 주제와 §4 결과가 기대·지각·성가심뿐이고 시뮬레이터 음원 선택은 실험실 선호 과제라 관찰 가능한 행태 결과가 없음. 다만 §4.3·4.4에 시끄러운 옥스퍼드 가로를 벗어나 조용한 뒷골목을 쓰거나 취객이 있는 공원을 떠날 수 있다는 진술, §4.6에 조용한 곳으로 가서 대화한다는 진술, §4.5에 통과형/휴식형 공간 이용에 따른 성가심 차이가 있어 자기보고 회피 행태(1232 선례)나 역방향(R3)으로 읽을 여지가 있음 — 회피 진술은 통제 가능성에 대한 기대로 제시된 것이라 배제.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치
957,DB,FINAL_EXCLUDE,X4,,medium,"인도네시아 수라카르타 두 왕실 모스크 옥외 중정에서 격자 SPL 측정·녹음·방문객 지각 설문·관찰·인터뷰로 주변 기능 복잡도와 조경 요소가 음환경 특성에 미치는 영향을 분석(§2: 종속변수=음, 독립변수=물리환경; 설문 표본수 미보고)했고, 결과는 SPL과 지각(예: §3.1 응답자 80%가 기준 초과 소음을 방해 아님으로 평가)뿐임. §3.1·3.2·§4에서 학생 체육활동·보행·오토바이 주차장화를 소음 원인으로 서술하나 행태를 측정 변수로 다루지 않은 음원 설명 수준이라 8월 CT0342(사원 참배 활동=음원 설명) 선례에 따라 X4; 사람 이동이 소음의 주원인이라는 결론은 통행량을 실측한 791 역방향 포함 선례와는 구분됨.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
OAS0222,OAS,FINAL_EXCLUDE,X6,,high,"European Journal of Public Health 27권 Suppl. 3에 실린 제10차 유럽공중보건학회 병행세션 초록([page 1] 하단 'Parallel sessions 109', [page 2] 초록 key messages)으로 동료심사 학술지 논문이 아님. 내용은 론 도 거주 720명 설문에서 통행수단(보행·자전거·대중교통 vs 자동차)별 소음·대기오염 불쾌감을 다변량 로지스틱 회귀로 비교한 것으로 역방향(R3) 내용 적격 소지는 있으나 X6이 적용됨(같은 쪽의 다른 초록은 평가 대상 아님).",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
1092,DB,FINAL_EXCLUDE,X2,R1,high,"§2.3·Table 2 [page 8–9] 에서 소음은 거주지 주소 25 m·1 km 버퍼의 전략소음지도 Lden 로만 부여되고, 결과는 손목 액티그래프 수면(TST·SE·WASO, §2.2.1 [page 8])이며 신체활동은 효과수정·매개 변수로만 쓰였다(Table 3 [page 10]) — 특정 공공공간과 무관한 거주지 노출×수면·건강행태 역학 연구(R1). 소음은 최종 모형에 남지 않음(§3.2·§4.1 [page 14, 18]). 파일은 HAL 저자 원고판(줄번호 포함)으로 서지상 학술지 게재본과 판이 다르나 내용으로 판정.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
489,DB,FINAL_EXCLUDE,X2,R1,medium,"§2.2 [page 2] 에서 소음은 거주지 주소 LUR LAeq, §2.4 [page 3] 신체활동은 SQUASH 자기보고 통근·여가 활동량(장소 비특정)으로 GHQ 정신건강에 이르는 SEM 매개변수일 뿐이다(Table 3 path 3 LAeq→성가심→회복성→PA [page 6]) — 거주지 소음×공간 비특정 PA·정신건강 역학 연구로 R1. 갈림: 8월 코퍼스 uid 1226(불가리아 거주지 Lden×IPAQ PA)은 포함되어 선례가 엇갈림(no.779·880·1141 은 R1 배제).",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
1182,DB,FINAL_EXCLUDE,X2,R1,high,"Methods 'Other relevant participants' information'·Statistical analysis [page 3] 에서 도로교통소음은 거주지 주소에 연결한 2012 바르셀로나 전략소음지도 값으로 DAG 기반 공변량으로만 투입되었고(Table 2 각주 [page 7]; P3 에도 해당), 결과는 공간 비특정 일상 신체활동(Dynaport 걸음수·MVPA)이다 — 코드 순서상 X2(R1). Urban Training Study 기저자료(NCT01897298, [page 2])로 8월 R1 배제된 no.880(Koreny et al. 2022)과 같은 표본.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
559,DB,FINAL_EXCLUDE,X3,,medium,"스페인 해안 휴양지 El Portil의 건물 두 곳(지상 9.7 m·13.8 m)에서 겨울·여름 각 1주 연속 측정한 LAeq를 평일/휴일·계절별로 비교한 연구다(§2.1–2.2, §3.2–3.6, Table 1–7). 초록·§3.6·§4는 소음이 '인구 행태'와 직결된다고 해석하지만, 사람 수·활동·통행량은 측정하지 않고 요일 유형과 계절만 대리변수로 썼다. 사람 수를 실측한 역방향 선례(CT0348·791)와 달리 행태→음환경 경로가 관찰되지 않아 X3로 판정했다. 특정 공공공간 이용자가 아닌 마을 단위 환경소음 측정이라 X2 여지도 있어 confidence는 medium이다.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치(코드 X4→X3: 번호 순서)
188,DB,FINAL_EXCLUDE,X2,R1,high,"베를린 도심 8개 가로블록을 GIS 도로교통소음(고부담 >65 dB(A) vs 저부담 ≤50 dB(A))·대기오염·공공녹지로 이분하고 가구 설문 428명을 비교한 역학 연구로(§2.1–2.2, Table 1), 노출은 거주지 블록 단위이며 결과는 근린·생활 만족, 건강행태 지수(흡연·음주·최근 2주 격렬 신체활동, §2.3.3)와 증상(Table 5)이다. 신체활동은 특정 공공공간과 연결되지 않은 일반 건강행태라 경계규칙 R1(X2)에 해당하고, 나머지 결과는 지각·만족·건강(X4)이다. 코퍼스 v4에 같은 표본 연구 없음.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
562,DB,SENS_ONLY,,R2,medium,"MTurk 미국 거주자 501명 대상 온라인 적응형 선택기반 컨조인트(ACBC)로, '낯선 도시에서 여가 보행' 가상 시나리오에서 소음 수준(low/medium/high)·소음원(traffic/people/construction)을 문자 속성으로 제시하고(§3.2–3.3, Table 2) 경로 선택의 부분가치·상대중요도를 추정했다(Table 3, §4.2). 결과가 실제 행동이 아닌 '의도된(intended) 여가 보행 경로' 선택뿐이라(§1, §5.3 한계·§6) R2 → SENS_ONLY; 음향 재현이 없어 P1 은 아님. 갈리는 지점: 장소 비특정 가상 도시(X2)·소음이 문자 기술뿐(X3)으로 볼 여지가 있어 medium.",SENS_ONLY,SENS_ONLY,1차·재판정 일치
713,DB,FINAL_INCLUDE,,R3,medium,"홍콩 Sha Tin Park 5개 지점에서 B&K 2270 음향·심리음향 측정과 방문객 150명 현장 설문(방문빈도·체류시간·방문목적 자기보고, Table 1 Part I; 지각·요소선호·전체 선호)을 결합한 연구로(§2.1), 방문빈도가 '좋은 사운드스케이프에 대한 전체 선호'를 유의하게 예측했다(Table 7: B=0.17, b=0.18, p=0.017; §4.1). 이용 행태가 사운드스케이프 평가에 미치는 역방향 결과라 R3 포함. 행태는 단계적 회귀의 예측변수 하나일 뿐이고 음환경→행태 분석은 없어 medium; 코퍼스 v4에 같은 표본 없음.",FINAL_INCLUDE,FINAL_INCLUDE,1차·재판정 일치
623,DB,FINAL_EXCLUDE,X3,,low,"고베 동단 주거지역에서 코로나19 긴급사태 기간과 해제 후의 LAeq(Table 1, Fig. 2–4), 청취 음원 구성(Fig. 5–7), 하천변 2회 측정(Table 2)을 비교한 단일 저자 'Open Commentary' 유형 모니터링 보고다(자체 측정자료가 있어 X5 는 아님). 저자는 음환경 변화를 교통량 증가·외출 패턴·하천변 혼잡 같은 이용자 행태로 설명하지만, 행태는 계수·체계적 관찰 없이 추론으로만 제시되고([page 6] 'Putting inferences aside', 초록·결론의 'possible change in human behaviour') 비교 단위는 기간뿐이어서 행태→공공공간 음환경 경로가 실증되지 않았으므로 X3 로 배제한다. 락다운 단계별 광장 음환경을 관찰일지·음원 구성과 함께 역방향으로 포함한 8월 선례(corpus_v4 uid 762)와 구조가 유사해 포함 판단과 갈리므로 low 로 둔다.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치(코드 X4→X3: 번호 순서)
186,DB,FINAL_EXCLUDE,X3,,high,조정(1차 포함 low ↔ 재판정 배제 X3): 운전 행태에 따른 차량 엔진룸·후륜 근접장 방출음만 측정했고 가로·공공공간 음환경은 측정하지 않았다. 같은 주제의 194(Ibarra 2012)가 1차·재판정 모두 X3 이므로 일관되게 배제. 경적 선례 799·1138 은 도로변 소음계로 가로 음환경을 측정해 구조가 다르다.,FINAL_INCLUDE,FINAL_EXCLUDE,불일치 조정
624,DB,FINAL_EXCLUDE,X4,,medium,"조정(1차 포함 R3 low ↔ 재판정 배제 X4): 여행기 근거이론 분석에서 음풍경(Table 4)과 활동(Table 2)이 따로 코딩됐을 뿐 둘의 관계는 분석되지 않았고, '조용한 곳에서 느린 여가활동'(§5.3·§5.7)은 저자 종합 서술이다. 고요(tranquillity)는 조용함·사회 안정·경관·지역문화의 총체 경험(§5.2.2)이라 사운드스케이프 평가로 보기 어렵다.",FINAL_INCLUDE,FINAL_EXCLUDE,불일치 조정
412,DB,FINAL_EXCLUDE,X4,,high,"브라질 포르탈레자의 옥외 운동·여가 공간 3곳(해안 보도·보도·광장, Table 1)에서 소음(65–69 dB, Table 5·Fig. 4)을 카보닐화합물·호흡성 입자·미생물·열쾌적성과 함께 측정해 환경질과 건강위험을 평가한 연구다. 이용자 유동량·체류시간(Table 1, 지점별 60분 내외)은 장소 특성 기술과 노출량 계산(Table 4)에만 쓰였고 소음과의 관계는 분석하지 않았으며 결과는 기준치 초과·건강위험(Fig. 1–3)뿐이다(X4).",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
378,DB,FINAL_EXCLUDE,X2,,medium,"더블린 소음 모니터 10곳의 1년 자료로 ① 2011 인구조사 소지역 가구의 자동차 보유·통근수단·출발시각을 5개 지점 아침 소음 피크와 그림으로만 비교하고(Fig. 4–8, 통계 없음, 관계 불명확) ② 위치·시각·월·요일로 소음 등급을 다항 로지스틱 회귀한(Table 5–6) 연구다. 행태 자료가 모니터 주변 공간 이용자가 아닌 거주지 단위 인구조사 가구 특성이라 특정 옥외 공공공간 이용자와 연결되지 않고(X2, R1과 같은 논리) ②에는 행태 변수가 없다. 통근 행태→가로 소음이라는 역방향 해석 여지(8월 경적 선례 799)가 있어 confidence=medium.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치
194,DB,FINAL_EXCLUDE,X3,,medium,"마드리드 교외 순환고속도로(M40)·도심 가로 코스에서 운전자 5명(1명은 공격적 운전 지시)이 차량 2대를 몰 때 엔진 흡기구·바퀴 옆 탑재 마이크로 근거리 엔진·구름소음을 측정해(§2.2–2.3) 공격적 운전자의 엔진소음이 5–9 dB 높음을 보인(Table 3·6) 측정시스템 제안 연구다. 결과는 저자가 원거리 환경소음과 혼동하지 말라고 밝힌(§1, p.173) 차량 근거리 방출음이라 공공공간 음환경·사운드스케이프로 가는 역방향 경로가 없다(X3). 도로변 음환경을 측정한 경적 선례(799)와 다르고 방법론 제안(X5) 성격도 겹치나, 운전행태→교통소음 해석 여지가 있어 confidence=medium.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치
29,DB,FINAL_EXCLUDE,X2,,high,"베오그라드 구도심의 교통량 많은 가로 3곳(주간 Leq 76.5 dB)과 조용한 가로 3곳(51.7 dB, Table 2) 거주민 413명 설문으로 수면·심리 증상과 '행태 효과'(창문 개방 시간, 이사 의향, 주민 간 대인관계, Table 5)를 비교한 연구다. 노출은 주거지 단위이고 행태 결과는 주택 창문 개방·이사 의향·이웃 관계로 특정 옥외 공공공간 이용과 연결되지 않는다(X2; 8월 선례 '거주지 소음 성가심·정신건강 설문 배제').",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
1250,DB,FINAL_EXCLUDE,X3,,medium,"§3.1·§3.2·Table 3 [page 5–7] 에서 노출은 베를린 Graefekiez 두 가로의 노상주차면 약 350면 전환 개입(처리·통제지역 거주 여부, 반복 횡단면 DiD)이고, 소음은 '자택에서' 느끼는 도로교통·식당·배회 방문객 소음 성가심(0–4)으로 신체활동·통행수단 이용빈도와 나란한 결과변수일 뿐 음환경 노출·조작이나 음환경–행태 관계 분석이 없다(Table 4 [page 8]) — X3. 방문객·야외영업 증가→소음 성가심은 §2.2 가설 서술 [page 3]뿐 이용 행태를 측정하지 않았고 평가 장소도 주택 실내라 역방향(R3)으로 볼 수 없음; 갈림: 노출이 거주지 단위이고 신체활동이 장소 비특정이라 X2 로도 볼 수 있음. 코퍼스 표본 겹침 없음.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치
CT0190,CT,FINAL_EXCLUDE,X2,,medium,"Methods [page 5–8] 에서 시카고 Humboldt Park 저소득 주민 33명의 GPS·휴대 소음센서·활동일지로 활동 504건의 LAeq,Activity 와 '소음이 문제인가' 평가를 다층 로지스틱 모형으로 분석했고(Table 3 [page 13]), 활동 유형·동반자·시간·장소→소리 평가라는 역방향 유사 구조이나 504건 중 489건이 실내 활동([page 12])이며 장소도 집 371·직장 25·기타 108건(Table 2 [page 11])이라 옥외 공공공간 이용 맥락이 아니다 — X2. 옥외 15건(가로 개 산책·공원 달리기)은 별도 분석되지 않음; 갈림: 활동→사운드스케이프 평가를 R3 로 볼 여지(옥외 상업가로 맥락요인 연구 uid 480 은 포함). 코퍼스 표본 겹침 없음.",FINAL_EXCLUDE,FINAL_EXCLUDE,1차·재판정 일치
411,DB,FINAL_EXCLUDE,X2,,high,"Methods 'Study design'·'Exposure' 에서 노출은 M74 신설/M8 기존 고속도로 주변 연구지역(500 m 버퍼 센서스 구역) 소속과 우편번호 중심점→최근접 IC 도로망 거리이고, 결과는 단축형 IPAQ 자기보고 걷기·MVPA·좌식시간(장소 비특정)이다(Table 2·3) — 특정 공공공간과 무관한 거주지 단위 노출×비특정 신체활동 자연실험으로 X2(R1 과 같은 구조이나 노출이 소음이 아니어서 boundary_rule 은 비움). 음환경은 측정·분석되지 않고 교통소음은 'Comparison with previous studies' 의 선행연구 인용에만 나와 X3 에도 해당. 코퍼스 표본 겹침 없음.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
OAS0005,OAS,SENS_ONLY,,P1,low,"Experiment setup [page 2] 에서 대학생 40명이 둘레 21.93 m·폭 0.8 m 타원형 링 복도를 일렬 보행하며 120 BPM 배경음악 조건과 무음 조건을 비교하고 PeTrack 궤적으로 속도·정지·보폭을 실측했다(Fig. 2–6 [page 4–6], Table 2·4) — 음환경 조작→movement 행태 실험. 실제 공공공간이 아닌 인공 보행 실험장(옥내·옥외 여부 미보고)에서 도시 군집 보행을 모사한 통제 실험이므로 P1(OAS 갈래)=SENS_ONLY 로 판정. 갈림: 옥외 '장면' 재현이라기보다 보행동역학 물리 실험이라 X2 배제로도 볼 수 있어 confidence=low; 코퍼스 표본 겹침 없음.",SENS_ONLY,SENS_ONLY,1차·재판정 일치
1218,DB,FINAL_INCLUDE,,,high,"푸저우 Hot Spring Park(16.7 hm²) 27개 지점에서 2022년 9월 4일간 06:00–21:00 매시 360° 파노라마 촬영을 SOPARC 로 코딩해 연령군별 이용자 수와 활동유형(RA·NEA·SIA·SA·LA·FA)을 관찰하고(§2.2.1·Table 1), 동시 녹음(Sony PCM-D100) 스펙트로그램으로 자연음·교통음·관리음·레크리에이션음을 분류해(§2.2.2) FDR 보정 상관(Figure 12)·시간대별 회귀(Table 3·4)로 분석했다. 아침 레크리에이션음→사회적 상호작용(β=0.627)·야간 교통음과 중년 이용자 음의 상관 등 음환경–관찰 행태 관계가 주요 결과여서 전방향 포함. 표본 공유 의심: 862(같은 공원·연구그룹이나 862 는 2021년 7월 31지점 음향자료, 본 연구는 2022년 9월 27지점 — 중복 가능성 낮음).",FINAL_INCLUDE,FINAL_INCLUDE,1차·재판정 일치
433,DB,FINAL_EXCLUDE,X2,R1,high,"불가리아 플로브디프 15–25세 학생 399명의 거주지 거실 파사드 Lden(전략소음지도, §2.2)과 SQUASH 통근·여가 신체활동(§2.4)·GHQ-12 의 매개모형(Table 2–4) 연구로, 신체활동이 특정 공공공간과 연결되지 않은 거주지 소음 역학연구라 R1 에 따라 X2. 사회적 응집(PNSC-BF, §2.4)은 신뢰·애착 지각 척도여서 관찰 가능한 사회행태도 아니다.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
1179,DB,FINAL_EXCLUDE,X2,,medium,"충칭 주 도시권 전체(5,473 km²)에서 음악 여가시설(바·KTV 등 실내 영업장) POI 1,738개와 정부 민원함 소음 민원 698건(2021–2023)을 50–300 m 격자로 집계해 상관·회귀 분석한 연구로(Methodology·Tables 2–4, 250 m 에서 r=0.75), 특정 옥외 공공공간이나 그 이용자를 대상으로 하지 않아 X2(선례 newft 819 푸저우 민원–POI 연구와 동일 판정). 민원은 5도메인 행태가 아닌 성가심 대리지표(X4 해당 가능)이고 시설 분포는 이용자 행태가 아니어서 역방향(R3)도 아니며, 갈리는 지점은 X2/X4 코드 선택뿐이다.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
OAS0040,OAS,FINAL_EXCLUDE,X4,,high,"인도 쿠르눌 6개 가로·교차로에서 소음계(SL-210)로 시간대별 Lmin·평균·Lmax 만 측정·기술했고(§2–3, §7.1–7.6 표) 참여자·설문·행태 관찰 자료가 없으며, 제목의 'social behavior' 는 Bronfenbrenner 체계론 서술(§6)일 뿐 측정되지 않았다. 경적·폭죽·개 짖음 등 활동 소음 언급(§8–9)도 행태 계수 없는 맥락 기술이라 선례 599·559(활동은 맥락뿐=X4)와 같다; 게재지(IISTE)의 동료심사 여부도 불확실하나 X4 가 먼저 적용된다.",FINAL_EXCLUDE,,1차 유지(재판정 대상 아님)
