id,branch,verdict,cluster,computable,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 11 (UK Cambridge, All Saint's Garden): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.05/0.31 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",459 interviewees at site 11 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 12 (UK Cambridge, Silver Street): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.06/0.18 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",489 interviewees at site 12 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 13 (UK Sheffield, Barkers Pool): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.03/0.50 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",499 interviewees at site 13 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 14 (UK Sheffield, Peace Gardens): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.02/0.70 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",510 interviewees at site 14 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 15 (China Beijing, Chang Chun Yuan Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.04/0.53 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",307 interviewees at site 15 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 16 (China Beijing, Xi Dan Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.06/0.35 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",304 interviewees at site 16 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 17 (China Shanghai, Century Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.05/0.66 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",62 interviewees at site 17 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 18 (China Shanghai, Nanjing Road Square): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"-0.05/0.66 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",79 interviewees at site 18 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
80,DB,FINAL_INCLUDE,correlation,YES,"Subjective sound level evaluation of the site (5-point, -2 very quiet to 2 very noisy)","Site 19 (China Shanghai, Xu Jia Hui Park): Spearman correlation between observed moving activities (1 sitting, 2 standing, 3 walking, 4 playing with children, 5 sport) and sound level evaluation",correlation,"0.00/0.98 (correlation/significance, 2 tailed; * p<0.05, ** p<0.01)",79 interviewees at site 19 (Table I); analytic n for this correlation not reported,Table IX (Moving activities column); Section V
104,DB,FINAL_INCLUDE,correlation,YES,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson/Spearman correlation between B5 frequency of coming to the site (1 first time to 5 every day) and sound level evaluation, per site",correlation,"B5 by site: 1 0.05; 2 0.08; 3 0.00; 4 -0.10**; 5 -0.11**; 6 0.10**; 7 0.15**; 8 0.01; 9 -0.07*; 10 0.00; 11 -0.06; 12 -0.00; 13 -0.00; 14 -0.04; 15 -0.10; 16 -0.01; 17 0.13; 18 0.05; 19 -0.05 (% of Sig. 26.3; Ratio 5/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR",Table III (behavioral factors); Table I; section II.C
104,DB,FINAL_INCLUDE,correlation,YES,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson/Spearman correlation between B7 grouping (0 none, 1 with 1 person, 2 with more than 1 person) and sound level evaluation, per site",correlation,"B7 by site: 1 0.01; 2 0.03; 3 0.07; 4 0.12**; 5 -0.03; 6 -0.02; 7 -0.04; 8 0.10*; 9 0.00; 10 -0.09**; 11 0.03; 12 -0.05; 13 0.06; 14 0.10*; 15 0.09; 16 -0.10; 17 0.00; 18 0.11; 19 -0.04 (% of Sig. 21.1; Ratio 4/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR",Table III (behavioral factors); Table I; section II.C
104,DB,FINAL_INCLUDE,correlation,YES,Subjective sound level evaluation (-2 very quiet to 2 very noisy),"Pearson/Spearman correlation between B4 movement status (1 sitting, 2 standing, 3 playing with kids, 4 sporting) and sound level evaluation, per site",correlation,"B4 by site: 1 -0.01; 2 -0.10*; 3 0.05; 4 0.06; 5 0.03; 6 -0.03; 7 0.02; 8 -0.12**; 9 -0.04; 10 0.00; 11 0.05; 12 0.06; 13 -0.03; 14 0.02; 15 -0.04; 16 -0.06; 17 -0.05; 18 -0.05; 19 0.00 (% of Sig. 10.5; Ratio 2/19) [메모: txt 추출본에는 음수 부호가 없음 - 원 PDF(2009_JASA_Yu & Kang_...pdf) 4쪽의 MathematicalPi 빼기 글리프 위치로 부호를 복원; * p<0.05, ** p<0.01; - 는 결측] [메모: B4 는 명목 범주 코드인데 상관으로 분석됨]","Interviewees per site (Table I): 1 Bahnhofsplatz 418; 2 Florentiner 406; 3 Karaiskaki 655; 4 Seashore 848; 5 Kritis 777; 6 Makedonomahon 1037; 7 IV Novembre 574; 8 Piazza Petazzi 599; 9 Jardin de Perolles 888; 10 Place de la Gare 1041; 11 All Saint's Garden 459; 12 Silver Street 489; 13 Barkers Pool 499; 14 Peace Gardens 510; 15 Chang Chun Yuan Square 307; 16 Xi Dan Square 304; 17 Century Square 62; 18 Nanjing Road Square 79; 19 Xu Jia Hui Park 79; one observation per interviewee, item-level missing data NR",Table III (behavioral factors); Table I; section II.C
499,DB,FINAL_INCLUDE,correlation,NO,Self-reported visitation frequency to the park,Spearman correlation between visitation frequency and preference score (5-point) for each of 12 sound elements,correlation,Visitation frequency: V1 0.263*; V2 0.110; V3 0.300**; V4 0.278*; V5 0.017; V6 -0.060; V7 -0.276*; V8 -0.045; V9 -0.096; V10 0.136; V11 -0.179; V12 -0.071 (V1 Bird chirping; V2 Frog and insect chirping; V3 Leaves rustling in the wind; V4 Brook babbling; V5 Artistic conception of sculpture; V6 Talking; V7 Children frolicking; V8 Singing and dancing; V9 Peddling; V10 Broadcast; V11 Traffic noise; V12 Constructing),1260 interviewees in total (section 2.2); n used for the Spearman correlations NR [메모: n=1260 이면 0.110 도 p<0.001 이어야 하므로 유의 표기와 맞지 않음 - 실제 분석 단위·n 불명],Table 3; section 3.2
1218,DB,FINAL_INCLUDE,correlation,NO,"SOPARC counts of social interaction activities (SIA), middle-aged visitors and children per monitoring point","Spearman correlation (FDR-adjusted) between sound-source variables (RS, MS, TS) and behaviour/visitor-group counts within each time period",correlation,"NR in text (coefficients shown only in Figure 12); text: morning children + MS, middle-aged + RS, SIA + RS; night middle-aged − TS (adjusted p-values < 0.05)",27 monitoring points × hourly scans within 4 periods over 4 days (daily average 2036 visitors); n per correlation/model NR,"§3.2.2, Figure 12"
1305,DB,FINAL_INCLUDE,correlation,YES,Self-reported green exercise activity under precipitation,Rated importance of natural sounds (5-point Likert) vs green exercise activity under precipitation (Spearman rho),correlation,0.151** (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5)
1305,DB,FINAL_INCLUDE,correlation,YES,Self-reported green exercise activity under cold,Rated importance of natural sounds (5-point Likert) vs green exercise activity under cold (Spearman rho),correlation,0.170** (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5)
1305,DB,FINAL_INCLUDE,correlation,YES,Self-reported green exercise activity under strong wind,Rated importance of natural sounds (5-point Likert) vs green exercise activity under strong wind (Spearman rho),correlation,0.076 (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5)
1305,DB,FINAL_INCLUDE,correlation,YES,Self-reported green exercise activity under heat,Rated importance of natural sounds (5-point Likert) vs green exercise activity under heat (Spearman rho),correlation,0.051 (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5)
1305,DB,FINAL_INCLUDE,correlation,YES,Self-reported green exercise activity under sun radiation,Rated importance of natural sounds (5-point Likert) vs green exercise activity under sun radiation (Spearman rho),correlation,0.034 (* p< 0.05; ** p< 0.01),408 participants analysed (complete cases; per-correlation n not reported),Table 4 (p.6); Natural elements in urban green spaces (p.5)
709,DB,FINAL_INCLUDE,walking_speed,YES,"Visitor walking speed (m/s) timed between visual markers on 9 trail walkways (23.6-59.1 m), pooled across walkways",Sign-absent weeks (daily L50 40.8 dB(A)) vs sign-present weeks (quiet-behaviour soundscape mitigation signage; daily L50 39.6 dB(A)),M_SD_n,"sign absent treatment block 1.03 ± 0.02 m/s; sign present treatment block 1.01 ± 0.02 m/s; Kruskal–Wallis χ2 = 3.2, df = 1, p = 0.08 [메모: 보행속도의 ± 종류는 명시되지 않음 — 같은 결과 절(§3.1)의 음압은 mean ± SE로 표기됐고 n≈960에서 0.02는 SE로 보이므로 SD 환산 필요]",958 walking speeds recorded in sign-absent blocks vs 974 in sign-present blocks (timed individual visitors; repeat visitors not identified); one extreme outlier removed (condition NR); mean group size 2.60 ± 0.04 vs 2.61 ± 0.04,§2.3 [page 7]; §3.3 [page 8]
OAS0005,OAS,SENS_ONLY,walking_speed,NO,"Average pedestrian velocity in the 3.6 m measurement area (Voronoi method), compared across density intervals",120 BPM background music vs normal condition without rhythm,other,"the mean decrease of velocity with rhythm are 2.97%, 1.40%, 20.24%, 37.89% on average compared to the normal condition (four intervals from 0 to 2.0 Ped/m, resolution 0.5 Ped/m); binned mean and SD per 0.1 Ped/m shown only graphically in Fig. 3a","40 participants (college students) in both conditions; runs per condition: Normal-2 x5, Normal-5 x2, Normal-10/20/30/40 x1; Music120-2 x5, Music120-5 x2, Music120-10/20/29/40 x1 (Table 1); number of velocity observations per interval NR","Results, Fundamental diagram [page 3]; Fig. 2-3 [page 4]"
