no,verdict,direction,reason
989,EX1,na,조류 song frequency — 동물 연구
990,EX1,na,야생동물 행동에 대한 산업소음 — 동물 연구
991,EX4,na,아동 인지·운동기능 검사 — 관찰가능 행태 아님
992,EX2,na,학교 교실 아동 인지 — 옥외 공공공간 세팅 아님
993,EX3,na,녹지·blue space와 조현병 — 음환경 변수 없음
994,EX4,na,학생 soundscape 지각만 측정 — 행태 없음
995,EX2,na,디스크 브레이크 마찰소음 실험 — 도시 옥외 공공공간 아님
996,EX1,na,oyster toadfish 발성 — 동물 연구
997,EX4,na,아동 sound disturbance·수면 — 행태 측정 없음
998,BORDERLINE,forward,소음·건조환경과 walking 시간·정신건강 동시 분석 — 판단 유보
999,INCLUDE,reverse,인간활동 맥락이 pedestrian space soundscape 평가에 영향 — 역방향
1000,EX5,na,라스트마일 CO2 시뮬레이션 — 실증 행태 데이터 없음
1001,EX4,na,perceived·felt emotion 지각만 측정
1002,BORDERLINE,reverse,통학수단 선택과 traffic noise 산정 — 역방향 여지·정보 부족
1003,EX4,na,대기오염·소음·녹지와 심근경색 — 행태 아웃컴 없음
1004,EX1,na,dolphin whistle 탐지 CNN — 동물 연구
1005,INCLUDE,forward,Strava cycling 소음노출과 시공간적 우회(detour) 행태
1006,EX1,na,Western Bluebird 양육행동 — 동물 연구
1007,EX1,na,pied tamarin scent-marking — 동물 연구
1008,EX4,na,숲 영상·자연음 심리지표만 측정
1009,BORDERLINE,forward,human sound 구성이 사회적 상호작용 의향에 영향 — 의향 측정
1010,EX1,na,fulvetta song frequency — 동물 연구
1011,EX1,na,맹금·명금 소음영향 종합 — 동물 연구
1012,EX1,na,gibbon 활동예산·울음 — 동물 연구
1013,BORDERLINE,forward,근린환경과 신체활동 시민과학 — 음환경 변수 불명확
1014,EX5,na,시장·차고지 소음측정만 — 행태 분석 없음
1015,EX1,na,magpie 채식·경계행동 — 동물 연구
1016,BORDERLINE,forward,농촌 관광 soundscape 웰빙 경험 — 행태 측정 불명확
1017,EX1,na,magpie 인지수행 — 동물 연구
1018,INCLUDE,reverse,sitting·walking 행태 상태별 음향-시각 지각 차이 — 역방향
1019,EX4,na,캠퍼스 학습공간 선호·만족만 측정
1020,INCLUDE,forward,도시공원 시청각 요소와 behavioral vitality 분석
1021,EX4,na,soundscape 지각과 place attachment만 측정
1022,EX1,na,박쥐 활동 — 동물 연구
1023,EX5,na,목재·숲 관리 개념 제안 — 실증 행태 데이터 없음
1024,EX2,na,C-V2X 이상탐지 — 도시 옥외 공공공간 아님
1025,EX1,na,사람 존재에 대한 조류 발성 반응 — 동물 아웃컴
1026,EX4,na,소음·수면과 소아 고혈압 — 행태 아웃컴 없음
1027,EX4,na,fMRI 뇌활동·인지과제만 측정
1028,EX4,na,EEG·회복성 등 생리·지각만 측정
1029,EX2,na,주택 실내 보행진동 감지 — 옥외 공공공간 아님
1030,EX5,na,sound scenography 실무 에세이 — 실증 연구 아님
1031,EX4,na,UAS 소음 민원 의도만 측정
1032,EX1,na,Eastern Bluebird 포란행동 — 동물 연구
1033,EX3,na,주거지 녹지와 혈압 — 음환경 변수 없음
1034,EX1,na,도시 박쥐 점유 — 동물 연구
1035,EX4,na,교통소음과 인지기능 저하 — 행태 아웃컴 없음
1036,EX3,na,자연노출과 수면시간 — 음환경 변수 없음
1037,EX1,na,Chiguanco Thrush chorus — 동물 연구
1038,EX4,na,야간 인공광과 황반변성 — 행태 아웃컴 없음
1039,EX1,na,개구리 내분비 반응 — 동물 연구
1040,EX1,na,blue tit 세력권 반응 — 동물 연구
1041,EX1,na,lapwing·kingfisher 분포 — 동물 연구
1042,EX1,na,침입종 개구리 음향 — 동물 연구
1043,EX1,na,모기 wingbeat 음향분류 — 동물 연구
1044,EX1,na,pied tamarin 발성 — 동물 연구
1045,EX4,na,eye-tracking·HRV·POMS 등 생리·심리만 측정
1046,EX5,na,soundscape simulator 설계 논의 — 실증 행태 데이터 없음
1047,EX2,na,흡음 소재 리뷰 — 도시 옥외 공공공간 아님
1048,EX2,na,고층 주거 만족도 평가 — 옥외 공공공간 아님
1049,EX4,na,교통소음과 허혈성 심질환 — 행태 아웃컴 없음
1050,EX1,na,Savanna Nightjar calling height — 동물 연구
1051,EX2,na,레스토랑 실내 sensory walk — 옥외 공공공간 아님
1052,EX1,na,스노모빌 소음과 조류 발성 — 동물 연구
1053,INCLUDE,forward,공원 iNaturalist 이용·관찰 활동에 noise 등 영향
1054,EX1,na,Masked Gnatcatcher 노래 — 동물 연구
1055,EX5,na,sonic crystal 방음벽 실험 — 행태 분석 없음
1056,EX2,na,요양원 실내 sound augmentation — 옥외 공공공간 아님
