batch,id,item,item_no,verdict,rationale
nftb_05,CT0171,sample representative of the target population,4.2,N,"§2.4의 유효 323부는 연령이 20–60세에만 분포하고(20–30 25.4%, 30–40 36.5%, 40–50 26.3%, 50–60 11.8%) 60세 이상·미성년 이용자가 전혀 없어, 노인·아동 이용이 큰 중국 도시공원 이용자 모집단과 괴리가 크다. 모집단 정의·표본추출 틀·응답률도 제시되지 않았고 단일 도시라는 한계는 저자도 §4.4에서 인정한다."
nftb_05,CT0171,measurements appropriate,4.3,Y,"SPL은 지점당 10분·15분 간격 측정에 반사면 1 m·지상 1.2–1.5 m 설치로 GB 3096-2008을 따르고(§2.5), 설문은 ISO/TS 12913-2·SSQP 기반 7점 음원 라우드니스와 OSA(-3~3)·4개 형용사쌍을 사용하며(§2.4·Appendix), 군중밀도는 30 m×30 m를 1 m×1 m 그리드로 나눈 드론 사진 계수(§2.3·Fig. 2)로 노출·결과 측정이 적절하다. 다만 군중밀도는 Children's Park 지점에서만 촬영되어(Fig. 3 흐름도) 행태 변수의 적용 범위가 좁다."
nftb_05,CT0171,risk of nonresponse bias low,4.4,CT,§2.4는 유효 응답 323부와 성·연령 분포만 제시하고 접촉 인원·거절 건수·응답률을 보고하지 않아 무응답 편의의 크기를 판단할 수 없다. 조사 시기를 5월·10월의 18–26 °C 맑은 날로 제한한 것(§2.4)도 이용자 구성 편중 가능성을 남기지만 관련 비교 자료가 없다.
nftb_05,CT0171,statistical analysis appropriate to answer research question,4.5,N,"Spearman 상관·선형/이차 회귀·Kruskal-Wallis 자체는 질문에 맞으나(§2.6), OSA–RSI 관계의 임계(RSIn 0.8·1.5, RSIt 1.5·2.5)를 그래프 추세로 사후에 정한 뒤 같은 자료를 그 구간으로 나눠 회귀하고 다시 그 분류로 집단 간 검정을 수행해(§3.2–3.3, Fig. 5–10) 순환적이다. 또한 Table 1은 응답자 N(67·56), Fig. 4는 지점 단위로 분석 단위가 혼용되고 지점 내 응답 군집을 보정하지 않았으며, 하위구간 회귀의 F=7.129·5.930처럼 표본이 작다."
nftb_06,1074,qualitative approach appropriate to answer research question,1.1,Y,"연구질문이 닭의 분포, 사람–닭 접촉 방식, 이해관계자의 관리 방식, 근린의 사회공간적 과정([page 2])이라 도보 관찰·면접 중심의 질적·동물지리 접근이 적합하다."
nftb_06,1074,qualitative data collection methods adequate,1.2,Y,"Methods([page 9–10])에 전 근린을 덮는 사전 설정 도보 경로·시간(12:50–14:30)·기상·가시 반경(약 1블록), flash interview 질문 문항과 응답자 21명(거주 우편번호 기록), 배경이 다른 핵심정보원 6명 선정 근거가 기술돼 세 갈래 자료가 연구질문 각각에 대응한다."
nftb_06,1074,findings adequately derived from the data,1.3,Y,"Figs 2–3 의 목격·울음 지도와 Table 1 의 7개 주제(차이·이국성·도시경관·앰비언스·유래 궁금증·친닭 정서·미적 평가)가 현장 기록과 인용에서 직접 도출되고, 거주민·행정 측 서술도 정보원 발언에 귀속돼 있다([page 12–18])."
nftb_06,1074,interpretation of results sufficiently substantiated by data,1.4,N,개체수 증가·젠트리피케이션·급이가 분포를 바꿨다는 핵심 해석이 'likely/most likely/arguably'로 제시되고 근거는 정보원 인상뿐이며 저자 스스로 'no scientific count has ever been conducted'([page 5])라고 적는다. 1회 낮 시간 매핑으로 야간·계절 변동을 다루지 못하는데도 일반화 가능하다고 전제한다([page 9]).
nftb_06,1074,"coherence between data sources, collection, analysis and interpretation",1.5,N,코딩·분석 절차가 보고되지 않고 수기 노트를 '주제별로 정리'했다고만 하며 인용이 원문 그대로가 아닐 수 있음을 표 주석에서 밝힌다([page 14–15]). 닭을 보거나 듣지 못한 사람의 응답은 아예 기록하지 않아([page 9]) '부정적 견해 전무'라는 결과가 자료수집 설계의 산물인데도 해석에서 다뤄지지 않는다.
nftb_07,OAS0011,adequate rationale for using a mixed methods design,5.1,N,"§4 첫 문장 '중국의 거리음악 공연에 대해 실증적으로 알려진 바가 거의 없어 질적·양적 방법을 사용했다'가 유일한 근거 진술이다. 어떤 질문을 어느 성분이 답하는지, 왜 두 성분이 함께 필요한지에 대한 설명이 없어 적절한 근거로 보기 어렵다."
nftb_07,OAS0011,components effectively integrated to answer research question,5.2,Y,"§5·§7에서 같은 주제(공연 장소 분포, 체류·박수 등 청중 반응, 분위기)에 대해 설문 백분율(61.5%·65%·69%·38%·52%)과 인터뷰 인용(S3·S11·S13·S16)·현장노트·샤오훙수 코멘트를 나란히 배치해 해석하고, §4 말미에서 영상 자료의 태도·행태가 이전 설문 결과와 일치함을 확인하는 등 해석 수준의 통합이 실제로 이루어진다."
nftb_07,OAS0011,outputs of integration adequately interpreted,5.3,Y,"§8 결론의 세 가지 결론(공간 전유·공연공간 분위기·도시 차원 분위기)이 설문 수치와 질적 자료를 함께 근거로 제시하며, 예컨대 '분위기가 통행인을 멈춰 세운다'는 해석을 38% 수치와 현장 관찰·인용으로 함께 뒷받침한다."
nftb_07,OAS0011,divergences and inconsistencies adequately addressed,5.4,N,설문과 질적 자료 사이의 불일치나 부정 사례에 대한 논의가 없다. §6에서 언급되는 '주거지에서 거리음악을 소음으로 여겼다'는 반대 사례는 Yang & Kang(2005) 문헌 인용이지 본 연구 자료 내부의 불일치 처리로 볼 수 없다.
nftb_07,OAS0011,components adhere to quality criteria of each tradition,5.5,N,"정량 성분은 인기 공연장 4곳에서 203부를 배포한 편의표집으로 표본틀·대표성·무응답 논의가 없고 분석이 단순 백분율에 그친다(§4·Table 1). 질적 성분도 주제분석을 했다고만 적고 코딩 절차·삼각검증·성찰성 기술이 없으며, 2013–2014년 현장자료와 2023년 샤오훙수 자료의 시차를 '결과가 여전히 유효하다'는 서술로만 처리한다(§4)."
nftb_08,917,participants representative of the target population,3.1,N,"학년 1-6과 성별을 균형 배치했다고 밝히지만(§2.5 [page 5], Table 2) 모집 경로·표집틀·지역·학교가 전혀 보고되지 않은 40명(분석 38명) 편의표본이고, 저자도 '표본이 이 문제를 파고들기에 충분히 크지 않다'고 한계를 인정해(§3.3 [page 8]) 중국 학령기 아동 모집단을 대표한다고 보기 어렵다."
nftb_08,917,measurements appropriate regarding outcome and exposure,3.2,Y,"노출은 13개 음원을 8개 사운드스케이프로 합성해 전부 55 dBA(±1)로 정규화하고 아동 귀 위치에서 LAeq,4min 을 실측했으며 배경소음(21.0-23.2 dBA)과 심리음향 지표(FS·S·R·N, Table 6 [page 9])까지 보고해 적절하다(§2.1-2.2 [page 2-4]). 결과는 Interaction/Nonparticipation/Avoiding 을 조작적으로 정의하고 시연 단계로 'Pending' 응답을 재확인하는 절차를 갖췄으나(§2.3·Fig. 3-4 [page 4-5]) 검증된 척도가 아니고 단일 문항·15초 노출 기반이며 신뢰도·평가자간 일치도가 보고되지 않은 점이 약점이다."
nftb_08,917,complete outcome data,3.3,Y,"40명 중 개인 사정으로 중도 종료한 2명을 제외하고 38명을 분석했다고 명시했고(§2.5 [page 5]), Table 3 [page 6]의 조건별 관측수는 65-66(총 592)으로 설계상 최대치(38명 x 2 시각환경 = 76)의 약 87 %에 해당해 결측이 크지 않다. 다만 조건별 미완료 분포와 결측 처리 방법은 원문에 보고되지 않았고(각 아동은 최소 9개 자극만 필수, §2.4 [page 4-5]) 위 비율은 보고된 수치에서 산술적으로 도출한 값이다."
nftb_08,917,confounders accounted for in design and analysis,3.4,Y,"각 아동이 모든 조건을 겪는 피험자내 설계와 무작위 제시 순서, 무음 통제 조건, 사람이 등장하지 않는 영상(사회적 실체의 간섭 차단), 전 자극 동일 음압(55 dBA)으로 주요 교란을 설계 단계에서 통제했고(§2.1.3·§2.4 [page 3-5]), 분석에서도 성·연령·학년·성격과 사운드스케이프의 상호작용을 다항 로지스틱으로 검정해 유의하지 않음을 확인했다(§3.3 [page 8], X2 = 24.994, p = 0.125)."
nftb_08,917,exposure/intervention administered as intended,3.5,Y,"녹음실에서 투사 화면·스피커 배치(화면 2.5 m, 스피커 1.7 m·머리 높이)를 고정하고 소음계로 아동 귀 위치의 자극 음압을 확인해 55 dBA(±1)로 재생했으며, 자극과 영상을 절차 완료 시까지 루프 재생하고 과제 간 2분 휴식을 두는 등 노출이 의도대로 전달되었다(§2.2·§2.4 [page 3-5]). 다만 15초 후 질문을 시작해 노출 시간이 아동마다 달라질 수 있다."
nftb_10,CT0391,participants representative of the target population,3.1,N,"§3.1([page 4]-[page 5])의 표본은 대학 캠퍼스에서 자원한 30명(평균 21세, SD 2)뿐이고 집단당 15명이다. 저자 스스로 §5.3([page 11])에서 '파일럿 연구로 표본이 작고 더 다양하고 대표성 있는 모집단이 필요하다', '고령자 청력·시력 저하로 결과가 달라질 수 있다'고 밝혀 보행자 일반에 대한 대표성이 확보되지 않았다."
nftb_10,CT0391,measurements appropriate regarding outcome and exposure,3.2,Y,"결과변수는 광전 센서선이 촉발한 라이다로 물러선 순간의 차량 거리·속도를 직접 재어 계산한 TTC 로 연속척도이며(§3.3 [page 6]-[page 7]), 저자는 이산 간격·버튼 응답 방식보다 민감하다고 근거를 들어 설계 이점을 논증한다(§5.1 [page 10]). 노출측도 실제 환경은 귀마개, VR 은 무음 조건 대 공간화 3차원 차량음(엔진·타이어·공력 성분, ITD·ILD·HRTF·도플러 구현)으로 구체화되어 있다(§3.2 [page 5]-[page 6]). 다만 노출 조작이 음원 조작이 아니라 청취 차단이라는 점은 해석상 유의점이다."
nftb_10,CT0391,complete outcome data,3.3,Y,"설계상 예상 시행수 900건(2 음조건 × 2 환경 × 15명 × 15회)이 모두 기록되었다고 보고되고(§4 [page 7]), 탈락·결측 기술이 없다. Tukey fences(k=3)로 식별된 극단값 4건은 제거가 아니라 윈저화해 분석에 남겼다(§4.1 [page 7]-[page 8])."
nftb_10,CT0391,confounders accounted for in design and analysis,3.4,N,"환경 순서 균형배치, 속도 의사무작위화, 반복측정을 랜덤효과로 둔 선형혼합모형, 학습효과 회귀 점검 등 설계·분석 통제는 있으나(§3.3 [page 6]-[page 7], §4.2·4.4 [page 8]-[page 9]), 음 조건이 참가자 간 배정인데도 두 집단의 기저 특성(연령·청력·성별 구성) 비교나 공변량 보정이 보고되지 않았고 성별과 접근속도는 분석 요인에서 아예 제외되었다(§4 [page 7]). 저자도 시간 제약으로 동일 참가자가 두 음 조건을 모두 경험하지 못했음을 한계로 든다(§5.3 [page 11])."
nftb_10,CT0391,exposure/intervention administered as intended,3.5,Y,"실제 환경에서는 무음 집단이 실험 내내 청력보호구를 착용했고 VR 에서는 능동소음제거 헤드폰으로 실험실 소음까지 차단한 채 무음/유음 조건을 제시했으며, 차량은 크루즈 컨트롤로 30·35·40 km/h 정속 주행해 노출이 계획대로 제시되었다(§3.1-3.3 [page 5]-[page 6]). 다만 청력보호구의 실제 차음량이나 잔존 가청성에 대한 검증 수치는 보고되지 않았다."
