batch,id,branch,verdict,reason_code,boundary_rule,confidence,rationale
nftb_04,OAS0041,OAS,FINAL_INCLUDE,,,medium,"중국 동북부 도시의 약 1 km 노상 아침시장(주거지·학교 인접, §1-2 [page 4])에서 사운드워크·사운드매핑·직접관찰·반구조화 면접으로 시장 소리를 공연음·내비게이션음·배경음으로 축코딩하고(§3-2 [page 7–8]) 소리가 유발한 행태를 관찰한 질적 연구다. §3-2·§4-1 [page 8–10]에서 고객의 즉각 반응(고개 돌림·멈춤·응시, 음원으로 접근하거나 보행 경로 변경, 동행·상인과의 대화 개시)과 상인의 전략적 소리 사용(통행량 많을 때 호객 빈도·음량 증가)을 기술하고, 두부 판매대에서는 호객이 고객 11명을 직접 유인해 그중 5명이 즉시 구매했다고 보고한다. 본문은 영어(초록·요약만 국문 병기)이고 심사일자가 표기된 학술지 게재본이라 X6·X7에 해당하지 않는다."
nftb_04,OAS0050,OAS,FINAL_EXCLUDE,X7,,high,"중국 푸저우 5개 도시공원 고령자 779부 설문으로 12개 녹지감지 지표(A9 声环境舒适性=음환경 쾌적성 포함)와 주당 활동빈도·시간·유형 다양성·활동총량(MET-h)의 비선형 관계를 XGBoost로 분석한 연구로(§1.2–1.3 [page 2–3], 表5 [page 5]), 내용상으로는 공원 이용자 행태 결과와 음환경 지각 노출을 갖추지만 본문 전체가 중국어(《风景园林》 2025, 32(5):96-104)이며 영문은 제목·표 캡션·참고문헌 병기뿐이다. 등록본 적격기준 1(영어 게재)을 충족하지 않아 X7. 8월 코퍼스의 동일 학술지 레코드(ct rec 410) 선례와 동일 처리."
nftb_05,684,DB,FINAL_EXCLUDE,X2,,high,"브리즈번 LGA 128개 SA2를 단위로 2016년 시의회 CARS 행정자료의 이웃 간(100 m 이내) 주거 소음민원 8,338건(§4b·Table 2: 동물소음 76.2%)을 종속변수로 두고 기상 5요소와 건조환경 주성분을 단계적 회귀로 분석한 연구다(§4c·Table 3). 노출은 기상이고 음환경은 측정·조작되지 않았으며 분석 단위가 특정 옥외 공공공간이 아니라 거주지 SA2여서 X2가 먼저 적용된다. 결과인 민원은 5개 행태 도메인이 아니라 성가심에 따른 반응이라 X4도 겹치며, 8월 선례 819(푸저우 소음민원)와 같은 처리다."
nftb_05,CT0125,CT,FINAL_EXCLUDE,X2,,high,"상하이 성인 1058명 설문(2018.8–2019.2, §3.1)을 구조방정식으로 분석해 거주지·직장 '근린'의 지각 환경질(정숙성과 대기질을 묶은 잠재변수, Fig. 4)·접근성·사회자본이 통근만족·근린만족·생활만족에 미치는 경로를 본 연구다. 노출이 특정 옥외 공공공간이 아닌 근린 단위 지각이라 X2가 먼저 적용되고, 결과도 Table 2·Table A처럼 만족도(지각)뿐이어서 관찰 가능한 행태가 없다(X4 중복). 소음은 독립 변수가 아니라 환경질 잠재변수의 한 지표로만 들어가 음환경 노출로서도 약하다(§3.1)."
nftb_05,CT0171,CT,FINAL_INCLUDE,,R3,high,"하얼빈 9개 도시공원·자연공원·보행가로·간선도로의 41개 조사점에서 드론 사진으로 군중밀도(people/100 m², §2.3·Fig. 2)를 계수하고 동시에 SPL 실측(§2.5)과 현장 설문 323부(§2.4)를 수행해, 군중밀도와 인간음 비율 RSI의 상관(Table 1: RSIn ρ=0.302*, N=67 / RSIt ρ=0.553**, N=56) 및 RSI–SPL·OSA 관계(Eq. 3–6, Fig. 4–6)를 분석했다. 이용자의 공간 분포(space-use)가 측정 음환경과 사운드스케이프 평가를 바꾸는 역방향 경로이므로 R3으로 포함한다. CT 경로지만 실험실·VR 재현이 아닌 현장 연구라 P1 감점 대상이 아니고, 같은 연구진의 코퍼스 연구 CT0001(Meng & Kang 2015, 하얼빈 중앙대가 662부)과 도시·1개 사이트가 겹치나 표본·자료는 다르다."
nftb_05,89,DB,FINAL_EXCLUDE,X6,,low,"뮤어우즈 국립기념물의 VERP 적용 연구 프로그램을 요약한 미국 국립공원청 기관지 Park Science의 'Research Report'로(ISSN 1090-9966, National Resource Program Center·Office of Education and Outreach 발행 [page 9]), 동료심사 학술지 논문으로 보기 어려워 X6으로 배제한다. 내용은 2003년 설문 406부·2005년 청취과제 280명·2006년 음원 수용도 설문 286부와 2007년 Quiet Zone/Quiet Day 안내판 실험(통제 대비 각 2.84·1.96 dB(A) 감소, p=0.01, Fig. 3 주석)으로 방문객 정숙 행동→측정 음환경의 역방향(R3) 성격이 있어 게재 형식만 아니면 포함 소지가 있으나, 행태 자체는 측정되지 않았고(Table 1은 관리방안 지지도) 각 phase 원자료는 Pilcher et al. 2009·Newman et al. 2007 등으로 따로 발표된 요약 보고다. 코퍼스 709(Stack et al. 2021)와 현장·연구진·안내판 개입 계열은 같지만 709는 2016년 자료(537부·13 ARU)이고 본 건은 2003–2007년 자료라 표본 공유는 아니다. Park Science의 동료심사 지위 판단에서 갈려 confidence=low."
nftb_06,569,DB,FINAL_EXCLUDE,X3,,high,"파일은 서지(JPRA 2019 학술지 논문)와 달리 Clemson 석사학위논문판(TigerPrints, 2018)이나 지시문대로 내용으로 판정했다. 테네시 Cummins Falls State Park에서 방문자 설문 300부(§Results [page 30])와 타임랩스 카메라 1,048장의 PAOT 계수(§Methods·Results [page 27–29, 31])로 혼잡 임계·수용력과 현장내/활동 전이(displacement)를 분석한 연구로, 음환경 노출·조작·측정이 전혀 없다. soundscape 는 폭포가 매력적인 이유를 설명하는 배경 서술 2곳([page 3 초록], [page 13])뿐이라 X3. 코퍼스 v4에 같은 표본 연구 없음."
nftb_06,CT0373,CT,FINAL_EXCLUDE,X3,,high,"난징 쉬안우호공원 70개 sub-green space에서 파노라마 영상 기반 시각 지표 5종(GVR·SVR·ASR·MFD·PD, Table 1 [page 4])과 자기보고(Table 2)·관찰(SOPARC/SOSIP, Table 3–4) 신체활동·사회적 상호작용을 공간 더빈 모형으로 분석했다(Tables 6–9 [page 8–9]). 관찰 가능한 행태 결과는 충분하나 음환경 노출·측정·조작이 전혀 없다(전문 검색에서 sound/noise/acoustic 은 참고문헌 2건에만 등장) → X3. 코퍼스 CT0414 도 난징 사례이나 접근가능 정원 행태 매핑으로 대상지·표본이 달라 표본 공유 의심 없음."
nftb_06,1074,DB,FINAL_INCLUDE,,R3,low,"탬파 Ybor City(11×6 블록 옥외 가로·포켓파크)에서 저자가 도보로 닭 목격 56건과 '수탉 울음이 들리는 지점' 56건을 매핑해 사운드스케이프 지도(Fig. 3 [page 11])를 만들고, 방문자 flash interview 21명·핵심정보원 6명을 면접한 질적 연구다([page 9–10]). 관광객·업소의 급이와 원치 않는 수탉 유기가 무리 분포와 수탉:암탉 비를 바꿔 울음 빈도·분포를 형성하고, 7번가에서는 사람·차량·음악 소리가 수탉 울음을 덮으며 보행·차량 통행이 늘면 닭이 물러난다([page 13])는 행태→음환경 경로와, 방문자의 사운드스케이프 평가('I like to hear them crowing', 진정성·앰비언스, Table 1 [page 14])가 제시돼 경계규칙 R3 으로 포함했다. 갈리는 지점 셋: ① 방문자 결과 대부분이 지각·태도이고 행태(급이·접촉지대·창문 닫기·재입양)가 체계적으로 계측되지 않아 X4 로 볼 여지가 크다, ② Florida Geographer 는 DOI 가 없고 본문에 동료심사 표기가 없어 X6 확인이 불가하다(서지상 학술지 논문으로 간주), ③ 음원이 동물이나 연구 목적이 '사람이 닭의 소리·모습에 어떻게 반응하는가'로 명시된 인간 지향 연구라 X1(사운드스케이프 생태학)은 아니다. 코퍼스 v4에 같은 표본 연구 없음."
nftb_06,240,DB,FINAL_EXCLUDE,X4,,high,"스톡홀름 Mariatorget 공원(130×60 m, Hornsgatan 22,000대/일, 등가소음 55 dB(A) 초과, §3.1 [page 5])에 상설 사운드아트 'Sonic Space'를 설치해 정보 차폐를 노린 연구로 음환경 조작은 분명하다. 그러나 실증 자료는 21명 대상 실험실 청취 실험(설치 on/off 선호, 실험음 분류 과제, §3.3 [page 8])뿐이고 결과가 선호·인지·변별 같은 지각에 한정된다. 현장 행태 관찰·체류·이동 지표는 없으며 현장 정보차폐 연구는 'No such study, however, has been possible within the framework of this project'(§4.3 [page 10])로 미수행이고, §4.1 [page 9]의 행태 서술(더 편안해지고 앉아 쉬거나 수유)은 2006년 USIT 실내 쇼핑몰 사업의 비체계적 관찰 인용이라 본 연구 자료가 아니다 → X4. 실험실 재현이라 P1 조건에 해당하나(DB 경로 = 포함 방향) 행태 결과 자체가 없어 무의미해 boundary_rule 은 비웠다."
nftb_07,CT0313,CT,FINAL_EXCLUDE,X3,,high,"상하이 외곽순환로 내 스트리트뷰 60,007점의 주관적 물리적 무질서(건축·상업·도로·녹지·기반시설 5유형) 점수와 500m 격자 보행자 수(검출 85,934명)의 연관을 GM COMBO 공간회귀로 본 연구다(§2.2–2.5·Table 3·Table 5–6). 보행자 수라는 movement·space-use 행태 결과는 있으나 노출은 시각 지표(고수준 150개 이미지 요소·저수준 9개 특징)와 5D 건조환경 변수뿐이고, 본문·부록 Table A1–A4 어디에도 소음·음향·사운드스케이프 변수가 없다(전문 검색상 'audit/auditors'와 참고문헌 제목의 'audio-' 외 음환경 어휘 자체가 부재). 음환경이 통제변수로도 들어가지 않으므로 P3가 아니라 노출 부재로 X3."
nftb_07,CT0153,CT,FINAL_EXCLUDE,X4,,high,"홍콩 800명 이동기반 조사에서 휴대 소음센서(30초 간격 LAeq)·GPS·EMA 설문을 결합해 소음 지각(존재·성가심·스트레스 6점 척도)을 거리뷰 시각요소와 함께 XGBoost·SHAP로 예측한 연구다(§2.1–2.3·Table 2·Fig. 8–11). 음환경 노출은 실측되지만 결과변수는 세 가지 지각 평가뿐이고, GPS 궤적은 노출 매칭·거리뷰 수집을 위한 위치정보로만 쓰여 이동·체류·이용 등 어떤 행태 지표로도 분석되지 않는다(§2.1 5분 시간창 매칭·§3.2 13,633개 지점 단위 모델). 예측변수도 행태가 아닌 시각환경·광량이어서 역방향(행태→음환경 지각) 연구도 아니므로 X4."
nftb_07,OAS0011,OAS,FINAL_INCLUDE,,R3,high,"광저우 버스킹(街頭音樂)을 참여관찰·설문 200부·버스커 17명 및 청관 3명 인터뷰·샤오훙수 영상 60건으로 다룬 실증 연구다(§4). 정방향으로 음악이라는 음환경에 대해 멈춰 감상(65%)·분위기 때문에 체류(38%)·타인의 박수 뒤 동조 박수(69%)·영상 촬영·따라 부르기·기부·군중 형성 등 관찰·자기보고 행태가 보고되고(§5·§7), 역방향으로 버스커가 사람 흐름과 환경소음을 따져 공연 장소를 고르고 번화한 광장에서는 빠른 곡·최대 증폭으로 교통소음을 덮고 조용한 얼사섬에서는 부드러운 곡을 택해 공간의 음향적 질·분위기를 바꾸는 경로가 기술된다(§6). R3(역방향·사운드스케이프 평가 결과)에 해당하며 정방향 행태 결과도 충족해 FINAL_INCLUDE."
nftb_07,OAS0073,OAS,FINAL_EXCLUDE,X6,,high,"파일 전체가 미국음향학회 127차 학회 프로그램의 발표 초록 모음이고(J. Acoust. Soc. Am. 95(5) Pt.2, 해당 연구는 세션 3aNS9), 신시내티 항공기 소음 노출 수준이 다른 3개 가로(High/Medium/Low)에서 가구당 12가구·총 36건 구조화 면접으로 Appleyard·Lintell 모형을 검증했다는 2문단 요약만 실려 있다([page 2]–[page 3]). 동료심사 학술지 원저가 아닌 학회 초록이므로 X6. 결과가 '지각된 거주적합성' 5성분(교통 위험·심리적 스트레스·이웃과의 사회적 상호작용·프라이버시·환경 인식) 평정치뿐이어서 X4 소지도 있으나, 초록만으로는 사회적 상호작용 항목이 행태 보고인지 지각 평정인지 확정할 수 없어 확정 가능한 X6을 적용했다(코드 순서상 X4가 앞서는 점은 판단이 갈리는 지점으로 기록)."
nftb_08,1271,DB,FINAL_EXCLUDE,X3,,medium,"§METHODOLOGY [page 8-9]·RESULTS [page 9-20]에서 광시 청양팔채 동족 혼례 3건을 참여관찰·공간행태매핑·주민 12명 반구조화 면접으로 추적한 질적 사례연구로, 마당·마을길·공동우물·고루광장·풍우교 같은 옥외 공공공간의 행태(행렬 경로·연회 장소 선택·구경·건배)는 풍부하지만 음환경은 '사물-행위-사운드스케이프-군중' 상징 코딩의 한 항목으로 언급될 뿐 측정되거나 결과로 평가되지 않는다(Table 1 [page 21-23], CONCLUSION [page 27-28]). 폭죽 점화와 대가(對歌)가 축제 음환경을 만든다는 서술('ritual flow'와 'soundscape flow'가 병행한다, [page 16])은 있으나 사운드스케이프 지각·평가를 결과로 분석한 절·표가 없어 X3(음환경 노출·조작 없음, 역방향 행태→음환경 경로 미분석)으로 배제했고, 선례 772(메카 언어경관 민족지에서 소리가 기호 자원으로만 기술되어 X3)를 따랐다. 갈리는 지점: Table 1 의 폭죽 상징 의미(도착 알림·공간 전이 신호·축제감 고조·조상신에 대한 경의)와 '예전엔 조용히 신부를 데려왔다'(CPR, 79 [page 10])는 회고를 사운드스케이프 평가로 읽으면 R3 포함도 가능하다. corpus_v4_extraction.csv 대조 결과 동일 표본 연구는 없다."
nftb_08,CT0329,CT,FINAL_EXCLUDE,X4,,high,"§2.1-2.4 [page 3-5]에서 하얼빈 3개 구 30개 녹지(공원·가로변·광장·캠퍼스 녹지) 표본점의 음원을 훈련된 조사원 6명이 사계절 10일씩 1시간(15분마다 5분) 현장 청취 기록해 사운드스케이프 다양성 지수(SDI·SRI·SEI·SDO)를 산출하고, Fragstats 경관패턴지수·파노라마 경관요소 비율·실험실 설문 30명의 지각 지표와의 상관 및 단계적 회귀(Fig. 8, Table 2 [page 9])를 거쳐 사운드스케이프 쾌적도와의 매개효과를 검정했다(§4.1, Fig. 9 [page 11]). 결과 변수가 사운드스케이프 다양성 지수와 쾌적도뿐이고 이용자의 이동·체류·공간이용·사회행동·활동을 관찰하거나 설문한 자료가 전혀 없어 X4(관찰 가능한 행태 결과 없음)로 배제한다(선례 nft_02 CT0034, nft_04 957). 파노라마 사진의 human 비율과 사회적 경관요소(RLI)는 시각 경관 구성 지표로 쓰였을 뿐 행태 측정이 아니며, '인간 활동 패턴'은 계절 차 해석에만 등장한다([page 12] 결론 (1)). corpus_v4 의 CT0001(하얼빈 중앙대가 군중밀도)과 도시만 같고 표본·자료는 다르다."
nftb_08,917,DB,SENS_ONLY,,R2,medium,"§2.1-2.5 [page 2-5]에서 사람이 없는 학교 운동장·도시공원 4분 영상과 8종 사운드스케이프 자극(모두 55 dBA ±1, 귀 위치 LAeq,4min 검정) + 무음 통제 조건을 실험실에서 무작위 순서로 제시하고, 아동 38명(6-12세, 남녀 각 19명)이 '여기서 다른 사람들과 함께 있고 싶은지, 혼자 있고 싶은지, 오지 않을 것인지'에 답한 뒤 가상 캐릭터 배치·연결 시연으로 Interaction/Nonparticipation/Avoiding 을 확정했다(Fig. 3-4, Table 3 [page 4-6]). 옥외 장면의 실험실 재현이지만 branch=DB 라 P1 은 감점 사유가 아니며(경계규칙 P1), 행태 결과가 실제 수행이 아닌 '행동 기대(의도)'뿐이고 저자도 'the behavioral expectation was not a complete substitute for behavioral performance'라고 명시했으므로(§4 [page 9-10]) R2 에 따라 SENS_ONLY 로 판정한다(선례 nft_16 1172, nft_06 562). 갈리는 지점: 적격 기준 4가 자기보고 행태를 인정하고 시연 단계가 위치·동반자·활동까지 기록해 단순 의향 척도보다 구체적이어서 FINAL_INCLUDE 로 볼 여지가 있다. corpus_v4 에 아동·학교 운동장 표본 연구는 없어 표본 공유 의심 없음."
nftb_09,CT0221,CT,FINAL_EXCLUDE,X3,,high,"청두 4환 이내 250 m 격자에서 바이두 스트리트뷰 278,496장을 YOLOv3로 검출한 보행자 수(collective walking)를 종속변수로 두고 건조환경 지표를 공간시차모형(SLM)으로 분석한 연구다(§3.3.1–3.3.2 [page 4–6], §4.2·Table 4 [page 7], Table 5 [page 9]). 보행자 수라는 movement·space-use 행태 결과는 있으나 음환경 노출·조작·측정이 전혀 없다 — 독립변수는 5D 중시 지표(density·diversity·design·distance·destination, Table 1 [page 5])와 가로영상 시각지표 BVI·GVI·SVI(§3.3.1 [page 4–5])뿐이고, 전문 검색에서 noise 는 §1 서론 [page 2]의 '준도시 주민이 소음·대기오염에 더 노출되어 보행 확률이 낮아진다'는 선행연구 인용 1회뿐이며 sound·acoustic·soundscape 어휘는 참고문헌 포함 어디에도 없다. 음환경이 통제변수로도 들어가지 않으므로 P3가 아니라 노출 자체 부재로 X3(선례 CT0422·CT0264·CT0313과 동일 구조). corpus_v4_extraction.csv 대조 결과 표본을 공유하는 기존 포함 연구 없음."
nftb_09,CT0100,CT,FINAL_EXCLUDE,X3,,high,"상하이 충밍다오 둥핑국가삼림공원에서 열린 제10회 중국화훼박람회 방문객 현장 설문 429부(§3.2 [page 5–6])로 자연연결감(CTN)→문화생태계서비스(CES) 가치지각→장소·이벤트 애착→친환경행동(PEB)의 연쇄매개를 SEM으로 검정한 연구다(§4.4·Fig. 1·Table 3 [page 7, 8]). 옥외 삼림공원 이용자와 자기보고 행태 문항은 있으나 음환경 노출·조작·측정이 없다 — 'sounds'는 CES 7문항 중 '숲의 경관·볼거리·소리·냄새 등을 즐긴다'는 복합 단일문항의 한 단어로만 등장하고(Table 1 [page 6]) 별도 음 지표로 측정·분석되지 않으며, 본문에 소음·음향·사운드스케이프 변수가 전무하다(noise 는 참고문헌 제목 2건뿐). 따라서 노출 부재로 X3. 참고로 저자도 §5.3 [page 8]에서 'PEB 척도는 의향만 측정했다'고 밝혀, 설령 노출이 있었더라도 R2(SENS_ONLY) 대상이었을 사안이다. corpus_v4_extraction.csv 대조 결과 표본 공유 연구 없음."
nftb_09,848,DB,FINAL_EXCLUDE,X3,,medium,"아르헨티나 미시오네스 북부와 브라질 이과수 국립공원을 포함한 4,637 km² 90개 지점에 수동음향녹음기(SM4)를 7개월 설치해 총 15,936시간 녹음에서 총성을 검출하고(43/90 지점, §3 [page 5]) 단일종·단일시즌 점유모형으로 밀렵 발생확률을 접근비용·주변 농촌비율·순찰초소까지의 시간으로 예측한 보전생물학 연구다(§2.2–2.4·Table 1–3 [page 3–5]). 녹음은 밀렵이라는 행태를 탐지하는 계측 수단일 뿐이며, 음환경을 노출로 두거나 이용 행태를 예측변수로 삼아 음환경·사운드스케이프 평가를 결과로 분석한 관계 추정이 없다(ψ 예측변수는 모두 경관·접근성 변수이고 강우는 총성 탐지율의 교란요인으로만 쓰임, §4 [page 6]) — 노출·역방향 경로 부재로 X3. 판단이 갈리는 지점: ① 총성 자체가 사람 활동이 만든 소리라 '행태→음환경 형성'(R3)으로 읽을 여지가 있으나 행태와 음이 동일 변수여서 두 변수 사이의 경로가 성립하지 않고(선례 nft_18 1200 '행사 유형=음원 범주', nft_10 1143), ② 연구 목적이 야생동물 보전이고 PAM·Soundscape 키워드([page 1])를 쓴 점에서 X1, ③ 표본 단위가 농지·비보호림을 포함한 경관 전체이고 대상이 공공공간 이용자가 아니라는 점에서 X2(선례 819·1179)로도 볼 수 있어 confidence=medium. corpus_v4_extraction.csv 대조 결과 표본 공유 연구 없음."
