no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
883,other,Prevalence of noticing / evaluating park sounds,Whole-sample descriptive (no comparison condition),percent,noticed bird sounds 89.9%; noticed traffic sounds 73.3%; found bird sounds very pleasant 56.6%; traffic sounds unpleasant or very unpleasant 41.2%,"N = 4105 respondents (ex situ national survey, Australia)",Sec. 3.2 / Figure 2,noticing both bird sounds (89.9%) and traffic sounds (73.3%) during their last park visit,NO
883,other,Model fit of the four logistic regressions,Model summaries (not a contrast),regression,Noticing bird sounds R2 = 0.20; Perceived pleasantness of bird sounds R2 = 0.18; Noticing traffic sounds R2 = 0.03; Perceived unpleasantness of traffic sounds R2 = 0.04,"N = 4105 respondents (ex situ national survey, Australia)",Tables 1 and 2 (Model Summary rows),Model Summary R2 = 0.20 R2 = 0.18,NO
901,staying,"Static recreational behaviour count (GLMM, Poisson)",ACI (Acoustic Complexity Index) fixed effect,regression,"Estimate 0.193, Standard Error 0.009, value 21.325, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,ACI 0.193 0.009 21.325 <0.001 ***,YES
901,staying,Static recreational behaviour count (GLMM),ADI (Acoustic Diversity Index) fixed effect,regression,"Estimate 3.145, Standard Error 0.814, value 3.863, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,ADI 3.145 0.814 3.863 <0.001 ***,YES
901,staying,Static recreational behaviour count (GLMM),AR (Acoustic Richness) fixed effect,regression,"Estimate 6.639, Standard Error 1.685, value 3.939, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,AR 6.639 1.685 3.939 <0.001 ***,YES
901,staying,Static recreational behaviour count (GLMM),NDSI (Normalized Difference Soundscape Index) fixed effect,regression,"Estimate -3.260, Standard Error 0.292, value -11.163, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,NDSI -3.260 0.292 -11.163 <0.001 ***,YES
901,staying,Static recreational behaviour count (GLMM),PSD (overall Power Spectral Density) fixed effect - CAUTION: estimate/value signs inconsistent in source table,regression,"Estimate 0.447, Standard Error 0.177, value -2.526, P = 0.011 *","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,PSD 0.447 0.177 -2.526 0.011 *,NO
901,movement,Dynamic recreational behaviour count (GLMM),ACI fixed effect,regression,"Estimate -0.017, Standard Error 0.012, value -1.397, P = 0.162 (n.s.)","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,ACI -0.017 0.012 -1.397 0.162,YES
901,movement,Dynamic recreational behaviour count (GLMM),ADI fixed effect,regression,"Estimate 6.115, Standard Error 0.947, value 6.455, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,ADI 6.115 0.947 6.455 <0.001 ***,YES
901,movement,Dynamic recreational behaviour count (GLMM),AR fixed effect,regression,"Estimate 0.790, Standard Error 1.513, value 2.800, P = 0.005 **","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,AR 0.790 1.513 2.800 0.005 **,YES
901,movement,Dynamic recreational behaviour count (GLMM),NDSI fixed effect,regression,"Estimate 0.440, Standard Error 0.282, value 3.889, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,NDSI 0.440 0.282 3.889 <0.001 ***,YES
901,movement,Dynamic recreational behaviour count (GLMM),PSD fixed effect - CAUTION: values duplicate the intercept row in source table,regression,"Estimate 1.167, Standard Error 0.113, value 0.260, P = 0.795 (n.s.)","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,PSD 1.167 0.113 0.260 0.795,NO
901,movement,Passing-by behaviour count (GLMM),ACI fixed effect,regression,"Estimate 0.039, Standard Error 0.007, value 5.948, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,ACI 0.039 0.007 5.948 <0.001 ***,YES
901,movement,Passing-by behaviour count (GLMM),ADI fixed effect,regression,"Estimate -0.260, Standard Error 0.567, value 0.459, P = 0.646 (n.s.)","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,ADI -0.260 0.567 0.459 0.646,YES
901,movement,Passing-by behaviour count (GLMM),AR fixed effect,regression,"Estimate 0.057, Standard Error 1.078, value 0.314, P = 0.754 (n.s.)","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,AR 0.057 1.078 0.314 0.754,YES
901,movement,Passing-by behaviour count (GLMM),NDSI fixed effect,regression,"Estimate -0.596, Standard Error 0.181, value -4.419, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,NDSI -0.596 0.181 -4.419 <0.001 ***,YES
901,movement,Passing-by behaviour count (GLMM),PSD fixed effect - CAUTION: estimate duplicates the intercept value in source table,regression,"Estimate -10.849, Standard Error 0.135, value -4.414, P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 4,PSD -10.849 0.135 -4.414 <0.001 ***,NO
901,other,Model fit of acoustic-index GLMMs,Goodness of fit by behaviour type (not a contrast),regression,"passing-by R2 = 0.524, dAICC = 2.641; dynamic R2 = 0.478, dAICC = 2.679; static R2 = 0.453, dAICC = 3.513","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Sec. 3.3.2,"fit of acoustic indices to passing-by behavior (R2 = 0.524, AICC = 2.641) was better",NO
901,other,Model fit of acoustic-intensity (PSD band) GLMMs,Goodness of fit by behaviour type (not a contrast),regression,"passing-by R2 = 0.544, dAICC = 7.937; dynamic R2 = 0.505, dAICC = 8.446; static R2 = 0.104, dAICC = 10.280","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Sec. 3.3.2,"fit of acoustic intensity to passing-by behavior (R2 = 0.544, AICC = 7.937) outperforms",NO
901,reverse-acoustic,Spearman correlations between acoustic indices and recreational behaviour counts,"ACI / ADI / AR / NDSI vs dynamic, static, passing-by, total visitors",correlation,"ACI and AR: extremely significant positive with all behaviour types and total visitors (p < 0.01); ADI: p < 0.05 with dynamic and passing-by, p < 0.01 with total visitors and static; NDSI: significant positive only with static (p < 0.05); coefficient values shown only as a heat map, not numerically","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Sec. 3.3.1 / Fig. 9,both ACI and AR showed extremely significant positive correlations with all types of behavior,NO
901,reverse-acoustic,PSD by 1-kHz frequency interval vs recreational behaviour (Spearman),Behaviour counts vs PSD in 4-11 kHz bands (behaviour to acoustic direction),correlation,"PSD in 5-6, 6-7, 9-10, 10-11 kHz: significant negative with total visitor count (p < 0.05); 4-5 and 7-8 kHz: significant negative with passing-by (p < 0.05); 5-6, 6-7, 8-9, 9-10, 10-11 kHz: extremely significant negative with passing-by (p < 0.01); no r values reported","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Sec. 3.3.1 / Fig. 10,an increase in passing-by behaviors corresponds to lower PSD values within the 4-11 kHz frequency band,NO
901,staying,Static behaviour count (GLMM on PSD frequency intervals),PSD per 1-kHz band; significant bands only,regression,"1-2 kHz Estimate 11.392 (SE 2.664), P = 0.023 *; 3-4 kHz 32.002 (8.246), P = 0.007 **; 4-5 kHz 54.855 (16.249), P < 0.001 ***; 7-8 kHz 89.738 (21.941), P < 0.001 ***; 8-9 kHz 186.360 (83.358), P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 5,Static behavior showed a significant positive correlation with PSD values in the 1-2 kHz,YES
901,movement,Dynamic behaviour count (GLMM on PSD frequency intervals),PSD per 1-kHz band; only significant band,regression,"8-9 kHz Estimate 187.341 (SE 89.456), value 2.094, P = 0.036 *","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 5,Dynamic behavior showed a significant positive correlation with PSD values in the 8-9 kHz,YES
901,movement,Passing-by behaviour count (GLMM on PSD frequency intervals),PSD per 1-kHz band; significant bands only,regression,"3-4 kHz Estimate -7.945 (SE 4.146), P = 0.002 **; 4-5 kHz -46.875 (7.799), P < 0.001 ***; 5-6 kHz -53.032 (16.487), P = 0.001 **; 8-9 kHz -301.283 (54.650), P < 0.001 ***; 9-10 kHz -166.609 (57.228), P = 0.003 **; 10-11 kHz 303.094 (79.332), P < 0.001 ***","35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Table 5,passing-by behavior showed a significant positive correlation with PSD values in the 3-4 kHz,YES
901,other,Agreement between acoustic monitoring and traditional (SOPARC/panoramic) observation,Method comparison,percent,approximately the same composition and considerable overlap (90%) with the traditional observation method,"35 monitoring points, Jinshan Park (Fuzhou); 280 two-minute samples / 560 min audio; 7,000 panoramic images; 06:00-22:00",Sec. 4.1,demonstrates a considerable overlap (90%) with those recorded by traditional observation method,NO
930,staying,"Lack of people attendance (5-point Likert, space intractability)",Multiple regression on 4 sonic-environment variables (model summary),regression,"R = 0.313, R Square = 0.098, Adjusted R Square = 0.060, Std. Error of the Estimate 0.8934, df = 4, Mean Square 2.096, F = 2.626, Sig. = 0.039",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table 4,0.313 0.098 0.060 0.8934 4 2.096 2.626 0.039,NO
930,staying,Lack of people attendance,Predictor: unpleasantness and undesired noises,regression,"B = -0.042, Std. Error 0.095, Beta = -0.044, t = -0.447, Sig. = 0.656",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A1,unpleasantness and undesired noises -0.042 0.095 -0.044 -0.447 0.656,YES
930,staying,Lack of people attendance,Predictor: unpleasant sonic psychological effects,regression,"B = -0.086, Std. Error 0.109, Beta = -0.080, t = -0.787, Sig. = 0.433",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A1,unpleasant sonic psychological effects -0.086 0.109 -0.080 -0.787 0.433,YES
930,staying,Lack of people attendance,Predictor: deprivation of comfort through the biophony,regression,"B = 0.106, Std. Error 0.085, Beta = 0.122, t = 1.243, Sig. = 0.217",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A1,deprivation of comfort through the biophony 0.106 0.085 0.122 1.243 0.217,YES
930,staying,Lack of people attendance,Predictor: hearing the voice of sellers and purchasers continuously,regression,"B = -0.222, Std. Error 0.097, Beta = -0.233, t = -2.295, Sig. = 0.024",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A1,hearing the voice of sellers and purchasers continuously -0.222 0.097 -0.233 -2.295 0.024,YES
930,social,Not bringing friends and family (5-point Likert),Multiple regression on all 14 pleasantness + evocative/inspiring indicators (model summary),regression,"R = 0.594, R Square = 0.353, Adjusted R Square = 0.249, Std. Error of the Estimate 0.79381, df = 14, Mean Square 2.135, F = 3.387, Sig. = 0.000",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table 5,0.594 0.353 0.249 0.79381 14 2.135 3.387 0.000,NO
930,social,Not bringing friends and family,Predictor: unpleasant sonic psychological effects,regression,"B = -0.230, Std. Error 0.101, Beta = -0.215, t = -2.283, Sig. = 0.025",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A2,Unpleasant sonic psychological effects -0.230 0.101 -0.215 -2.283 0.025,YES
930,social,Not bringing friends and family,Predictor: hearing the sound of music,regression,"B = 0.307, Std. Error 0.088, Beta = 0.319, t = 3.476, Sig. = 0.001",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A2,Hearing the sound of music 0.307 0.088 0.319 3.476 0.001,YES
930,social,Not bringing friends and family,Predictor: hearing the voices of children playing,regression,"B = -0.094, Std. Error 0.085, Beta = -0.102, t = -1.104, Sig. = 0.273",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table A2,Hearing the voices of children playing -0.094 0.085 -0.102 -1.104 0.273,YES
930,staying,Space intractability items rated for the sonic environment (staying/dwell related),Single-group descriptive ratings; no comparison condition,means_sd,Lack of people attendance Mean 2.2 SD 0.921; Leisure time 3.2 (1.056); Lack of local hangouts (for young and old) 2.1 (0.928); Leaving the space 2.5 (0.982); Sitting in a place to eat and drink 3.0 (0.867); No returning to the space 2.1 (1.046); Favorable sounds and increase (continuity) attendance 2.1 (0.85),3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Table 3,Lack of people attendance 18.6 51 23.5 2.9 3.9 2.2 0.921 0.85,NO
930,social,Social-participation items rated for the sonic environment,Single-group descriptive ratings; no comparison condition,means_sd,Not bringing friends and family Mean 2.4 SD 0.915; Lack of presence of different age groups (children and elderly) 2.6 (0.869); Noise and quarreling 2.3 (0.908); Hearing the voices of children playing 2.2 (0.992); Hearing the voice of sellers and purchasers continuously 3.7 (0.971),3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Tables 2 and 3,Not bringing friends and family 15.7 39.2 35.3 7.8 2 2.4 0.915 0.839,NO
930,staying,Self-reported effect of noise on staying/leaving the space,Whole-sample descriptive,percent,about 70% of respondents report that the environment noise in the area had no bearing on their being there; about 55% state they are not being forced to leave this space by the sounds,3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Sec. 4.2,about 70% of respondents report that the environment noise in the area had no bearing on their being there,NO
930,space-use,Reason for visiting and group composition,Whole-sample descriptive,percent,"work 43.1%, shopping 41.2%, leisure time about 15%, museums about 1%; come alone about 57%, in couples 31.4%, as a group 11.8%; with family 13%, with friends 25.5%, with coworkers about 5%",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Sec. 4.4,"The majority of visitors, about 57%, come alone",NO
930,other,Sound pressure level of the study area (exposure context),Measured range vs WHO standard,none,"the range of 60 to 91 dB has been recorded in the studied area in District 12 of Tehran, 15 Khordad Street; WHO standard of 70, 50, and 35 decibels (dB)",3 user groups x 96 people (sample size 96 by Cochran's formula); questionnaire Cronbach's alpha = 0.761,Sec. 1,the range of 60 to 91 dB has been recorded in the studied area in District 12,NO
931,social,"Percentage of People in one-to-one Social Interactions, PPSI(O)",5 sound conditions: mixed bird song / water sounds / traffic noise / construction noise / control (no added sound),means_sd,"Mixed bird song 48.54% (SD 18.44), 18 excerpts / 371 users / 177 people interacting; Water sounds 53.61% (11.89), 19 / 472 / 258; Traffic noise 45.47% (11.52), 18 / 521 / 225; Construction noise 43.65% (12.74), 18 / 394 / 173; Control 44.14% (16.08), 17 / 333 / 141","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 2,The mean PPSI(O) values range from 43.65% (construction noise group) to 53.61% (water sound group),YES
931,social,"Percentage of People in Group Social Interactions, PPSI(G)",5 sound conditions (as above),means_sd,"Mixed bird song 29.64% (SD 15.79), 18 / 371 / 118; Water sounds 22.95% (14.11), 19 / 472 / 111; Traffic noise 13.88% (15.49), 18 / 521 / 89; Construction noise 10.57% (10.64), 18 / 394 / 50; Control 7.35% (8.69), 17 / 333 / 27","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 2,"mean PPSI(G) values show relatively higher differences, ranging from 7.35% (control group) to 29.64%",YES
931,social,PPSI(O) omnibus test,Kruskal-Wallis H across the 5 sound conditions,test_stat,"chi2(4) = 9.391, p = .052; mean ranks: construction 37.47, control 39.26, traffic 39.75, bird 50.92, water 59.00; no significant pairwise differences","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 3.1,"the differences were not statistically significant, chi2(4) = 9.391, p =.052",YES
931,social,PPSI(G) omnibus test,Kruskal-Wallis H across the 5 sound conditions,test_stat,"chi2(4) = 24.55, p = .000; mean ranks: control 29.15, construction 35.14, traffic 40.25, water 56.16, bird 65.31","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 3.1,"the mean rank of PPSI(G) scores were significantly different between the groups, chi2(4) = 24.55",YES
931,social,"PPSI(G) pairwise comparisons (Dunn, Bonferroni-adjusted)",Each sound condition pair,test_stat,"Control-Water Std. Test Statistic 3.150, Adj. Sig. 0.016; Control-Birds 4.163, 0.000; Construction-Birds 3.524, 0.004; Traffic-Birds 2.927, 0.034; Construction-Water 2.488, 0.128; Traffic-Water 1.883, 0.597; Control-Construction 0.690, 1.000; Control-Traffic 1.278, 1.000; Construction-Traffic 0.597, 1.000; Water-Birds 1.083, 1.000","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 3,Control-Water 27.011 8.574 3.150 0.002* 0.016*,YES
931,social,"Frequency of one-to-one Social Interactions per person, FSI(O)",5 sound conditions,means_sd,"Mixed bird song mean 0.66 (Std. Dev. 32.23), 237 interactions / 371 users; Water sounds 0.71 (17.03), 343 / 472; Traffic noise 0.54 (17.39), 270 / 521; Construction noise 0.47 (13.86), 190 / 394; Control 0.57 (19.93), 180 / 333 - CAUTION: reported Std. Dev. is implausible relative to the mean (apparent scaling error in the source table)","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 4,The mean FSI(O) values range from 0.47 (construction noise group) to 0.71 (water sounds group),NO
931,social,"Frequency of Group Social Interactions per person, FSI(G)",5 sound conditions,means_sd,"Mixed bird song mean 0.33 (Std. Dev. 17.07), 130 interactions; Water sounds 0.28 (18.60), 133; Traffic noise 0.16 (17.36), 102; Construction noise 0.12 (11.48), 55; Control 0.08 (9.26), 29 - CAUTION: reported Std. Dev. implausible relative to the mean (apparent scaling error in source table)","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 4,the mean FSI(G) values range from 0.08 (control group) to 0.33 (mixed bird song group),NO
931,social,FSI(O) omnibus + pairwise,Kruskal-Wallis H and Dunn pairwise across the 5 sound conditions,test_stat,"chi2(4) = 15.436, p = .004; Construction-Water Std. Test Statistic 3.528, Adj. Sig. 0.004 (construction mean rank 31.03, water 61.34); Construction-Birds 2.517, 0.118; Traffic-Water 2.639, 0.083; Control-Water 2.164, 0.305; all other pairs n.s.","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 3.2 / Table 5,significant differences in FSI(O) scores between the construction (mean rank = 31.03) and water sounds (mean rank = 61.34) (p =.004),YES
931,social,FSI(G) omnibus + pairwise,Kruskal-Wallis H and Dunn pairwise across the 5 sound conditions,test_stat,"chi2(4) = 24.522, p = .000; Construction-Birds 3.366, Adj. Sig. 0.008 (construction mean rank 34.97, bird 64.00); Construction-Water 4.046, 0.001 (water mean rank 57.71); Traffic-Water 3.391, 0.007 (traffic mean rank 40.36); Traffic-Birds 2.692, 0.071; Control-Water 2.761, 0.058; Control-Birds 2.054, 0.400","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 3.2 / Table 6,"the mean rank of FSI(G) scores were significantly different between the groups, chi2(4) = 24.522",YES
931,social,"Percentage of Time Spent on one-to-one Social Interaction, PTSSI(O)",5 sound conditions,means_sd,"Mixed bird song 24.55% (SD 10.32), total use 2502.4 min, interaction 621.0 min; Water sounds 26.82% (11.39), 3222.4 min, 904.3 min; Traffic noise 13.88% (15.49), 3026.9 min, 764.6 min; Construction noise 10.57% (10.64), 2616.3 min, 735.2 min; Control 7.35% (8.69), 2183.1 min, 537.6 min - CAUTION: the traffic/construction/control mean and SD values are identical to the PPSI(G) values in Table 2 and contradict the reported non-significant omnibus test (apparent source error)","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 7,The mean PTSSI(O) values range from 7.35% (control group) to 26.82% (water sound group),NO
931,social,"Percentage of Time Spent on Group Social Interaction, PTSSI(G)",5 sound conditions,means_sd,"Mixed bird song 16.90% (SD 13.72), group interaction 417.8 min of 2502.4 min use; Water sounds 11.97% (9.94), 400.4 / 3222.4; Traffic noise 5.24% (6.86), 208.7 / 3026.9; Construction noise 4.68% (5.80), 156.1 / 2616.3; Control 3.23% (5.89), 84.63 / 2183.1","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Table 7,the mean PTSSI(G) values range from 3.23% (control group) to 16.90% (mixed bird song group),YES
931,social,PTSSI(O) omnibus test,Kruskal-Wallis H across the 5 sound conditions,test_stat,"chi2(4) = 1.111, p = .893; no statistically significant pairwise differences","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 3.3,"The mean rank of the PTSSI(O) scores were not significantly different between the groups, chi2(4) = 1.111",YES
931,social,PTSSI(G) omnibus + pairwise,Kruskal-Wallis H and Dunn pairwise across the 5 sound conditions,test_stat,"chi2(4) = 22.952, p = .000; Construction-Water Std. Test Statistic 3.834, Adj. Sig. 0.001 (water mean rank 57.42, construction 36.61); Traffic-Water 3.186, 0.014 (traffic 37.50); Control-Water 3.082, 0.021 (control 30.59); Construction-Birds 3.129, 0.018 (bird 63.89); Control-Birds 2.358, 0.184; Traffic-Birds 2.463, 0.138","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 3.3 / Table 8,"the mean rank of the PTSSI(G) scores was significantly different between the groups, chi2(4) = 22.952",YES
931,social,Headline magnitude of the natural-sound effect,Natural sounds vs no added sound,percent,Natural sounds increase about 10% of people engaging in social interactions; Natural sounds increase the total duration of social interactions by about 10%,"90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Highlights,Natural sounds increase about 10% of people engaging in social interactions,NO
931,other,Sound pressure levels of the experimental conditions (exposure context),Quiet baseline vs four interventional sounds,none,"site average Laeq 52.7 dB under quiet conditions (42 grid points); background noise L90 56.1 dB(A); Laeq with intervention and no human activity: mixed bird song 61.7 dB, water 61.0 dB, traffic 58.0 dB, construction 64.3 dB; mean SPL during the experiment: control 65.3 dB, bird 66.0, water 67.2, traffic 64.8, construction 65.5; maximum difference vs no intervention 1.9 dB","90 ten-minute video excerpts (bird 18, water 19, traffic 18, construction 18, control 17); 7 observation days; 210 min per sound condition",Sec. 2.4 and 2.5,The average sound pressure level without sound intervention (control group) was 65.3 dB,NO
941,movement,"Crowd walking speed (m/s), estimated marginal means","High SPL traffic noise 70.5 dB vs low SPL 55.6 dB, across 10 odour-concentration grids",means_sd,"overall estimated marginal mean of crowd speed 1.17 m/s; high SPL grid means (grids 1-10) 1.24, 1.24, 1.23, 1.22, 1.20, 1.19, 1.19, 1.19, 1.18, 1.18 m/s; low SPL grid means 1.15, 1.15, 1.15, 1.14, 1.14, 1.13, 1.13, 1.13, 1.14, 1.14 m/s; maximum difference in speeds between grids only 0.06 m/s (SD not reported)","N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Sec. 3.2 / Figs. 5 and 6,mean values gradually slowed down from 1.24 m/s at high SPL as the odor went from none to strong,NO
