uid,source,final_verdict,orig_id
CT0212,citation-tracking,FINAL_EXCLUDE,212
CT0219,citation-tracking,FINAL_EXCLUDE,219
CT0220,citation-tracking,FINAL_INCLUDE,220
CT0221,citation-tracking,FINAL_EXCLUDE,221
CT0223,citation-tracking,FINAL_INCLUDE,223
CT0233,citation-tracking,FINAL_EXCLUDE,233
CT0241,citation-tracking,FINAL_EXCLUDE,241
CT0264,citation-tracking,FINAL_EXCLUDE,264
CT0265,citation-tracking,FINAL_EXCLUDE,265
CT0267,citation-tracking,FINAL_EXCLUDE,267
CT0268,citation-tracking,FINAL_EXCLUDE,268
CT0269,citation-tracking,FINAL_EXCLUDE,269
CT0273,citation-tracking,FINAL_EXCLUDE,273
CT0274,citation-tracking,FINAL_EXCLUDE,274
CT0285,citation-tracking,FINAL_EXCLUDE,285
CT0296,citation-tracking,FINAL_EXCLUDE,296
CT0307,citation-tracking,FINAL_EXCLUDE,307
CT0309,citation-tracking,FINAL_EXCLUDE,309
CT0313,citation-tracking,FINAL_EXCLUDE,313
CT0320,citation-tracking,FINAL_EXCLUDE,320
CT0322,citation-tracking,FINAL_INCLUDE,322
CT0327,citation-tracking,FINAL_EXCLUDE,327
CT0328,citation-tracking,FINAL_EXCLUDE,328
CT0329,citation-tracking,FINAL_EXCLUDE,329
CT0335,citation-tracking,FINAL_INCLUDE,335
CT0342,citation-tracking,FINAL_EXCLUDE,342
CT0343,citation-tracking,FINAL_EXCLUDE,343
CT0348,citation-tracking,FINAL_INCLUDE,348
CT0356,citation-tracking,SENS_ONLY,356
CT0360,citation-tracking,FINAL_EXCLUDE,360
CT0365,citation-tracking,FINAL_EXCLUDE,365
CT0369,citation-tracking,FINAL_EXCLUDE,369
CT0371,citation-tracking,FINAL_INCLUDE,371
CT0373,citation-tracking,FINAL_EXCLUDE,373
CT0378,citation-tracking,FINAL_EXCLUDE,378
CT0382,citation-tracking,FINAL_EXCLUDE,382
CT0390,citation-tracking,FINAL_EXCLUDE,390
CT0391,citation-tracking,FINAL_INCLUDE,391
CT0395,citation-tracking,FINAL_EXCLUDE,395
CT0410,citation-tracking,FINAL_EXCLUDE,410
CT0413,citation-tracking,FINAL_EXCLUDE,413
CT0414,citation-tracking,FINAL_INCLUDE,414
CT0422,citation-tracking,FINAL_EXCLUDE,422
CT0428,citation-tracking,FINAL_EXCLUDE,428
