no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
379,FINAL_INCLUDE,2016,NOISE MAPPING,Urban park soundscape in distinct sociocultural and geographical contexts,Brazil; Portugal,park,mixed,NR,"공원 내·외부 LAeq 1/3-octave 측정과 음원별 가청도(masking threshold) 실험실 분석, 사운드맵(<45~>75 dB 5 dB 간격); 음원은 도로교통·기타 전기기계음(환기·공사·레크리에이션)·인간음(대화·아이놀이·고함)·동물음(주로 새)·자연음(물·바람·비)",activity; space-use,"공원별 여가활동 종류와 이용 실태(Table 4), 방문 목적·계획된 활동에 대한 기대 — 사운드워크·인터뷰·설문으로 수집",self-report,reverse,"지리·기후가 공원 이용 활동과 행태를 결정하고 그 활동이 방출하는 자연·인공 음이 공원 사운드스케이프를 형성해, Belém과 Lisbon의 상이한 사회문화·환경 맥락에서 소리환경 평가와 평온감이 서로 다르게 나타났다",NR
406,FINAL_INCLUDE,2017,SCIENCE OF THE TOTAL ENVIRONMENT,Effect of temporary open-air markets on the sound environment and acoustic perception base,China,"street (Wenxing Street 임시 노천시장, 폭 10 m·길이 600 m)",mixed,NR,"임시 노천시장 개설 여부와 구역화 개입(2016년 8월 청과·식품·의류 3개 존으로 분리, 전후 7월·9월 측정); 시장 미개설 대비 SPL·주관적 loudness 변화 및 존별 음압",space-use,"군중밀도(person/m²) — 40 m×10 m 조사구역을 고소에서 30초 간격 5분간 촬영, 5 m×5 m 그리드로 인원 계수 후 면적으로 나눈 평균값",observation,reverse,"구역화 없는 임시 노천시장은 시장 부재 대비 음압 2.4 dBA와 주관적 loudness 0.21을 높였고, 군중밀도 증가에 따라 음압·loudness는 증가하는 반면 음향 쾌적성은 포물선 관계를 보이며 판매 존별로 상반된 추세를 나타냈다",a temporary open-air market without zoning increases the sound pressure level and subjective loudness by 2.4 dBA and 0.21 respectively; relationship between crowd density and perceived acoustic comfort is parabolic
435,FINAL_INCLUDE,2017,Sound Studies,Soundscape and sonic memory: dynamics of Jewish and Muslim day-to-day social interactions ,Iran,street (Udlajan 구도심 근린의 골목·가로·인도·상점 앞·시나고그 마당 등 옥외/반옥외 공공공간; 일부 실내 서술 혼재),mixed (ethnography: 참여관찰 + 심층 반구조화 회고 인터뷰 · 내러티브 분석),"10 (유대인 5·무슬림 5, 전 거주민; 45-70대)",1959-1979년 및 현재 Udlajan 근린의 일상 사운드스케이프 — 골목 행상의 호객 노래·가금상점 닭 소리·상거래음·유대-페르시아어 억양·시나고그 히브리어 기도·무하람 북과 애도 낭송·현재의 교통소음 (음향 실측 없음),space-use; social; movement,"회고 내러티브에 나타난 공공공간 이용·출입·회피 행동(닭 소리를 듣고 길 건너편으로 방향 전환, 시나고그·모스크 출입 자제, 무하람 행렬을 인도에서 관람·기부, 마당 결혼식을 지붕에서 관람)과 유대인-무슬림 간 일상 사회적 상호작용·포함/배제 실천",self-report (ethnographic interviews + 참여관찰),both,"특정 소리가 집단 경계 표지로 작동해 공공공간 이용·회피 행동을 유발했고(가금상점 소리에 길 반대편으로 방향 전환, 기도 소리에 시나고그 출입 자제), 역으로 종교의례·행상·상거래 등 주민 행위가 근린 사운드스케이프를 형성했으며, 권력관계는 유대인의 공적 소리 실천(토라 이송 행렬·확성기 사용)을 제약했다",NR (질적 민족지 · 통계량 보고 없음)
461,FINAL_INCLUDE,2018,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Effect of Traffic Noise and Relaxations Sounds on Pedestrian Walking Speed,Czech Republic,street,field-experiment,83 (forest birdsong 31 / traffic noise 26 / control 26),headphone playback during a 1.8 km urban walk: traffic noise track at mean 53 dBA vs forest birdsong track at mean 56 dBA vs a no-sound control; route traffic noise about Lday 55-60 dBA in sections 1-4 and 50-55 dBA in sections 5-7,movement,walking speed (m/s) across seven marked sections of the route,sensor-GPS-video (waist-worn video camera used to time marked section crossings),forward,Participants listening to traffic noise walked significantly faster than both the forest-birdsong and the control participants while birdsong listeners walked slightly slower than controls (not significant).,NR
469,SENS_ONLY,2018,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,Exploring tourists' soundscape emotion and its impact on sustainable tourism development,China,recreation,survey,566 (700부 배포·유효응답률 80.9%),"Kulangsu 관광지의 다층 사운드스케이프(피아노 음·파도가 바위를 치는 소리·고전 정원의 고요·관광객 목소리) 경험에서 형성된 tourists' soundscape emotion(TSE, positive vs negative)을 조절변수로 투입",social; activity,Halpenny(2010) 6항목 자기보고 pro-environmental behaviour(PEB) 척도,self-report,forward,connectedness to nature·place attachment가 PEB로 이어지는 모든 경로가 negative soundscape emotion 집단보다 positive soundscape emotion 집단에서 더 유의하게 강했다,"NR (PLS-SEM·5000회 부트스트랩 multi-group analysis Table 5, H1 미지지 등 β 수치는 발췌에 없음)"
480,FINAL_INCLUDE,2018,APPLIED SCIENCES-BASEL,Influence of Contextual Factors on Soundscape in Urban Open Spaces,China,street (two commercial pedestrian streets - Kuan Alley and Central Avenue),mixed (field-observation of crowds + acoustic measurement + questionnaire),26 survey days over two seasons; questionnaire respondent count NR (about 40% male / 60% female),contextual factors of the acoustic environment - shop openness (semi-open vs closed) season (summer vs winter) and commercial function zone (dining with hawking / shopping with pop background music at 95-100 bpm / performance with live instrumental music),social; space-use,number of talkers counted every 30 s from video of the survey zone; crowd density (persons/m2) measured photographically with a drone,sensor-GPS-video and observation (drone photography + video counting) plus self-report questionnaire for acoustic comfort,reverse,Crowd and talking behaviour shaped the soundscape - a 0.1 persons/m2 rise in crowd density raised sound pressure level by 1.3 dBA in winter and 2.2 dBA in summer - and the number of talkers rose with density (higher in Central Avenue) while acoustic comfort declined in Kuan Alley and was parabolic in Central Avenue.,crowd density +0.1 persons/m2 -> SPL +1.3 dBA (winter) and +2.2 dBA (summer); Kolmogorov-Smirnov normality test and t-tests at p<0.01 and p<0.05
481,FINAL_INCLUDE,2018,FRONTIERS IN PSYCHOLOGY,Influence of Music on the Behaviors of Crowd in Urban Open Public Spaces,China,square (100 m x 70 m urban leisure square in Harbin),field-experiment,NR (on-site crowd observation; crowd density under 0.05 persons/m2),familiar pop song 'Free to Fly' at 120 bpm reproduced through a concealed loudspeaker at 88-90 dBA cyclically alternated with silence; background level 56.7 dBA and 88.3 dBA at 2 m from the source,movement; staying; space-use,path and speed of passing-by behaviour; area perimeter and speed of walking-around paths; crowd density of sitting behaviour by distance from the sound source,observation (on-site behavioural observation) combined with grid sound level measurement,forward,Music centralised passing-by paths (8.3% of people walked near the square edge without music vs 0% with music) reduced the mean area and perimeter of walking-around paths slowed walking-around speed by 0.296 m/s and concentrated sitting nearer the sound source while passing-by speed was unchanged.,passing-by near edge 8.3% (no music) vs 0% (music); walking-around mean speed 0.296 m/s slower with music
492,FINAL_INCLUDE,2018,FRONTIERS IN PSYCHOLOGY,Public Space Users' Soundscape Evaluations in Relation to Their Activities. An Amsterdam-B,Netherlands,park (three public spaces in Amsterdam including two traditional urban parks),mixed (behavioural mapping observation + on-site questionnaire + spatial analysis),NR (park users approached on site; count not in excerpt),everyday in-situ soundscapes of three Amsterdam public spaces with no intervention; users' ranked soundscape evaluations and free-response descriptions of what they heard,activity; social; space-use,observable activity categories and their locations recorded by non-intrusive behavioural mapping; level of social interaction of the activity (solitary vs socially interactive),observation (behavioural mapping) plus self-report (on-site questionnaire with ranked evaluations and open-ended justifications),reverse,Socially interactive users rated their soundscapes as more suitable and less disruptive for their activity than solitary users - so the social level of the ongoing activity shapes soundscape evaluation (magnitudes not in excerpt).,NR
494,FINAL_INCLUDE,2018,SCIENCE OF THE TOTAL ENVIRONMENT,"Relationships among satisfaction, noise perception, and use of urban green spaces",Spain,park,survey,182,"Cáceres 도시 녹지 7곳의 소음 — 설문과 동시에 실측한 Leq(dB)·sharpness 등 음향지표, 주 음원은 도로교통과 사람 소리(목소리·아이들·공사·유지관리)이며 동물·물소리 포함",activity; space-use; social,"녹지 내 활동(talking·reading·relaxing·walking·exercising) 수행 빈도와 소음으로 방해받는 빈도(5점 Likert), 녹지 이용 유형",self-report,forward,"소음이 낮은 지점일수록 산책·휴식 활동 빈도가 높았고, 소음으로 가장 자주 방해받는 활동은 걷기·대화(및 대화 중단)였다",NR (행태 관련 다항 로지스틱 회귀는 Table 5-6에 있으나 발췌에 수치 없음; 전반 만족도 설명력만 71.4% 제시)
520,FINAL_INCLUDE,2019,ACTA ACUSTICA UNITED WITH ACUSTICA,An Exploratory Study on the Influence of Activities on Public Space Users' Descriptions of,Netherlands,park,survey,92,"Amsterdam Oosterpark 두 하위구역(S1 대형 개방 잔디밭·S2)의 실제 현장 청각환경 — 이용자가 자유기술한 음원(직접적 인간음 우세), 별도 음향 실측 없음",activity; social; staying,자기기술한 공원 내 활동을 사회적 상호작용 수준(solitary vs socially interactive)과 의미범주로 open coding 분류,self-report,reverse,"활동의 사회적 상호작용 수준이 이용자의 청각환경 기술에 관찰가능한 영향을 미쳐, 사회적 상호작용 활동군은 나열한 음원 종류와 구문(syntactic) 수준 기술에서 solitary 군과 달랐다",NR
532,FINAL_INCLUDE,2019,PEERJ,Effect of birdsongs and traffic noise on pedestrian walking speed during different seasons,Czech Republic,street,field-experiment,"87 (Experiment 1, 가을) + 65 (Experiment 2, 봄)",헤드폰 재생 birdsong soundtrack 56 dB(A) vs crowded city noise 53 dB(A) vs 무청취 real outdoor 3조건; 1.8 km 도시 보행 루트(구간별 traffic noise Lday 55-80 dB(A)),movement,8개 구간(45-100 m)의 평균 보행속도 — 허리 벨트에 장착한 비디오카메라 영상을 ELAN으로 구간 주석 처리해 산출,sensor-GPS-video,forward,"birdsong 청취는 보행속도를 낮췄으나 이 효과는 봄 실험에서만 유의했고, crowded city noise 조건과 real outdoor 조건 간 보행속도 차이는 유의하지 않았다",NR (two-way mixed ANOVA·Greenhouse-Geisser 보정 수행되었으나 발췌에 수치 없음)
539,FINAL_INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Factors associated with soundscape experiences in urban green spaces: A case study in Rost,Germany,park (four urban green spaces in Rostock),survey,400 (100 per site),everyday soundscape of green spaces designated quiet areas (Lden < 50 dB) characterised by 12 sounds including street traffic motorcycle noise bird song water sound and tree rustling,staying; activity; space-use,length of stay (<1 h / 1-3 h / >3 h); visit frequency; five visit motivations,self-report (on-site questionnaire),reverse,Among the social/demographic/behavioural factors length of stay was the one most associated with soundscape experience (especially perception of street traffic sound and bird song) and all five visit motivations were positively related to overall soundscape preference with 'Enjoy a quiet environment' the strongest (rho = 0.323).,Spearman rho = 0.323 for 'Enjoy a quiet environment' vs overall soundscape preference (other coefficients in tables not in excerpt)
560,FINAL_INCLUDE,2019,URBAN FORESTRY & URBAN GREENING,Perceptions and use of urban green spaces on the basis of size,Spain,park,survey,210,"Cáceres 대형(22.0·10.6 ha)·소형(0.5-3.2 ha) 도시 녹지의 소음 — 설문과 동시 실측한 Leq(binaural Noise Book·ISO 1996-2), 소음 짜증 8항목(도로교통·아이들·비명·공사·유지관리·동물·물)",activity; space-use; social,"녹지 내 활동 수행 빈도 6항목(reading·taking children outside·relaxing·exercising·walking·talking, 5점 Likert)",self-report,forward,"녹지 규모는 걷기·운동·휴식 빈도와 정적 상관을 보였고, 수목(groves) 존재는 두 유형 모두에서 신체활동을 촉진했으며 대기질과 소음 부재는 대형 공원의 휴식 활동에 기여했다",NR (다항 로지스틱 회귀 Table 3-4에 제시되나 발췌에 수치 없음)
566,FINAL_INCLUDE,2019,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Soundtracking the Public Space: Outcomes of the Musikiosk Soundscape Intervention,Canada,park (pocket park - Parc du Portugal Montreal),mixed (soundscape intervention evaluated with questionnaires interviews behavioural observation and acoustic monitoring),NR (park users and non-users across five project phases; counts not in excerpt),Musikiosk - an unsupervised gazebo installation letting park users play their own audio content over publicly provided speakers during summer 2015,staying; social; space-use,behavioural observations of park use; activity categorisation before vs after installation; lingering interaction and sharing behaviours,observation (behavioural observation) plus self-report (questionnaires and interviews) plus acoustic monitoring,both,The user-controlled music installation increased social interaction and lingering behaviours and animated an underused section of the park without displacing existing users while perceived soundscape calmness and appropriateness were not affected.,NR
602,FINAL_INCLUDE,2020,BUILDING AND ENVIRONMENT,"Comparing associations among sound sources, human behaviors, and soundscapes on central bu",South Korea,street,mixed,120 soundscape data sets (CBD 48·commercial 72 sessions; 참가자 수 NR),"서울 8개 가로(CBD 3·상업 5)의 음환경 — 5분 바이노럴 녹음 기반 음향 파라미터(레벨·스펙트로-시간 특성), 설문상 음원 우세도 5점 척도(traffic·human·natural·music·others)",space-use,가로별 비디오 녹화 관찰로 산출한 crowd density(군집밀도),observation,reverse,"상업가로에서는 crowd density가 사운드스케이프 예측의 핵심 지표였고 인간활동 음이 Pleasantness와 Eventfulness를 함께 높인 반면, CBD에서는 교통소음 음향 파라미터가 지배적이어서 Eventfulness 증가가 Pleasantness 감소로 이어졌다",NR (Spearman correlation·예측모형 계수가 Table 2·4에 제시되나 발췌에 수치 없음)
617,FINAL_INCLUDE,2020,SUSTAINABILITY,Examining the Associations between Oases Soundscape Components and Walking Speed: Correlat,Algeria,street,field-observation,27,oasis soundscape components in 3 Algerian oases (Branis; Chetma; M'Chouneche) identified from binaural recordings at 738 stations and 6 soundwalk routes (18 sections); dominant sound category per section - anthrophony vs biophony vs geophony,movement,mean walking speed (m/s) per route section = distance / stopwatch-timed duration,observation (stopwatch-timed individual soundwalk with binaural recording),forward,Geophonic and biophonic sound dominance showed a moderate significant negative correlation with mean walking speed while human (anthrophonic) sound was identified as the cause of increased mean walking speed (one-way ANOVA + Tukey post hoc); no significant Spearman correlation for anthrophonic sounds,NR
661,FINAL_INCLUDE,2020,APPLIED SCIENCES-BASEL,The Influence of Noise Emitted by Vehicles on Pedestrian Crossing Decision-Making: A Study,Portugal,VR-lab,lab-VR-experiment,10,approaching-vehicle auditory condition in a virtual replica of two real streets: gasoline combustion engine noise vs electric vehicle noise vs no sound; controlled pass-by recordings at speeds <=30 km/h with 3 speed patterns (constant / slow down / stop),movement,percentage of crossings and crossing response time (moment participant indicated the decision to cross),sensor (VR simulator response logging),forward,Crossing decisions were driven mainly by vehicle distance and speed pattern with no apparent influence of the auditory condition (electric vs combustion vs silent) when the vehicle approached from a short distance without visual occlusion,NR
665,FINAL_INCLUDE,2020,BUILDING AND ENVIRONMENT,The effects of sounds and food odour on crowd behaviours in urban public open spaces,China,street,field-experiment,NR (numbers of behavioural observation samples per condition given in Table 1; not in excerpt),loudspeaker-played sound in a commercial pedestrian street: music (Annie's Wonderland; 100.99 bpm) vs fan sound (highest annoyance rating >6/7) vs no played sound; crossed with bakery food odour present vs absent,movement; staying; space-use,crowd path (ordinate y at path/longitudinal-line intersections = distance from sensory source); crowd walking speed; duration time per 3 m x 3 m grid,observation (covert behavioural observation on a gridded site),forward,Music significantly attracted crowd paths toward the source; reduced crowd speed (slower with greater proximity) and increased duration time; fan sound pushed paths away; increased speed and decreased duration; bakery odour drew paths closer under both sounds and significantly increased duration; sound x odour interaction on speed and duration was not significant,NR
666,FINAL_INCLUDE,2020,LANDSCAPE AND URBAN PLANNING,The influence of human behavioral characteristics on soundscape perception in urban parks:,France (공원 촬영지); 실험실 소재 국가 NR,VR-lab,lab-VR-experiment,"30 (male 17·female 13, mean age 25.2, SD 2.11)",파리 3개 공원(Arènes de Lutèce·Champ de Mars·Jardin des Tuileries) 12개 지점의 360도 오디오-비주얼 VR 자극(지점별 30초 간격 5개 시점) — 음원 요소 traffic·humans·birdsong·water 지각 평가,social; staying; activity; space-use,"영상 관찰로 정량화한 인간 행태 특성 — 사회적 상호작용(alone vs group), 체류 조건(공원 내 체류 vs 통과), 활동 유형(walking·jogging/running 등)별 인원수",observation,reverse,"다른 사람이 내는 소리는 지각된 tranquility·peacefulness를 낮추고 dynamic·lively 경험을 높였으며, 공원 선호의 1차 결정요인은 활동 유형이 아니라 사람의 유무였다",NR (two-way ANOVA·PCA 수행되었으나 발췌에 수치 없음)
694,FINAL_INCLUDE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Associations between Personal Attitudes towards COVID-19 and Public Space Soundscape Asses,Belgium,park,survey,109,"Ring road 고속도로 교통소음이 지배적인 녹지 자전거·보행로, LA,50 62-65 dBA, 식생 berm 방음·조경 개입 구간",movement; space-use,자기보고 코로나 대응 행태 변화(대중교통 이용 감소·자전거 이용 증가·공공장소 회피)와 공공공간 환경질 중요도 변화,self-report (현장 인터셉트 설문 + 음압레벨 실측),reverse,"대중교통을 피하고 자전거를 더 타는 등 실제로 행태를 바꾼 응답자는 같은 장소의 사운드스케이프를 덜 vibrant/exciting 하게 평가했고, 팬데믹 우려가 큰 집단은 자연음과 인근 도로 교통음을 더 많이 지각했다",NR
724,FINAL_INCLUDE,2021,EMOTION SPACE AND SOCIETY,Exploring the soundscape and the atmosphere of the Gigli di Nola cultural festival in Ital,Italy,street,mixed,120 (축제 당일 인터뷰 참여자; bearers·non-bearers),"Gigli di Nola 축제 사운드스케이프 — Macchine 인근과 관람 동선에서 바이노럴 녹음(LAmin·LAeq·LAmax·percentile), 베이스드럼 120-150 Hz 대역 필터로 추출한 약 108 bpm의 2/4 및 6/8 리듬",movement; social; activity; space-use,"bearers의 공간 기동(marcia·mezzo·girata 등 Giglio 전진·회전 동작)과 박자 대응 관계, non-bearers의 축제 참여·동선 — 현장노트·사진·스펙트로그램 대조로 기록",observation,both,"약 108 bpm(Andante)의 음악 리듬이 bearers의 기동과 행렬 진행을 유도하고 사운드스케이프가 축제 분위기를 지배해 bearers·non-bearers 행태에 영향을 미치는 한편, 참여자들의 행위가 그 사운드스케이프를 만들어내는 상호구성 관계가 확인되었다","NR (약 108 bpm·LAeq 변동은 Fig. 7로만 제시, 통계 검정 없음)"
725,FINAL_INCLUDE,2021,FRONTIERS IN PUBLIC HEALTH,Factors Affecting Perceived Health Benefits and Use Behaviors in Urban Green Spaces During,China,park,survey,628,perceived quality/quantity of urban green space soundscape rated on a 5-point Likert scale as one of 15 UGS component items (landscape characteristics block) during the COVID-19 pandemic,space-use; activity,frequency of visits; duration of visits; activity intensity,self-report,forward,Soundscape (together with green space access and maintenance) significantly predicted perceived physical/mental/social health benefits; but use behaviours (visit frequency; duration; activity intensity) were determined mainly by sociodemographic context and only weakly by UGS components; with place attachment mediating effects on visit frequency and duration,NR
