rec,verdict,reason_code,note,openalex_id,route,tier,year,journal,doi,title
28,EXCLUDE,E4,시청각 상호작용 지각·만족도만,W2989883879,backward,T2,2019,Building and Environment,10.1016/j.buildenv.2019.106544,Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment
29,EXCLUDE,E4,도시맥락별 음환경 지각 구조모형,W2190736444,backward,T2,2015,Landscape and Urban Planning,10.1016/j.landurbplan.2015.05.004,Influence of urban contexts on soundscape perceptions: A structural equation modeling approach
30,EXCLUDE,E4,식생 통한 교통소음 저감 물리,W2572937928,forward,T2,2017,Applied Acoustics,10.1016/j.apacoust.2017.01.007,Urban cities and road traffic noise: Reduction through vegetation
31,EXCLUDE,E4,녹지·공원 음환경 질 평가만,W151404408,backward,T2,2006,Acta acustica united with Acustica,,Soundscape quality in suburban green areas and city parks.
32,EXCLUDE,E4,음·시각 요소 설계와 지각 개선,W2035038820,backward,T2,2013,The Journal of the Acoustical Society of America,10.1121/1.4817924,Designing sound and visual components for enhancement of urban soundscapes
33,EXCLUDE,E5,도시 음환경 개관·해설 성격,W4299105512,backward,T2,2007,Building Acoustics,10.1260/135101007781448000,Urban Sound Environment
34,MAYBE,,음환경 시공간 변동 — 활동·용도 연계 가능,W2053951701,backward,T2,2013,Landscape and Urban Planning,10.1016/j.landurbplan.2013.03.008,Spatiotemporal variability of soundscapes in a multiple functional urban area
35,EXCLUDE,E4,공개공간 음환경 평가·기술 논의,W2002075378,backward,T2,2007,Environment and Planning B Planning and Design,10.1068/b31162,"Towards the Evaluation, Description, and Creation of Soundscapes in Urban Open Spaces"
36,EXCLUDE,E3,녹지방문-정신건강 매개 — 음환경 없음,W2768784252,forward,T2,2017,Environment and Behavior,10.1177/0013916517738563,"Do Physical Activity, Social Cohesion, and Loneliness Mediate the Association Between Time Spent Visiting Green Space and Mental Health?"
37,EXCLUDE,E4,도시-농촌 구배 음환경 변동만,W1968119741,backward,T2,2011,Landscape and Urban Planning,10.1016/j.landurbplan.2011.08.001,Analysis and interpretation of variability in soundscapes along an urban–rural gradient
38,EXCLUDE,E4,새소리 다양성과 경관 선호 평가,W1972316688,backward,T2,2014,Urban forestry & urban greening,10.1016/j.ufug.2014.04.002,Bird song diversity influences young people's appreciation of urban landscapes
39,EXCLUDE,E4,녹지와 소음 지각 관계만,W1618903645,backward,T2,2015,Urban forestry & urban greening,10.1016/j.ufug.2015.09.006,Green spaces and environmental noise perception
40,MAYBE,,공원 자연접촉 경험 — 음환경 포함 여부 불확실,W2262339893,backward,T2,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2015.11.002,Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá
41,EXCLUDE,E4,공원 소음측정·인터뷰 평가만,W1987624550,backward,T2,2009,The Science of The Total Environment,10.1016/j.scitotenv.2009.08.039,Analysis and evaluation of soundscapes in public parks through interviews and measurement of noise
42,MAYBE,,공원 이용행태 실측 — 음환경 변수 불확실,W1974274347,backward,T2,2013,Environment and Behavior,10.1177/0013916512470134,Park Use Among Youth and Adults
43,EXCLUDE,E4,공원 음환경 지각 기반 유형화,W343808915,backward,T2,2015,Landscape and Urban Planning,10.1016/j.landurbplan.2015.05.005,Classification of urban park soundscapes through perceptions of the acoustical environments
44,EXCLUDE,E4,물소리 음향특성·개선 효과만,W2071456380,backward,T2,2012,The Journal of the Acoustical Society of America,10.1121/1.3681938,Acoustical characteristics of water sounds for soundscape enhancement in urban open spaces
45,EXCLUDE,E3,가로녹지-보행 — 음환경 변수 없음,W2902893099,backward,T2,2018,Journal of Transport & Health,10.1016/j.jth.2018.11.003,Green streetscape and walking: Exploring active mobility patterns in dense and compact cities
46,EXCLUDE,E3,녹지-능동교통 — 음환경 변수 없음,W4386579416,backward,T2,2023,Travel Behaviour and Society,10.1016/j.tbs.2023.100673,Exploring non-linear and synergistic effects of green spaces on active travel using crowdsourced data and interpretable machine learning
47,EXCLUDE,E4,교통소음-도시밀도·형태 관계만,W2150802110,backward,T2,2012,Landscape and Urban Planning,10.1016/j.landurbplan.2012.06.017,"Urban traffic noise and the relation to urban density, form, and traffic elasticity"
48,EXCLUDE,E5,시청각 상호작용 연구 리뷰,W3016880346,backward,T2,2020,Applied Acoustics,10.1016/j.apacoust.2020.107372,A review of audio-visual interaction on soundscape assessment in urban built environments
49,EXCLUDE,E5,국립공원 음환경 관리 리뷰,W2070092151,backward,T2,2007,Applied Acoustics,10.1016/j.apacoust.2007.04.008,US National Parks and management of park soundscapes: A review
50,EXCLUDE,E4,분수 소리의 음환경 질 효과만,W2092349568,backward,T2,2014,Landscape and Urban Planning,10.1016/j.landurbplan.2013.12.005,A field experiment on the impact of sounds from a jet-and-basin fountain on soundscape quality in an urban park
51,EXCLUDE,E4,실험실 기반 국가간 지각 비교,W2780184287,backward,T2,2017,Applied Acoustics,10.1016/j.apacoust.2017.12.016,"A cross-national comparison in assessment of urban park soundscapes in France, Korea, and Sweden through laboratory experiments"
52,EXCLUDE,E4,비청각 요인의 평가 영향만,W2018183787,backward,T2,2011,The Journal of the Acoustical Society of America,10.1121/1.3652902,Non-auditory factors affecting urban soundscape evaluation
53,EXCLUDE,E4,자연음 부가와 지각 음량·질,W2990391753,backward,T2,2019,The Science of The Total Environment,10.1016/j.scitotenv.2019.134571,Effects of adding natural sounds to urban noises on the perceived loudness of noise and soundscape quality
54,EXCLUDE,E4,사운드워크 식별 방법·개인 지각,W2093866410,backward,T2,2013,The Journal of the Acoustical Society of America,10.1121/1.4807801,Soundwalk approach to identify urban soundscapes individually
55,EXCLUDE,E4,거리뷰 이미지 기반 음환경 추정,W4309422402,backward,T2,2022,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2022.101915,Sensing urban soundscapes from street view imagery
56,EXCLUDE,E4,자연음 증강의 지각 개선 효과만,W2985581529,backward,T2,2019,Landscape and Urban Planning,10.1016/j.landurbplan.2019.103705,Interactive soundscape augmentation by natural sounds in a noise polluted urban park
57,EXCLUDE,E4,심리음향·음향 속성 탐색 평가,W1983800809,backward,T2,2011,Applied Acoustics,10.1016/j.apacoust.2011.03.006,"An exploratory evaluation of perceptual, psychoacoustic and acoustical properties of urban soundscapes"
58,EXCLUDE,E5,음환경 질 측정도구 방법론,W297688052,backward,T2,2006,Acta acustica united with Acustica,,On a tool for measuring soundscape quality in urban residential areas
59,EXCLUDE,E3,주거녹지-아동 발달 — 음환경 변수 없음,W3076085943,forward,T2,2020,PLoS Medicine,10.1371/journal.pmed.1003213,"Residential green space and child intelligence and behavior across urban, suburban, and rural areas in Belgium: A longitudinal birth cohort study of twins"
60,EXCLUDE,E4,국립공원 소음의 경제적 가치평가,W2097328569,forward,T2,2014,Landscape and Urban Planning,10.1016/j.landurbplan.2013.11.006,Noise pollution in national parks: Soundscape and economic valuation
61,CANDIDATE,,도시 활력(활동)을 사운드스케이프로 모델링 — 역방향,W2885591439,backward,T2,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15081712,Towards an Urban Vibrancy Model: A Soundscape Approach
62,EXCLUDE,E4,음환경 변수 공간통계 분석만,W2509014314,backward,T2,2016,Landscape and Urban Planning,10.1016/j.landurbplan.2016.08.006,Exploring spatial relationships among soundscape variables in urban areas: A spatial statistical modelling approach
63,MAYBE,,청소년 공원방문 유인 속성 — 음환경 속성 가능,W2586030331,backward,T2,2017,Landscape and Urban Planning,10.1016/j.landurbplan.2016.12.004,Park attributes that encourage park visitation among adolescents: A conjoint analysis
64,EXCLUDE,E4,환경소음-도시형태 관계 분석,W2768026612,backward,T2,2017,Environmental Pollution,10.1016/j.envpol.2017.10.126,Analysis of the relationships between environmental noise and urban morphology
65,EXCLUDE,E4,도시녹지 자연음 평가만,W2588335681,backward,T2,2017,Royal Society Open Science,10.1098/rsos.170037,Evaluation of natural sounds in urban greenery: potential impact for urban nature preservation
66,EXCLUDE,E4,공원 사운드스케이프 지각만,W2170452364,backward,T2,2012,The Journal of the Acoustical Society of America,10.1121/1.3693644,Perception of urban park soundscape
67,MAYBE,,고령자 옥외 신체활동 측정 — 음환경 변수 불확실,W2755740409,forward,T2,2017,Journal of Urban Health,10.1007/s11524-017-0191-9,The Aging Urban Brain: Analyzing Outdoor Physical Activity Using the Emotiv Affectiv Suite in Older People
68,EXCLUDE,E4,음환경 변동-도시형태 관계만,W2766479746,backward,T2,2017,Building and Environment,10.1016/j.buildenv.2017.10.021,"Relationship between spatiotemporal variability of soundscape and urban morphology in a multifunctional urban area: A case study in Seoul, Korea"
69,EXCLUDE,E4,녹지 고요함 설문 평가만,W1983667873,backward,T2,2013,Environment and Planning B Planning and Design,10.1068/b38061,Tranquillity and Soundscapes in Urban Green Spaces—Predicted and Actual Assessments from a Questionnaire Survey
70,EXCLUDE,E4,로마 공원 음환경 지각 질만,W1974623654,backward,T2,2013,The Journal of the Acoustical Society of America,10.1121/1.4807811,The perceived quality of soundscape in three urban parks in Rome
71,EXCLUDE,E4,음환경 적합성과 평가 결과만,W3027350759,backward,T2,2020,Building and Environment,10.1016/j.buildenv.2020.106975,Effect of the appropriateness of sound environment on urban soundscape assessment
72,EXCLUDE,E4,국립공원 음환경 시간변동 측정,W1995019913,backward,T2,2011,Landscape Ecology,10.1007/s10980-011-9639-6,Measuring and interpreting the temporal variability in the soundscape at four places in Sequoia National Park
73,EXCLUDE,E4,자연·도시음 회복성·선호 지각만,W2763974354,backward,T2,2017,Frontiers in Psychology,10.3389/fpsyg.2017.01705,Restorative Qualities of and Preference for Natural and Urban Soundscapes
74,EXCLUDE,E4,공원 시청각 상호작용 평가 모형,W3186897850,forward,T2,2021,Building and Environment,10.1016/j.buildenv.2021.108166,Overall environmental assessment in urban parks: Modelling audio-visual interaction with a structural equation model based on soundscape and landscape indices
75,EXCLUDE,E4,공개공간 사운드스케이프 분류만,W2943684189,backward,T2,2019,Landscape and Urban Planning,10.1016/j.landurbplan.2019.04.016,Classification of soundscapes of urban public open spaces
76,MAYBE,,캠퍼스 보행행태 종단연구 — 음환경 변수 불확실,W2115163114,backward,T2,2014,International Journal of Health Geographics,10.1186/1476-072x-13-28,How do changes to the built environment influence walking behaviors? a longitudinal study within a university campus in Hong Kong
77,EXCLUDE,E4,생리지표·주관적 회복성 결과만,W3201191623,backward,T2,2021,Sustainable Cities and Society,10.1016/j.scs.2021.103360,Physiological indicators and subjective restorativeness with audio-visual interactions in urban soundscapes
78,EXCLUDE,E4,도시 음향정체성 논의·행태 없음,W1993583597,backward,T2,2015,HBRC Journal,10.1016/j.hbrcj.2014.12.005,The phonic identity of the city urban soundscape for sustainable spaces
79,EXCLUDE,E3,녹지이용 의도 모형 — 음환경 변수 없음,W1133530935,forward,T2,2015,Habitat International,10.1016/j.habitatint.2015.08.010,"Encouraging the use of urban green space: The mediating role of attitude, perceived usefulness and perceived behavioural control"
80,CANDIDATE,,조용한 중정 이용(옥외 이용행태)과 소음반응,W2131505793,forward,T2,2010,International Journal of Environmental Research and Public Health,10.3390/ijerph7093359,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
81,EXCLUDE,E5,ISO 프로토콜 비교 방법론,W2948151752,backward,T2,2019,Applied Acoustics,10.1016/j.apacoust.2019.05.024,Exploring the compatibility of “Method A” and “Method B” data collection protocols reported in the ISO/TS 12913-2:2018 for urban soundscape via a soundwalk
82,EXCLUDE,E4,열-음환경 주관평가 결과만,W2987968289,backward,T2,2019,Building and Environment,10.1016/j.buildenv.2019.106517,Combined effects of the thermal-acoustic environment on subjective evaluations in urban squares
83,EXCLUDE,E4,열쾌적성-음향쾌적성 지각만,W4311148405,backward,T2,2022,Building and Environment,10.1016/j.buildenv.2022.109884,The influence of outdoor thermal comfort on acoustic comfort of urban parks based on plant communities
84,EXCLUDE,E4,밀라노 공원 음환경 질 평가만,W1973426270,backward,T2,2013,International Journal of Environmental Research and Public Health,10.3390/ijerph10062348,"The Soundscape Quality in Some Urban Parks in Milan, Italy"
85,EXCLUDE,E4,VR 음환경 회복효과·성격 특성만,W3178516701,backward,T2,2021,Landscape and Urban Planning,10.1016/j.landurbplan.2021.104188,"Potential restorative effects of urban soundscapes: Personality traits, temperament, and perceptions of VR urban environments"
86,EXCLUDE,E4,스트레스 회복 생리·심리 결과만,W4392878163,backward,T2,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128286,Landscape and soundscape quality promote stress recovery in nearby urban nature: A multisensory field experiment
87,EXCLUDE,E4,물소리 도입 음환경 개선 평가,W1990188462,backward,T2,2010,Noise Control Engineering Journal,10.3397/1.3484183,Evaluating water sounds to improve the soundscape of urban areas affected by traffic noise
88,MAYBE,,보행자 중심 가로 지각 측정 — 음환경·행태 불확실,W4383652572,backward,T2,2023,Cities,10.1016/j.cities.2023.104472,Measuring streetscape perceptions from driveways and sidewalks to inform pedestrian-oriented street renewal in Düsseldorf
89,EXCLUDE,E4,아동 심리생리 스트레스 회복만,W3011862017,forward,T2,2020,Applied Acoustics,10.1016/j.apacoust.2020.107293,Restorative effects of urban park soundscapes on children’s psychophysiological stress
90,CANDIDATE,,음악 템포와 도시 보행속도 실증,W1974639694,backward,T2,2014,Frontiers in Psychology,10.3389/fpsyg.2014.01361,Tempo and walking speed with music in the urban context
91,EXCLUDE,E2,주거 실내 사운드스케이프,W3185165213,forward,T2,2021,Applied Acoustics,10.1016/j.apacoust.2021.108305,"Indoor soundscapes at home during the COVID-19 lockdown in London – Part I: Associations between the perception of the acoustic environment, occupantś activity and well-being"
92,MAYBE,,쾌적 보행경로 생성 시스템 — 실증·소음변수 불확실,W2900433568,forward,T2,2018,Sensors,10.3390/s18113794,A System for Generating Customized Pleasant Pedestrian Routes Based on OpenStreetMap Data
93,EXCLUDE,E3,주거녹지-ADHD — 음환경 변수 없음,W3117744050,forward,T2,2020,Environmental Health Perspectives,10.1289/ehp6729,The Association between Residential Green Space in Childhood and Development of Attention Deficit Hyperactivity Disorder: A Population-Based Cohort Study
94,EXCLUDE,E4,가로 음환경 이미지평가·공간분석,W1970043843,backward,T2,2005,Journal of Environmental Psychology,10.1016/j.jenvp.2005.10.003,Applying the methods of image evaluation and spatial analysis to study the sound environment of urban street areas
95,EXCLUDE,E4,경로상 음환경 쾌적성 모델링만,W2625220384,forward,T2,2017,Acta acustica united with Acustica,10.3813/aaa.919073,Modeling Soundscape Pleasantness Using perceptual Assessments and Acoustic Measurements Along Paths in Urban Context
96,EXCLUDE,E4,새소리 회복성 지각 결과만,W3047025636,backward,T2,2020,International Journal of Environmental Research and Public Health,10.3390/ijerph17165659,Effect of Birdsong Soundscape on Perceived Restorativeness in an Urban Park
97,EXCLUDE,E5,사운드스케이프 연구·설계 개관,W4315607243,backward,T2,2023,City and Built Environment,10.1007/s44213-022-00005-6,Soundscape in city and built environment: current developments and design potentials
98,MAYBE,,자전거도로 이용자 음지각·경험 — 활동 연계 가능,W2806204650,backward,T2,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15061118,Influence of Personal Factors on Sound Perception and Overall Experience in Urban Green Areas. A Case Study of a Cycling Path Highly Exposed to Road Traffic Noise
99,EXCLUDE,E2,지하상가 실내 공간,W1992803955,backward,T2,2013,Applied Acoustics,10.1016/j.apacoust.2013.02.003,Field study on the influence of spatial and environmental characteristics on the evaluation of subjective loudness and acoustic comfort in underground shopping streets
100,MAYBE,,산림공원 방문객 친환경행동 — 음환경 포함 불확실,W4321463855,forward,T2,2023,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100621,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment"
101,EXCLUDE,E4,도시형태-새소리 음량 물리 분석,W1966579651,backward,T2,2015,Landscape and Urban Planning,10.1016/j.landurbplan.2015.01.006,Integrated effects of urban morphology on birdsong loudness and visibility of green areas
102,EXCLUDE,E4,교통소음 특성 측정만,W2085097032,backward,T2,2009,Applied Acoustics,10.1016/j.apacoust.2009.11.008,"Characteristics of road traffic noise in Hanoi and Ho Chi Minh City, Vietnam"
103,EXCLUDE,E4,음환경 지각·EEG 반응만,W3190037358,backward,T2,2021,Urban forestry & urban greening,10.1016/j.ufug.2021.127269,"Soundscape components, perceptions, and EEG reactions in typical mountainous urban parks"
104,EXCLUDE,E4,조용한 측면과 소음 성가심만,W1963941381,forward,T2,2011,The Journal of the Acoustical Society of America,10.1121/1.3621180,Urban road traffic noise and annoyance: The effect of a quiet façade
105,MAYBE,,도시 보행속도 실측 — 음환경 변수 불확실,W2009584601,backward,T2,1989,Environment and Behavior,10.1177/0013916589212001,The Pace of Pedestrian Flows in Cities
106,MAYBE,,포장재별 발소리 — 행태 유발음이나 결과는 평가,W2295761067,backward,T2,2016,Sustainable Cities and Society,10.1016/j.scs.2016.03.002,Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks
107,EXCLUDE,E4,수변 음환경 회복성 지각만,W4205511745,forward,T2,2022,Applied Acoustics,10.1016/j.apacoust.2021.108600,Relationships between landscape characteristics and the restorative quality of soundscapes in urban blue spaces
108,MAYBE,,"행태맵 기반 공간점유 관찰, 음환경 변수 확인 필요",W2043946763,backward,T2,2010,URBAN DESIGN International,10.1057/udi.2010.20,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS
109,EXCLUDE,E4,"사운드스케이프 인지·범주화만, 행태 아웃컴 없음",W3199830569,backward,T2,2021,Landscape and Urban Planning,10.1016/j.landurbplan.2021.104241,"Urban soundscape categorization based on individual recognition, perception, and assessment of sound environments"
110,EXCLUDE,E4,"교통소음 노출·건강영향 정량화, 행태 없음",W2141017521,backward,T2,2015,Environmental Health,10.1186/s12940-015-0009-8,Quantification of the exposure and effects of road traffic noise in a dense Asian city: a comparison with western cities
111,EXCLUDE,E4,주거 사운드스케이프 만족도 지각만,W4205646503,backward,T2,2022,Landscape and Urban Planning,10.1016/j.landurbplan.2021.104351,Comprehensive audio-visual environmental effects on residential soundscapes and satisfaction: Partial least square structural equation modeling approach
112,MAYBE,,"PPGIS 경관가치·사운드스케이프 매핑, 이용행태 확인 필요",W4308030967,forward,T2,2022,Landscape and Urban Planning,10.1016/j.landurbplan.2022.104617,Developing a Multi-sensory Public Participation GIS (MSPPGIS) method for integrating landscape values and soundscapes of urban green infrastructure
113,EXCLUDE,E4,식생·교통소음의 공원 음환경 영향만,W2796038040,forward,T2,2018,Applied Geography,10.1016/j.apgeog.2018.02.017,The influence of vegetation and surrounding traffic noise parameters on the sound environment of urban parks
114,EXCLUDE,E4,고층주거 교통소음 노출 측정만,W2917737699,forward,T2,2019,Environmental Science and Pollution Research,10.1007/s11356-019-04640-1,Traffic noise exposure of high-rise residential buildings in urban area
115,EXCLUDE,E4,자연음 쾌적성·적합성 지각 평가만,W3083508329,backward,T2,2020,Sustainable Cities and Society,10.1016/j.scs.2020.102475,Effects of contexts in urban residential areas on the pleasantness and appropriateness of natural sounds
116,EXCLUDE,E4,"혼합현실 사운드스케이프 평가, 지각만",W3130322334,forward,T2,2021,Building and Environment,10.1016/j.buildenv.2021.107688,A mixed-reality approach to soundscape assessment of outdoor urban environments augmented with natural sounds
117,EXCLUDE,E3,"공원 쓰레기투기 행동, 음환경 변수 없음",W4309569500,forward,T2,2022,International Journal of Geoheritage and Parks,10.1016/j.ijgeop.2022.11.002,Explaining littering prevention among park visitors using the Theory of Planned Behavior and Norm Activation Model
118,EXCLUDE,E4,"교통소음 성가심·조용면 노출, 행태 없음",W2154810862,forward,T2,2013,International Journal of Environmental Research and Public Health,10.3390/ijerph10062258,Road Traffic Noise and Annoyance: A Quantification of the Effect of Quiet Side Exposure at Dwellings
119,EXCLUDE,E4,항공기소음 마스킹 음질 지각만,W2901789529,forward,T2,2018,The Journal of the Acoustical Society of America,10.1121/1.5079310,Improving the soundscape quality of urban areas exposed to aircraft noise by adding moving water and vegetation
120,EXCLUDE,E4,고요함 관점이 공원 사운드스케이프 평가에 미친 영향,W2574082112,backward,T2,2017,Applied Sciences,10.3390/app7010091,The Personal Viewpoint on the Meaning of Tranquility Affects the Appraisal of the Urban Park Soundscape
121,EXCLUDE,E4,사운드스케이프 구성·심리음향 파라미터 관계만,W1896165423,backward,T2,2015,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2014.998676,SOUNDSCAPE DESIGN IN CITY PARKS: EXPLORING THE RELATIONSHIPS BETWEEN SOUNDSCAPE COMPOSITION PARAMETERS AND PHYSICAL AND PSYCHOACOUSTIC PARAMETERS
122,EXCLUDE,E4,시각경관·교통유형별 사운드스케이프 지각만,W4205240252,backward,T2,2022,Applied Acoustics,10.1016/j.apacoust.2021.108580,The effects of visual landscape and traffic type on soundscape perception in high-rise residential estates of an urban city
123,MAYBE,,"봉쇄기 사운드스케이프 모델링, 이동행태 연계 확인 필요",W4200341337,forward,T2,2021,The Journal of the Acoustical Society of America,10.1121/10.0008928,Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach
124,EXCLUDE,E4,교통소음 커뮤니티 반응·성가심 조사,W2120120947,backward,T2,2009,Applied Acoustics,10.1016/j.apacoust.2009.08.004,Community responses to road traffic noise in Hanoi and Ho Chi Minh City
125,MAYBE,,"근린환경·활동 매개 생활만족도, 음환경 포함 확인 필요",W4292745379,forward,T2,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103435,Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction
126,CANDIDATE,,"도로교통소음이 보행자에 미치는 영향, 가로 세팅 적합",W4304782710,forward,T2,2022,The Science of The Total Environment,10.1016/j.scitotenv.2022.159406,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound
127,EXCLUDE,E4,"새소리와 관광객 심리회복, 행태 없음",W3138077191,backward,T2,2021,Urban forestry & urban greening,10.1016/j.ufug.2021.127088,An application of artificial intelligence techniques in prediction of birds soundscape impact on tourists’ mental restoration in natural urban areas
