rec,verdict,reason_code,rationale,boundary_rule,batch,screen1,year,journal,doi,title
108,FINAL_EXCLUDE,X3,"에든버러·류블랴나 광장·공원 17곳의 행태지도·GIS 관찰(각 105·106회, Methodology [page 3–5])로 스케이트보드 활동 공간 치수(Fig. 5·6 [page 7–8])와 공원 내 활동 간 완충지대(Fig. 7·8 [page 9–10])를 분석한 연구로, 기록 속성은 활동 유형·지속시간·연령·성별·이동방향·날씨·시간대뿐이고 소리·소음·음향 변수는 전문 어디에도 없다. 공간 이용(space-use) 행태는 있으나 음환경 노출·역방향 경로가 없어 X3.",,nft_12,UNCERTAIN,2010,URBAN DESIGN International,10.1057/udi.2010.20,Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS
123,FINAL_EXCLUDE,X4,"아웃컴이 ISOPleasant·ISOEventful 예측값과 온라인 청취실험 음원 우세도뿐이며, 봉쇄기 활동변화는 맥락일 뿐 행태 측정 없음",,ctft_02,RETRIEVE,2021,The Journal of the Acoustical Society of America,10.1121/10.0008928,Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach
125,FINAL_EXCLUDE,X2,"상하이 성인 1058명 설문(2018.8–2019.2, §3.1)을 구조방정식으로 분석해 거주지·직장 '근린'의 지각 환경질(정숙성과 대기질을 묶은 잠재변수, Fig. 4)·접근성·사회자본이 통근만족·근린만족·생활만족에 미치는 경로를 본 연구다. 노출이 특정 옥외 공공공간이 아닌 근린 단위 지각이라 X2가 먼저 적용되고, 결과도 Table 2·Table A처럼 만족도(지각)뿐이어서 관찰 가능한 행태가 없다(X4 중복). 소음은 독립 변수가 아니라 환경질 잠재변수의 한 지표로만 들어가 음환경 노출로서도 약하다(§3.1).",,nftb_05,UNCERTAIN,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103435,Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction
126,FINAL_INCLUDE,,가로 보행자 설문 9항목 중 d~g(대면 대화 중단·목소리 높임·통화 중단·통화 목소리 높임)가 자기보고 사회적 상호작용 행태이며 LAeq와 유의 상관,,ctft_02,RETRIEVE,2022,The Science of The Total Environment,10.1016/j.scitotenv.2022.159406,Effects of noise on pedestrians in urban environments where road traffic is the main source of sound
128,FINAL_EXCLUDE,X3,자전거 이용행태는 있으나 21개 지각항목·통제변수 어디에도 음환경 변수 없음. 소음은 서론 배경 문장 1회 언급뿐,,ctft_02,RETRIEVE,2021,Travel Behaviour and Society,10.1016/j.tbs.2021.05.006,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting
137,FINAL_INCLUDE,,"가로 광장무 중·비중 LAeq 실측(Table 2)과 자기보고 참여 규칙성·현장관찰 무리규모(12→25명, 18→45명)를 교차분석",,ctft_02,RETRIEVE,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16050840,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China
142,SENS_ONLY,,"마드리드 레티로 공원 방문객 191명 현장 설문과 14개 지점 SLM 측정(§2.2–2.3, Table 2)으로 음원별 쾌·불쾌 평가(Table 4)·소음 성가심(Table 5)과 공원 내 소음저감 프로그램 지불의사(WTP, §2.4·§3.3·Table 7)를 조사했다. 행태 관련 결과는 소음저감 지불의사뿐이고 방문 목적(Table 3)은 음환경과 연결되지 않은 기술통계라 R2에 따라 SENS_ONLY로 판정했다. WTP 모형에는 소득만 들어가 음 지표–WTP 관계가 검정되지 않았고(§3.3) 혼잡 구역의 높은 LAeq를 방문객 활동 탓으로 본 해석(§3.1·§4)도 군중 미측정 추론이라 X4 배제 여지가 있어 confidence=low.",R2,nft_10,UNCERTAIN,2017,Urban forestry & urban greening,10.1016/j.ufug.2017.08.018,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park
153,FINAL_EXCLUDE,X4,"홍콩 800명 이동기반 조사에서 휴대 소음센서(30초 간격 LAeq)·GPS·EMA 설문을 결합해 소음 지각(존재·성가심·스트레스 6점 척도)을 거리뷰 시각요소와 함께 XGBoost·SHAP로 예측한 연구다(§2.1–2.3·Table 2·Fig. 8–11). 음환경 노출은 실측되지만 결과변수는 세 가지 지각 평가뿐이고, GPS 궤적은 노출 매칭·거리뷰 수집을 위한 위치정보로만 쓰여 이동·체류·이용 등 어떤 행태 지표로도 분석되지 않는다(§2.1 5분 시간창 매칭·§3.2 13,633개 지점 단위 모델). 예측변수도 행태가 아닌 시각환경·광량이어서 역방향(행태→음환경 지각) 연구도 아니므로 X4.",,nftb_07,UNCERTAIN,2024,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2024.102204,Machine-based understanding of noise perception in urban environments using mobility-based sensing data
166,FINAL_INCLUDE,,"구간별 지각소음(설문 항목8)을 측정하고, 소음·교통이 가장 낮은 참나무길 구간에서 실측 보행속도가 가장 느림을 보고. 통제변수 전용 아님",,ctft_02,RETRIEVE,2021,Land,10.3390/land10050459,Environmental Features Influence Walking Speed: The Effect of Urban Greenery
171,FINAL_INCLUDE,,"하얼빈 9개 도시공원·자연공원·보행가로·간선도로의 41개 조사점에서 드론 사진으로 군중밀도(people/100 m², §2.3·Fig. 2)를 계수하고 동시에 SPL 실측(§2.5)과 현장 설문 323부(§2.4)를 수행해, 군중밀도와 인간음 비율 RSI의 상관(Table 1: RSIn ρ=0.302*, N=67 / RSIt ρ=0.553**, N=56) 및 RSI–SPL·OSA 관계(Eq. 3–6, Fig. 4–6)를 분석했다. 이용자의 공간 분포(space-use)가 측정 음환경과 사운드스케이프 평가를 바꾸는 역방향 경로이므로 R3으로 포함한다. CT 경로지만 실험실·VR 재현이 아닌 현장 연구라 P1 감점 대상이 아니고, 같은 연구진의 코퍼스 연구 CT0001(Meng & Kang 2015, 하얼빈 중앙대가 662부)과 도시·1개 사이트가 겹치나 표본·자료는 다르다.",R3,nftb_05,UNCERTAIN,2021,The Science of The Total Environment,10.1016/j.scitotenv.2021.149869,Effects of a human sound-based index on the soundscapes of urban open spaces
175,FINAL_INCLUDE,,공원 방문빈도 MNL 종속변수에 지각 음량·'quiet area' 가치를 초점 예측변수로 투입(귀무 결과 p=0.08/0.07),,ctft_02,RETRIEVE,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15040815,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland"
182,FINAL_EXCLUDE,X3,Table 1 환경변수가 건조환경·SVI 경관·Place Pulse 지각 6종뿐 — 소음·음환경 지표 전무,,ctft_08,UNCERTAIN,2025,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104179,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning
184,FINAL_INCLUDE,,"동반 상태·관계강도·활동유형을 예측변수로 사운드스케이프 평가를 분석한 역방향 설계(Table 3–8). 셰필드·쑤저우 옥외 광장 현장 설문 304부, 동반 여부가 말소리·아이소리 인지와 사회적 음 선호에 유의.",,ctft_03,RETRIEVE,2021,Sustainable Cities and Society,10.1016/j.scs.2021.102860,The influence of companion factors on soundscape evaluations in urban public spaces
190,FINAL_EXCLUDE,X2,"Methods [page 5–8] 에서 시카고 Humboldt Park 저소득 주민 33명의 GPS·휴대 소음센서·활동일지로 활동 504건의 LAeq,Activity 와 '소음이 문제인가' 평가를 다층 로지스틱 모형으로 분석했고(Table 3 [page 13]), 활동 유형·동반자·시간·장소→소리 평가라는 역방향 유사 구조이나 504건 중 489건이 실내 활동([page 12])이며 장소도 집 371·직장 25·기타 108건(Table 2 [page 11])이라 옥외 공공공간 이용 맥락이 아니다 — X2. 옥외 15건(가로 개 산책·공원 달리기)은 별도 분석되지 않음; 갈림: 활동→사운드스케이프 평가를 R3 로 볼 여지(옥외 상업가로 맥락요인 연구 uid 480 은 포함). 코퍼스 표본 겹침 없음.",,nft_08,RETRIEVE,2020,Environment and Planning B Urban Analytics and City Science,10.1177/2399808320965243,The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies
208,FINAL_EXCLUDE,X3,Table 1의 12개 설계속성·Table 2의 4개 시각품질 어디에도 음환경 변수 없음. 초록의 'tranquility'는 정성 인터뷰 코드로만 언급되고 음향적으로 측정·정의되지 않음.,,ctft_03,RETRIEVE,2023,Land,10.3390/land12101838,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting"
209,FINAL_EXCLUDE,X4,무향실 랩 실험(N=25). 아웃컴이 Sonic Pertinence·Soundscape Quality·Haptic Comfort·Walking Quality 4종 지각 평정뿐이며 보행속도·경로·체류 등 관찰 행태 측정 없음.,,ctft_03,RETRIEVE,2016,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2016.1172076,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS
212,FINAL_EXCLUDE,X3,UGS 속성 34개 지표(경관패턴·NDVI·온도·교통/시설/인구밀도)에 음환경 변수 없음,,ctft_08,UNCERTAIN,2024,Cities,10.1016/j.cities.2024.105543,How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data
219,FINAL_EXCLUDE,X3,건조환경 지표가 주거밀도·녹지·토지이용혼합·연결성·자전거인프라뿐 — 음환경 변수 없음,,ctft_08,UNCERTAIN,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience
220,FINAL_INCLUDE,,"청각 지각(사운드스케이프 쾌적성·이벤트성)이 PLS-SEM 매개변수로 투입되어 정적·동적 활동빈도에 유의한 간접효과(Table 8·Figure 6). 가로 40지점 설문 471부, 자기보고 활동빈도 8종.",,ctft_03,RETRIEVE,2024,Land,10.3390/land14010050,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology
221,FINAL_EXCLUDE,X3,"청두 4환 이내 250 m 격자에서 바이두 스트리트뷰 278,496장을 YOLOv3로 검출한 보행자 수(collective walking)를 종속변수로 두고 건조환경 지표를 공간시차모형(SLM)으로 분석한 연구다(§3.3.1–3.3.2 [page 4–6], §4.2·Table 4 [page 7], Table 5 [page 9]). 보행자 수라는 movement·space-use 행태 결과는 있으나 음환경 노출·조작·측정이 전혀 없다 — 독립변수는 5D 중시 지표(density·diversity·design·distance·destination, Table 1 [page 5])와 가로영상 시각지표 BVI·GVI·SVI(§3.3.1 [page 4–5])뿐이고, 전문 검색에서 noise 는 §1 서론 [page 2]의 '준도시 주민이 소음·대기오염에 더 노출되어 보행 확률이 낮아진다'는 선행연구 인용 1회뿐이며 sound·acoustic·soundscape 어휘는 참고문헌 포함 어디에도 없다. 음환경이 통제변수로도 들어가지 않으므로 P3가 아니라 노출 자체 부재로 X3(선례 CT0422·CT0264·CT0313과 동일 구조). corpus_v4_extraction.csv 대조 결과 표본을 공유하는 기존 포함 연구 없음.",,nftb_09,UNCERTAIN,2024,Applied Geography,10.1016/j.apgeog.2024.103274,Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu
223,FINAL_INCLUDE,,"탈린·헬싱키 도시 녹지 4곳(60–150 ha) 현장 방문객 802명 설문(§3.1–3.2, Table 1 [page 3])에서 계획 체류시간·방문 이력·자연탐방로/안내판/탐조대 이용을 예측변수로 해당 장소의 '자연의 소리 듣기' 만족도(A10)를 순서 로지스틱으로 분석해 5시간 초과 체류가 만족도를 높였다(Table 5: coef 1.35**, OR 3.9; §4.2 [page 5]) — 이용자 행태→사운드스케이프 평가 역방향(R3)으로, 8월 선례 539·761·CT0007(체류시간·방문빈도→사운드스케이프 평가)과 같은 구조다. 갈리는 지점: 결과가 음원 지각이 아니라 자연관찰 활동 기회에 대한 5점 단일 만족 문항이고 음향 측정이 없으며 논문 초점이 자연관찰 전반이라 X3(행태→음환경 경로 없음)로 볼 여지가 있다. 코퍼스와 표본 공유 없음(951 헬싱키 Strava 와 무관).",R3,nft_11,UNCERTAIN,2019,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2019.100227,Perceived importance of and satisfaction with nature observation activities in urban green areas
233,FINAL_EXCLUDE,X3,SOPARC 관찰로 PA_METs를 측정했으나 Table 1 독립변수(입지·식생·시설·미관)에 음환경 지표 전무. 'noise reduction'은 고찰의 선행연구 인용일 뿐 측정 변수 아님.,,ctft_03,RETRIEVE,2024,Journal of Urban Management,10.1016/j.jum.2024.05.004,Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study
241,FINAL_EXCLUDE,X4,아웃컴이 코딩된 부정지각 범주(Table 2)뿐 — 관찰가능 행태 측정 없음; 소음은 선행연구 인용 수준,,ctft_08,UNCERTAIN,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128539,Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial
264,FINAL_EXCLUDE,X3,"우한 휴대전화 신호 데이터(76만 6,261명)로 취업자의 옥외 여가활동(IOLA)과 건조환경의 연관을 본 연구로, 행태 결과(space-use·activity)는 있으나 음환경 노출·조작이 없다. §2.4·Table 1 의 건조환경 변수는 PD·LCP·LUP·LBP·RD·BSD·MCR·LUM 이며, 전문 전체에 noise/sound/acoustic 어휘가 단 한 번도 등장하지 않는다(§4 논의·§5 결론 포함). 역방향(행태→음환경) 경로도 없어 X3.",,nftb_02,UNCERTAIN,2024,Applied Geography,10.1016/j.apgeog.2024.103382,Comparing the impacts of built environment across different objective life neighborhoods on the out-of-home leisure activities of employed people using massive mobile phone data
265,FINAL_EXCLUDE,X4,사운드스케이프 노출은 충족하나 Table 2 설문이 전부 지각평정 — 관찰가능 행태 측정 없음,,ctft_08,UNCERTAIN,2024,Building and Environment,10.1016/j.buildenv.2024.112261,Determinants of soundscape quality of communal open space in Hong Kong
267,FINAL_EXCLUDE,X3,go-along으로 보행 경로·우회 관찰하나 음환경 변수·주제 전무(audio는 인터뷰 녹취),,ctft_08,UNCERTAIN,2024,Journal of Transport Geography,10.1016/j.jtrangeo.2024.103811,Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore
268,FINAL_EXCLUDE,X4,SPL 36회 측정·음원 분류·소음지도만 산출. '이용유형·이용강도'는 서술적 맥락 기술이며 인원수·활동 코딩 등 정량 행태 측정 없음(저자도 이용자 지각·선호 비대상 명시).,,ctft_03,RETRIEVE,2021,Sustainability,10.3390/su13158423,"Acoustic Environment of Urban Historical Places: A Case Study in Kastamonu, Turkey"
269,FINAL_EXCLUDE,X3,"음환경이 독립 노출변수 아님 — 3.2.1절 공원환경지각 지표 중 '청각·열환경 쾌적성' 1문항으로만 흡수, SEM에 별도 경로·계수 없음. 사회적 상호작용 아웃컴은 존재",,ctft_04,RETRIEVE,2024,ISPRS International Journal of Geo-Information,10.3390/ijgi13070262,The Influence of Perceptions of the Park Environment on the Health of the Elderly: The Mediating Role of Social Interaction
273,FINAL_EXCLUDE,X3,Strava 러닝·사이클링 이용량 아웃컴은 있으나 전문 전체에 소음·음환경 용어 0건; 설명변수는 수관피복·활엽수비율·수령·수계·도로속성·접근성·가시성뿐(2.4.1절),,ctft_04,RETRIEVE,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128869,Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning
274,FINAL_EXCLUDE,X3,Table 1 독립변수 매트릭스에 음환경 지표 없음. 'noise'는 SARIMAX 잔차 white noise 언급뿐. GPS 궤적 행태 아웃컴은 있으나 노출이 녹지·시지각·지형.,,ctft_09,UNCERTAIN,2024,Cities,10.1016/j.cities.2024.105253,COVID-19 pandemic changes the outdoor physical activity preference in Chinese city: A 7-year GPS trajectory data analysis
285,FINAL_EXCLUDE,X3,Table 2 변수는 NDVI·수공간 유무·접근성·SES뿐이고 음환경 지표 없음. 'sound of water'는 서론 인용. SafeGraph 공원방문 아웃컴만 존재.,,ctft_09,UNCERTAIN,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128325,"Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona"
296,FINAL_EXCLUDE,X4,"실내 시뮬레이터로 4개 가정 활동(독서·휴식·대화·아이놀이)의 '이상적' 음환경을 구성시킨 실험 — 결과는 음원선택 빈도·의미척도 평정뿐, 실제 수행·보고된 행태 아웃컴 없음",P2,ctft_04,RETRIEVE,2022,Journal of Engineering and Technological Sciences,10.5614/j.eng.technol.sci.2022.54.1.7,The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various Activities
307,FINAL_EXCLUDE,X4,"스페인 카세레스 3개 가로의 상시 소음측정소 Ld·Le·Ln·Lden 과 대기오염(PM10·NO2)을 COVID-19 봉쇄 단계별로 비교한 환경 모니터링 연구로(§Methodology [page 3]–[page 5], §Results·Fig. 2–4·Table 11), 공공공간 이용자의 행태를 관찰·계수·설문한 자료가 없다. 노출측으로 쓰인 '% mobility change' 는 휴대전화 위치기반 도시 총량 차량이동 지표이며 정부 봉쇄령의 결과여서 특정 옥외 공간 이용자의 행태가 아니다(§Methodology [page 5], §Results Mobility [page 9]). 갈리는 지점: 이동성 지표와 소음의 편상관(Table 5, point 1 rho=0.766, p<0.001)을 '행태→음환경' 역방향으로 읽을 여지가 있으나, 선례 nft_02(마드리드 봉쇄 소음, X4)·nft_15(DYNAMAP 밀라노·로마, X4)와 동일 구조로 보아 X4 로 배제한다. 발코니 박수·냄비 시위로 Le 가 오히려 상승했다는 기술(§Results [page 6])도 관찰·계수 자료 없이 해석 수준이다.",,nftb_10,UNCERTAIN,2023,Environmental Science and Pollution Research,10.1007/s11356-023-30631-4,Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city
309,FINAL_EXCLUDE,X3,관찰 보행자 수 아웃컴은 있으나 PEDS/SPACES 수정 감사도구 39문항(Table 1)·공원 18문항(Table 2) 어디에도 음향 항목 없음; 'low/high volume street'는 교통량 지표,,ctft_04,RETRIEVE,2025,Infrastructures,10.3390/infrastructures10060137,"Older Adults’ Walking Behavior and the Associated Built Environment in Medium-Income Central Neighborhoods of Santiago, Chile"
313,FINAL_EXCLUDE,X3,"상하이 외곽순환로 내 스트리트뷰 60,007점의 주관적 물리적 무질서(건축·상업·도로·녹지·기반시설 5유형) 점수와 500m 격자 보행자 수(검출 85,934명)의 연관을 GM COMBO 공간회귀로 본 연구다(§2.2–2.5·Table 3·Table 5–6). 보행자 수라는 movement·space-use 행태 결과는 있으나 노출은 시각 지표(고수준 150개 이미지 요소·저수준 9개 특징)와 5D 건조환경 변수뿐이고, 본문·부록 Table A1–A4 어디에도 소음·음향·사운드스케이프 변수가 없다(전문 검색상 'audit/auditors'와 참고문헌 제목의 'audio-' 외 음환경 어휘 자체가 부재). 음환경이 통제변수로도 들어가지 않으므로 P3가 아니라 노출 부재로 X3.",,nftb_07,UNCERTAIN,2025,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2025.102348,The association of subjective physical disorder and pedestrian volume: A big urban data and machine-learning approach
320,FINAL_EXCLUDE,X3,"구랑위 성별 보행행태 연구지만 환경지각 5요인(기능·안전·쾌적·미관·즐거움, Table 1) 어느 항목에도 소음·음환경 없음 — 노출변수 부재",,ctft_04,RETRIEVE,2023,PLANNING MALAYSIA,10.21837/pm.v21i30.1406,"EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY: THE CASE OF GULANGYU, CHINA"
322,FINAL_INCLUDE,,"카세레스 가로 현장조사 105명 — 실측 소음(LZeq 60–81 dB 등)과 대면·전화 대화 중단(d,f)·목소리 높이기(e,g) 자기보고 빈도 간 유의 상관(Table 3·5)",,ctft_04,RETRIEVE,2024,Applied Sciences,10.3390/app142311212,Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments
327,FINAL_EXCLUDE,X4,"카페테라스 녹음을 건축학생 2개 그룹이 실험실에서 청취·평가 — 결과는 사운드스케이프 구성비와 의미분별 지각뿐, 행태 측정 없음",,ctft_05,RETRIEVE,2022,Noise & Vibration Worldwide,10.1177/09574565221114660,Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria
328,FINAL_EXCLUDE,X4,아웃컴이 음향지수·조류종풍부도·soundwalk 지각(ISO 12913-2·PRSS)·기분·회복감뿐. 관찰가능 행태 측정 없음. '이런 음환경에서 시간 보내고 싶다'는 선호·의도 문항.,P2,ctft_09,UNCERTAIN,2025,Basic and Applied Ecology,10.1016/j.baae.2025.12.007,Social-ecological relationships on biodiverse and health-promoting city soundscapes
