uid,item,item_no,verdict,rationale
104,4.5 statistical analysis appropriate to answer research question,4.5,Y,"요인 선별에 척도 수준별로 Pearson/Spearman 상관·χ²·t검정을 쓰고(§II.B, Table III), ANN 을 학습/검정 상관계수·RMSE 로 평가하며 한 사이트는 20% 외부 평가셋으로 대응표본 t검정, OLR 과 비교했다(§III.B, §III.E). 다만 수많은 비교에 다중비교 보정이 없고 명목변수 B4(이동상태)를 상관으로 분석했다."
121,3.1 participants representative of the target population,3.1,Y,2.3 Dropouts: 최종 방문자 표본이 성별·연령·학력에서 현장조사 표본과 일치함을 확인
121,3.2 measurements appropriate regarding outcome and exposure,3.2,N,"4.7 Discussion: 개인 소음노출 확보 불가 명시, 성가심도 4점 척도로 축소"
121,3.3 complete outcome data,3.3,N,"Table 1: 방문자 1600->900, 1620->971 등 40% 이상 탈락, 탈락자 체계적 차이 확인"
121,3.4 confounders accounted for in design and analysis,3.4,Y,"2.4: 비이용 사유·지역품질 지수·이전경험을 다변량 모형에 통제, 계절은 조사시기 일치로 통제"
121,3.5 exposure/intervention administered as intended,3.5,Y,2.1 Study Areas: 구공항 폐쇄·신공항 확장이라는 실제 노출 변화가 계획대로 발생
123,4.1 sampling strategy relevant to address research question,4.1,CT,2.1 Field survey: 19개 사이트 선정은 기술되나 응답자 표집 절차·규모 전혀 미보고
123,4.2 sample representative of the target population,4.2,CT,"2.1: 다양한 사회집단 포함이라고만 서술, 표본 규모·인구 대비 비교 자료 없음"
123,4.3 measurements appropriate,4.3,N,"2.1: 선호를 3점 척도로 측정, 일부 사이트는 미청취 음원까지 평가해 측정 비일관"
123,4.4 risk of nonresponse bias low,4.4,CT,2.1: 접촉·거절 건수 및 응답률이 논문 전체에 보고되지 않음
123,4.5 statistical analysis appropriate to answer research question,4.5,N,"3장-6장: 사이트x음원x요인 수백 회 상관·t검정을 보정 없이 반복, 다변량 모형 부재"
137,1.1 qualitative approach appropriate to answer research question,1.1,Y,"§Method([page 85], 인쇄 p.76)에서 현상학을 '특정한 lived experience 와 그 의미를 이해하는 질적 접근'(Van Manen 1990)으로 규정하고 선택 이유를 밝히며, 야간 하이킹의 경험·의미와 동기·성과를 파악한다는 연구목적(§Introduction [page 82], p.73)과 부합한다."
137,1.2 qualitative data collection methods adequate,1.2,Y,"§Hiker Component·§Park Staff Component([page 85]-[page 86], pp.76-77)에서 3개 지역 3유형 야간 하이킹, 18세 이상 참가자 전원 초대, 공통 반구조화 스크립트와 funnel 구조(Seidman 1998), 하이킹 3-6일 후 현장 밖 면담, 자료 포화 기준, 레인저 4명 보충 면담을 구체적으로 기술한다. 다만 면담이 평균 17분(9-39분)으로 통상의 현상학 면담보다 짧고 참가자 선정이 비체계적이라는 한계를 저자도 인정한다(§Analysis Implications [page 95], p.86)."
137,1.3 findings adequately derived from the data,1.3,Y,"§Data Analysis([page 86]-[page 87], pp.77-78)에서 축어 전사 후 open·axial 코딩으로 범주를 구성하고 첫 4개(10% 이상) 면담을 재코딩해 후반 코드의 반영 여부를 확인했으며, §Results 의 5개 주제마다 복수의 원문 인용을 제시한다([page 87]-[page 92], pp.78-83)."
137,1.4 interpretation of results sufficiently substantiated by data,1.4,Y,"각 주제 해석이 하이커 인용과 레인저 인용의 대조로 뒷받침되고(사운드스케이프 주제의 레인저 인용 [page 89], p.80), solitude 주제는 직접 질문으로 유도해 편향이 내재할 수 있음을 저자가 명시한다(§Discussion [page 93], p.84)."
137,"1.5 coherence between data sources, collection, analysis and interpretation",1.5,Y,"하이커·레인저 두 자료원, 반구조화 면담, 주제분석, 동기-성과 프레임 해석이 일관되게 연결되고 타당성 절차(삼각검증·이상사례 점검·전문가와 정보제공자 확인)를 명시하며(§Data Analysis [page 87], p.78), 레인저와 참가자의 solitude 인식 불일치를 은폐하지 않고 별도로 설명한다(§Solitude at Night [page 91], p.82)."
271,5.1 adequate rationale for using a mixed methods design,5.1,Y,Research Methodology: 학제간 연구질문 특성으로 혼합설계 채택을 명시적으로 정당화
271,5.2 components effectively integrated to answer research question,5.2,N,"Findings: 물리·소리·행동 매핑 결과를 각각 분리 제시, 소음자료와 행동자료 연계 없음"
271,5.3 outputs of integration adequately interpreted,5.3,N,Discussion: 소음이 원인으로 보인다는 서술적 해석만 있고 통합 산출물 부재
271,5.4 divergences and inconsistencies adequately addressed,5.4,N,정성·정량 결과 간 불일치에 대한 검토가 논문 어디에도 없음
271,5.5 components adhere to quality criteria of each tradition,5.5,N,"Findings: 관찰자 신뢰도·행동 조작정의·음압레벨 수치 모두 미보고, 정성 분석절차 부재"
323,3.1 participants representative of the target population,3.1,Y,"2.1 Study Area: 은닉관찰로 해당 공간 이용자 전수를 포착, 자기선택 편의 없음"
323,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.2-2.3: 배경소음 10지점 실측 60.7 dBA·SPL 시뮬레이션, BORIS 에소그램으로 체류시간 코딩"
323,3.3 complete outcome data,3.3,Y,"Table 1: 4조건 각 180분·72개 슬롯 전량 분석, 결측 보고 없음"
323,3.4 confounders accounted for in design and analysis,3.4,Y,"3.2.1-3.2.2: 활동·동반·자세 공변량 검정 후 이원 ANOVA, 자극은 요일·시간대 순환 배치"
323,3.5 exposure/intervention administered as intended,3.5,CT,4. Discussion: 실험 중 신호대잡음비를 정밀 모니터링하지 못했다고 명시
341,4.1 sampling strategy relevant to address research question,4.1,CT,"2.5: 무작위 선정이라 기술하나 절차 미제시, 30분 미만 체류자 제외로 통과 보행자 배제"
341,4.2 sample representative of the target population,4.2,CT,"2.5: 선행연구 인용으로 대표성 주장, 단일 사이트이며 인구 대비 비교자료 없음"
341,4.3 measurements appropriate,4.3,Y,"2.4-2.5: LAeq 5-7지점 5분 실측, 음향쾌적성 5점 척도 사전 신뢰도·타당도 검토"
341,4.4 risk of nonresponse bias low,4.4,CT,"2.5: 유효 설문 1223부만 제시, 접촉·거절 건수와 응답률 미보고"
341,4.5 statistical analysis appropriate to answer research question,4.5,N,"3-4장: 행동 백분율에 검정·분모 없음, RS와 PC 회귀의 R2가 동일값으로 중복 보고"
372,1.1 qualitative approach appropriate to answer research question,1.1,Y,2.4 Data Analysis: 체험의 의미 탐색에 IPA 등 현상학적 접근이 질문에 부합
372,1.2 qualitative data collection methods adequate,1.2,N,"2.3/5. Conclusions: 사운드 목적이 아닌 기존 인터뷰의 2차분석, 59명 중 27명만 언급"
372,1.3 findings adequately derived from the data,1.3,Y,3. Results: 3개 소리 주제와 교차차원마다 축어적 인용으로 근거 제시
372,1.4 interpretation of results sufficiently substantiated by data,1.4,Y,"3.1-3.2: 각 해석이 인용문에 연결, 다만 4.3 설계제언은 상당부분 외부 문헌 근거"
372,"1.5 coherence between data sources, collection, analysis and interpretation",1.5,CT,"2.4: IPA 표방하나 14개 키워드 검색 추출과 사전 정의 범주로 연역 진행, 성찰성 미기술"
379,5.1 adequate rationale for using a mixed methods design,5.1,Y,1. Introduction: 객관·주관 요소 관계를 문헌 공백으로 지목해 혼합 접근의 근거 제시
379,5.2 components effectively integrated to answer research question,5.2,N,"3. Methods and Results: 음압도·가청도·설문 결과를 순차 제시, 가청지도와 설문 미연계"
379,5.3 outputs of integration adequately interpreted,5.3,N,4. Discussion: 사회 불안정·경제성장 등 미측정 요인에 기댄 서술적 해석 다수
379,5.4 divergences and inconsistencies adequately addressed,5.4,N,측정 음압과 주관 평가 간 국가별 차이 등 불일치를 체계적으로 검토하지 않음
379,5.5 components adhere to quality criteria of each tradition,5.5,N,"3. Methods: 공원당 20명·총 180명에 통계검정 부재, ISO 1996 단축 적용, 사운드워크 절차 미기술"
406,3.1,3.1,CT,2.3 설문 응답자를 무작위 선정하고 연령·소득 구간별 30명 이상 할당했으나 총 표본 수 미보고·단일 시장
406,3.2,3.2,Y,2.4 LAeq 10초 간격 5분 측정과 반사면 1m 이격 준수·2.2 사진 격자법 군집밀도·설문 신뢰도 타당도 사전 검토
406,3.3,3.3,CT,3장 결과가 회귀곡선 위주로 제시되고 응답 수와 결측 처리에 대한 언급이 전혀 없음
406,3.4,3.4,Y,2.1에서 7·9월 측정으로 온습도 통제·17~18시 고정·차도 35m 이격·행태 차이는 예비조사 근거로 배제
406,3.5,3.5,Y,2.1 시장 운영일(월~수)과 휴장일(목~금)을 구분 측정하고 8월 구역화 전후 2회 실측함
435,1.1,1.1,Y,Research methodology에서 소리기억과 공간의 사회적 구성 탐구에 민족지와 내러티브 분석 결합이 적합함
435,1.2,1.2,Y,Research methodology에 전 거주 유대인 5명·무슬림 5명 심층 반구조화 인터뷰와 관찰·페르시아어 진행 후 번역 기술
435,1.3,1.3,Y,Fieldwork findings 전반에서 화자별 인용문에 근거해 공/사 경계와 권력관계 해석을 도출함
435,1.4,1.4,Y,Fieldwork findings에 발화 톤·침묵 등 관찰 근거와 연구자 위치성 성찰을 함께 제시함
435,1.5,1.5,CT,Research methodology에 코딩·주제분석 등 분석 절차가 없어 자료와 해석의 일관성을 확인할 수 없음
461,2.1,2.1,CT,2.3에 조건 무작위 배정과 블록별 성별 균형만 기술되고 난수 생성·배정 은폐 절차가 없음
461,2.2,2.2,CT,2.2/2.3에 조건별 성비만 제시되고(대조군 17:9) 연령 등 기저 특성의 군간 비교가 없음
461,2.3,2.3,Y,3.1 분석에 배정된 83명 전원이 포함되고 탈락이나 결측 보고가 없음
461,2.4,2.4,CT,2.5에서 Elan으로 영상 구간을 표기한 평가자의 조건 눈가림 여부가 보고되지 않음
461,2.5,2.5,Y,2.7 개별 5분 간격 출발·경로 화살표 표시·정지 및 대화 금지 지시로 중재 이행을 관리함
469,4.1,4.1,Y,Study sites에서 10명당 1명 계통표집으로 동일 단체 중복을 줄이고 주요 경관지 전역에 700부 배포함
469,4.2,4.2,Y,Study sites에 표적모집단을 국내 성인 관광객으로 명시하고 566명이 연령·직업·출신지에서 분산을 확보함
469,4.3,4.3,Y,Instrument development에 검증 척도 차용·전문가 3인 검토·예비조사 100명 Cronbach 0.65~0.80·CR과 AVE 기준 충족
469,4.4,4.4,Y,Study sites에 700부 중 566부 회수로 유효응답률 80.9%가 보고됨
469,4.5,4.5,Y,Research method에서 소표본 조절효과에 PLS-SEM을 적용하고 Harman 단일요인검정으로 공통방법편의를 점검함
480,3.1,3.1,CT,2.6 설문은 5153명 무작위 배포이나 18~55세로 연령이 제한되고 중국 남북 2개 상업가로에 한정됨
480,3.2,3.2,Y,2.3~2.6 드론 사진 군집밀도·HDV 대화자 수·5지점 A가중 측정·설문 Cronbach 0.86과 KMO 0.81 보고
480,3.3,3.3,CT,2.6과 Table 2에 응답 수는 있으나 배포 대비 회수율과 결측 처리가 보고되지 않음
480,3.4,3.4,Y,2.1/2.2에서 계절·기능은 동일 가로 내 비교·개방도는 Sp존끼리 대조·차도 20m 이격·주중과 주말 병행
480,3.5,3.5,Y,2.1에서 개방도·계절·상업기능이 실제 현장 조건대로 유지됨을 사진과 실측으로 확인함
481,3.1,3.1,CT,Statistical analysis에서 UAV 영상으로 표본을 추출했고 하얼빈 단일 광장·성비 맞춤 선별로 대표성 불확실
481,3.2,3.2,Y,Measurement of sound environment에 6m 격자 LAeq 실측·UAV 100m 고도 관찰·좌표 기반 속도 산출이 기술됨
481,3.3,3.3,Y,Statistical analysis에 통과 48·배회 80·착석 120 표본 전수 분석과 검정력 0.60~0.87이 보고됨
481,3.4,3.4,Y,Survey site에서 동일 광장 음악과 무음을 순환 재생하고 5·9월 온습도와 조도 시간대를 통제하며 성별 효과도 검정함
481,3.5,3.5,Y,Sound source에 88~90dBA 스피커로 광장 전역 가청을 확인하고 배경 56.7dBA 대비를 실측 검증함
492,5.1,5.1,Y,MATERIALS AND METHODS에서 Creswell을 인용해 단일방법으로 포착 못 하는 이용자-음환경 관계 규명을 혼합설계 근거로 제시함
492,5.2,5.2,Y,Data Analysis에 폐쇄형 통계분석 후 개방형 질적분석을 순차 통합하고 행태지도로 공간 맥락을 결합함
492,5.3,5.3,Y,DISCUSSION에서 통합 산출물을 방법론·실증·정책 세 기여로 해석하고 한계까지 제시함
492,5.4,5.4,CT,DISCUSSION은 질적 결과가 양적 추세를 보완했다고만 서술하고 양-질 결과 불일치 사례를 명시적으로 다루지 않음
492,5.5,5.5,CT,Questionnaire protocol과 Qualitative Analysis에서 착석 협조자 편의표집·단일문항 리커트 한계 자인·코더 간 신뢰도 미보고
494,4.1,4.1,Y,2.2 Surveys에서 7개 녹지 성인 이용자를 무작위 표집하고 지구·표본점·규모·방문자 수 기준으로 배분함
494,4.2,4.2,Y,Table 2에서 표본의 성·연령·학력·직업 분포를 카세레스 인구통계와 대조해 유사성을 확인함
494,4.3,4.3,Y,2.2/2.3에 3개 차원 Cronbach 0.79/0.70/0.81과 ISO 1996-2 준거 1.5m 10분 측정 및 양이 녹음이 기술됨
494,4.4,4.4,CT,2.2 Surveys에 유효 설문 182부만 제시되고 접촉 대비 거절률이나 무응답 편의 분석이 없음
494,4.5,4.5,Y,2.4 통계분석에서 Mann-Whitney·계층적 군집분석·상관과 다항 로지스틱 회귀로 만족도 71.4%를 설명함
499,4.1 sampling strategy relevant to address research question,4.1,Y,"14개 식재공간 지점마다 연령 3군×성별 할당(각 5명)으로 통행 이용객을 편의표집해 면접했고(§2.2), 지점별·계층별 선호를 기술하려는 목적에 부합한다."
499,4.2 sample representative of the target population,4.2,N,편의표집에 연령·성별 균등 할당을 적용해(§2.2) 실제 이용객 구성을 반영하지 않으며 단일 공원 표본이다.
499,4.3 measurements appropriate,4.3,Y,"AWA 6228-3 분석기로 LAeq·주파수를 3시간 간격 3회 반복 측정했고(§2.2), 선호는 5점 척도, 사운드워크 명료도는 선행연구(Jeon and Hong, 2015)의 3점 척도를 따랐다. 측정 지속시간·교정과 방문빈도 응답 범주는 보고되지 않았다."
499,4.4 risk of nonresponse bias low,4.4,CT,면접 거절·응답률이 보고되지 않았다.
499,4.5 statistical analysis appropriate to answer research question,4.5,CT,"Spearman 상관(Table 3)과 ANOVA(F = 17.092, §3.1)를 썼으나 분석 n·자유도가 보고되지 않았고, 1260명 전체로 계산했다면 Table 3 의 유의 표기(예: 0.110 비유의)와 맞지 않는다. LAeq–선호 관계는 Fig. 6 도시만 있고 검정이 없다."
520,1.1,1.1,Y,Methods에서 활동별 청각환경 기술 방식 탐색에 자유서술 기반 내용분석 접근이 적합함
520,1.2,1.2,Y,3.1 Data collection에 4개 개방형 문항·92명 서면 응답·2개 구역 4회 세션·네덜란드어 원어민 한정이 기술됨
520,1.3,1.3,Y,4. Results에서 의미 3수준과 구문 1수준 코딩틀 적용 결과를 도표와 실제 응답 인용으로 제시함
520,1.4,1.4,CT,4. Results는 활동군당 3~20명 소규모 셀의 비율 차이만으로 통계 검정 없이 경향을 추론함
520,1.5,1.5,Y,3.2 Data processing에 자유서술 수집에서 내용분석·분류틀 코딩·활동군 대조로 이어지는 절차가 일관됨
532,2.1,2.1,CT,Procedure에 조건 무작위 배정과 블록별 성별·신장 균형만 있고 무작위화 절차와 배정 은폐 기술이 없음
532,2.2,2.2,CT,Participants에 전체 연령과 성비만 있고 실험1 27/31/29·실험2 19/24/22 조건별 기저 특성 비교가 없음
532,2.3,2.3,CT,Data analysis에서 보행속도는 전수 분석이나 보행경험 설문 무응답자를 수 미보고한 채 제외함(F2
532,2.4,2.4,CT,Measurement of walking speed에서 Elan 구간 표기 평가자의 조건 눈가림 여부가 보고되지 않음
532,2.5,2.5,Y,Procedure에 개별 보행·화살표 경로 표시·정지 및 대화 금지 지시로 중재 이행을 관리함
539,4.1,4.1,Y,2.1 Field survey에서 4개 녹지 이용자를 무작위 선정해 각 100부씩 총 400부로 선행 권고 표본을 충족함
539,4.2,4.2,CT,2.2에서 고학력 편중을 저자가 자인하고 6~7월 맑은 날 주간·정온지역 4곳으로 범위가 제한됨
539,4.3,4.3,CT,2.4 Soundscape data에서 발생·크기·선호를 3점 척도로 장기 회상 평가하고 신뢰도 타당도 검증이 없음
539,4.4,4.4,CT,2.1 Field survey에 유효 400부만 보고되고 접촉 대비 거절률과 무응답 편의 분석이 없음
539,4.5,4.5,Y,3. Results에서 순서형 자료 특성에 맞는 Spearman rho 상관분석을 적용하고 유의수준을 명시함
560,4.1 sampling strategy relevant to address research question,4.1,Y,"2.2 Questionnaire: 7개 공원 내 이용 빈번 지점별 균등 배분 대면 면접, 18세 이상 이용자 대상으로 연구질문에 부합"
560,4.2 sample representative of the target population,4.2,CT,"2.2: n=210 단일도시 대형2·소형5 공원, 두 군 간 연령·성별 균형만 제시하고 모집단 대비 대표성 미검증"
560,4.3 measurements appropriate,4.3,Y,"2.2: 문헌 근거 만족도 12문항·소음원 8문항 5점 척도, 음압은 ISO 1996-2 준수 양이 녹음 병행"
560,4.4 risk of nonresponse bias low,4.4,N,2.2: 응답률 53%로 보고되나 거절자를 다른 이용자로 대체할 뿐 무응답 편의 분석 없음
560,4.5 statistical analysis appropriate to answer research question,4.5,Y,"2.3: 정규성 기각 확인 후 Mann-Whitney·Kruskal-Wallis, Kendall tau-b, 순서형 로지스틱 회귀, 검정력 0.8 이상 확보"
562,4.1 sampling strategy relevant to address research question,4.1,Y,§3.1: MTurk 에서 2017 미국 센서스 기준(연령·소득·학력·인종·고용)으로 표본을 맞춰 모집해 미국 거주자의 여가 보행 경로 선호라는 질문에 맞는 표집 전략.
562,4.2 sample representative of the target population,4.2,Y,"§3.1·Table 1: 연령·소득·인종이 센서스와 가깝다고 보고(남성 56.1%로 다소 과대, 여가 보행자 87.8%)하고 MTurk 자기선택 한계를 저자가 논의함."
562,4.3 measurements appropriate,4.3,N,Table 2·§5.3: 소음 수준을 정의 없는 low/medium/high 문자 기술로만 제시(음향 자극·측정 없음)했고 결과는 실제 행동이 아닌 가상 경로 선택(진술 선호)이라 음환경·행태 측정으로서 타당성이 약함.
562,4.4 risk of nonresponse bias low,4.4,CT,§3.1: 완료 536부 중 불성실 응답 35부 제외만 보고하고 MTurk 노출 대비 참여율·무응답 특성은 보고하지 않음.
562,4.5 statistical analysis appropriate to answer research question,4.5,Y,"§3.4: 개인 수준 계층베이즈 추정(40,000 draws), 95% CI 와 t 검정으로 수준·속성 간 차이를 검정하고 다중회귀로 개인 특성 효과를 분석함."
566,5.1 adequate rationale for using a mixed methods design,5.1,Y,3. Methods: 사운드스케이프 연구의 혼합접근 관행과 QUPE 3축 포착 필요성을 근거로 7개 방법 통합 설계 명시
566,5.2 components effectively integrated to answer research question,5.2,Y,"Table 1: QUPE 주제별 primary/secondary 방법 배정, Q1→BMT·EO→IM→IR 순차 정보 흐름 기술"
566,5.3 outputs of integration adequately interpreted,5.3,Y,4.2: 주제별로 설문 통계·자유응답·인터뷰 인용·행동관찰 결과를 교차 대조해 통합 해석
566,5.4 divergences and inconsistencies adequately addressed,5.4,Y,"5.4/6: 행동매핑은 이용패턴 변화 미검출이나 민족지 관찰은 체류 증가 확인, 음향측정 비예측성도 명시"
566,5.5 components adhere to quality criteria of each tradition,5.5,CT,"3.3.1/4: 정량 요소가 자기선택 표본(Q2 42명)과 시기 다른 조건 비교에 의존, 한계 절 부재·정성 코딩 신뢰도 미보고"
602,4.1 sampling strategy relevant to address research question,4.1,Y,"2.1/2.3: 장소기능·가로형태 기준 8개 가로 목적표집, ISO 사운드워크 프로토콜 적용으로 연구질문에 부합"
602,4.2 sample representative of the target population,4.2,N,2.3/4.3: 참가자 61명 전원 21-33세 학생이며 실제 가로 이용자가 아님을 저자가 한계로 명시
602,4.3 measurements appropriate,4.3,Y,"2.2: SSQP 기반 설문과 ISO 12913-3 분석, 양이 마이크 5분 녹음·30초 프레임 영상으로 군중밀도 산출"
602,4.4 risk of nonresponse bias low,4.4,CT,"2.3: 6개 사운드워크 그룹 중 4개만 경로 B에 참여, 모집 거절·중도탈락 정보 미보고"
602,4.5 statistical analysis appropriate to answer research question,4.5,Y,"2.4: Spearman 상관과 Fisher Z 비교, 다중회귀 예측모형, 세션 중앙값 120세트로 집계해 반복측정 부분 완화"
617,4.1 sampling strategy relevant to address research question,4.1,Y,"3.1: 형태 다양성 기준 6개 경로·738개 측정점 목적표집, 참가자 BMI 동질화로 교란 축소 의도 기술"
617,4.2 sample representative of the target population,4.2,N,"3.1.2 Table 3: 참가자 27명 전원 남성 건축학생 비거주 방문자, 여성·주민·고령자 구조적 배제"
617,4.3 measurements appropriate,4.3,CT,"3.2: 스펙트로그램 청취로 우세음을 분류하나 코더 신뢰도·검증 절차 미보고, 속도는 구간 평균만 산출"
617,4.4 risk of nonresponse bias low,4.4,CT,3.1.2: 모집 경로만 기술하고 거절·중도탈락 여부 정보 없음
617,4.5 statistical analysis appropriate to answer research question,4.5,N,"Table 6: 27명×18구간을 독립표본 486개(df=485)로 취급해 유의성 과대, 관찰자료로 인과 주장"
661,3.1 participants representative of the target population,3.1,N,2.1 Participants: 24-43세 성인 10명을 대학 구성원에서만 모집해 고령자·아동 등 취약 보행자 배제
661,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.3/2.4: 실차 통과소음 기반 자극의 LAmax·L5-L90 보고, CAVE 헤드트래킹과 음압 교정 재생, TTP 산식 제시"
661,3.3 complete outcome data,3.3,Y,"2.6: 미횡단 시행의 결측을 선형혼합모형으로 처리, 10명 전원 90시행 완료"
661,3.4 confounders accounted for in design and analysis,3.4,N,"4. Discussion: 가솔린 Kia·전기 Renault로 시각모델이 음향조건과 교락, 조건 간 1.7 km/h 속도차를 사후 인정"
661,3.5 exposure/intervention administered as intended,3.5,Y,"2.4/2.5: 녹음 시 수준과 동일하게 음압 교정, 90개 자극을 무작위 순서로 제시하고 훈련 블록 선행"
665,3.1 participants representative of the target population,3.1,CT,"2.1/2.4: 실제 보행자 608명 은닉관찰이나 단일 상업가로 1일 15-17시로 제한, 관측표본 인구특성 미보고"
665,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.3: SQuadriga III로 격자별 SPL 실측(54.2/65.2/54.9 dB), 냄새는 격자당 30부 이상 주관강도 설문으로 매핑"
665,3.3 complete outcome data,3.3,Y,"Table 1: 조건별 표본수(경로·속도 38-42, 체류 20-26) 전량 보고, 분석 제외 사례 없음"
665,3.4 confounders accounted for in design and analysis,3.4,N,"2.2/2.3: 음악 조건만 SPL이 11 dB 높아 음종과 음압이 교락, 6조건을 같은 오후에 순차 반복해 시간효과 미보정"
665,3.5 exposure/intervention administered as intended,3.5,Y,"2.2/2.4: 스피커 은닉·반사면 1.5 m 이격, UAV 100 m 이상 비행으로 관측장비 개입음 차단"
