rec,year,journal,doi,title,note
153,2024,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2024.102204,Machine-based understanding of noise perception in urban environments using mobility-based sensing data,"이동기반 센싱 소음지각, 행태 데이터 확인 필요"
171,2021,The Science of The Total Environment,10.1016/j.scitotenv.2021.149869,Effects of a human sound-based index on the soundscapes of urban open spaces,"인간활동음 지수와 공공공간 사운드스케이프, 역방향 가능"
182,2025,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104179,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning,"가로환경과 자전거 통행량, 소음 변수 확인 필요"
212,2024,Cities,10.1016/j.cities.2024.105543,How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data,"녹지 속성과 방문량·만족도, 음환경 포함 확인 필요"
219,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience,코로나기 자전거 이용 행태 · 음환경 변수 불명
221,2024,Applied Geography,10.1016/j.apgeog.2024.103274,Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu,집합적 보행행태·건조환경 · 음환경 포함 불명
223,2019,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2019.100227,Perceived importance of and satisfaction with nature observation activities in urban green areas,도시녹지 자연관찰 활동 · 음환경 관련성 불명
241,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128539,Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial,수목형 녹지 부정지각·이용행태 언급 · 음환경 불명
264,2024,Applied Geography,10.1016/j.apgeog.2024.103382,Comparing the impacts of built environment across different objective life neighborhoods on the out-of-home leisure activities of employed people using massive mobile phone data,건조환경과 옥외 여가활동 · 음환경 불명
265,2024,Building and Environment,10.1016/j.buildenv.2024.112261,Determinants of soundscape quality of communal open space in Hong Kong,공용 옥외공간 사운드스케이프 결정요인 · 활동 포함 가능
267,2024,Journal of Transport Geography,10.1016/j.jtrangeo.2024.103811,Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore,보행 이동성 go-along 면담 · 음환경 포함 가능
274,2024,Cities,10.1016/j.cities.2024.105253,COVID-19 pandemic changes the outdoor physical activity preference in Chinese city: A 7-year GPS trajectory data analysis,GPS 옥외 신체활동 선호 변화 · 음환경 불명
285,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128325,"Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona",공원 방문패턴 결정요인 · 음환경 포함 가능
307,2023,Environmental Science and Pollution Research,10.1007/s11356-023-30631-4,Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city,이동제한→오염(소음 가능) 변화 · 역방향 가능
313,2025,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2025.102348,The association of subjective physical disorder and pedestrian volume: A big urban data and machine-learning approach,물리적 무질서 지각·보행량 · 소음 포함 가능
328,2025,Basic and Applied Ecology,10.1016/j.baae.2025.12.007,Social-ecological relationships on biodiverse and health-promoting city soundscapes,도시 음경 사회생태 관계·인간 행태 여부 불명
329,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128929,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies",녹지 음경 다양성·이용활동 요인 포함 가능
343,2025,Cities,10.1016/j.cities.2025.106467,Women's walking behavior: Investigating contributing factors in urban contexts,여성 보행행태 영향요인·소음 포함 여부 불명
360,2026,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2026.102412,Decoding urban soundscapes: spatial prediction and influence mechanism analysis with interpretable semi-supervised learning,음경 공간예측 모델·인간활동 요인 포함 가능
369,2025,Transport Policy,10.1016/j.tranpol.2025.05.015,"Identifying the effect of street network system on activity behaviours near the homes of older adults: An analytical framework integrating transportation, social, and natural attributes",가로망·노인 활동행태·자연속성 포함 가능
373,2026,Environmental Impact Assessment Review,10.1016/j.eiar.2026.108451,Health-related activity outcomes of visual characteristics in urban green spaces: An on-site comparison between self-reported and observed activities,녹지 관찰활동 측정·노출은 시각특성 중심
397,2025,Applied Spatial Analysis and Policy,10.1007/s12061-025-09779-8,Beyond the Sound Source Itself: how Daily Activities and Demographics Influence Residential Soundscape Perception and Satisfaction,일상활동이 주거 음경 지각·만족에 영향
402,2026,Landscape and Ecological Engineering,10.1007/s11355-026-00712-w,The effect of park quality on health benefits: mediating roles of behavioral patterns,공원 질·행태패턴 매개·음환경 포함 불명
405,2026,Landscape and Ecological Engineering,10.1007/s11355-026-00718-4,Unveiling hidden inequities: a dual-perspectives diagnostic framework for pedestrian environment mismatches in urban park accessibility,공원 접근 보행환경 불일치 진단·음환경 불명
413,2026,Journal of Transport Geography,10.1016/j.jtrangeo.2026.104653,Understanding the cooling and air purification effects of green spaces on running behavior — Evidence from Guangzhou,녹지 러닝행태 연구·노출은 열·대기 중심
422,2026,Sustainable Cities and Society,10.1016/j.scs.2026.107693,Prioritizing jogging-friendly streets in active mobility planning: A decision-support framework integrating trajectory evidence and expert judgment,조깅친화 가로 우선순위·음환경 지표 불명
427,2026,GeoJournal,10.1007/s10708-026-11638-z,"Urban rhythms and sonic identity: a case study of the Grand Bazaar of Rasht, Iran",바자르 도시리듬·소리정체성·활동 포함 가능
428,2026,Building and Environment,10.1016/j.buildenv.2026.115060,Dynamic Audio-Visual Preference in Waterfront Walking Environments: Effects of Distance-Layered Spatial Structure and Soundscape,수변 보행환경 시청각 선호·아웃컴 선호 중심
